County,Precinct,Registered Voters,Christopher W. Robertson (I) (Rep)_Election Day Votes,Christopher W. Robertson (I) (Rep)_Advanced Voting Votes,Christopher W. Robertson (I) (Rep)_Absentee by Mail Votes,Christopher W. Robertson (I) (Rep)_Provisional Votes,Christopher W. Robertson (I) (Rep)_Choice Total,Total,
Coweta,Senoia,5838,1099,1996,836,1,3932,3932,
Coweta,Moreland,2758,946,630,367,0,1943,1943,
Coweta,Pine Road,2095,569,534,278,0,1381,1381,
Coweta,Dresden,839,358,119,88,0,565,565,
Coweta,Newnan,3478,502,569,401,0,1472,1472,
Coweta,Sharpsburg,4526,919,1613,501,1,3034,3034,
Coweta,Fischer Road,4328,768,1506,620,2,2896,2896,
Coweta,Cedar Creek,5330,1054,1759,848,0,3661,3661,
Coweta,Grantville,2572,794,431,260,1,1486,1486,
Coweta,Haralson,2339,820,534,254,0,1608,1608,
Coweta,Welcome,3212,1120,548,390,0,2058,2058,
Coweta,Panther Creek,3028,937,565,364,0,1866,1866,
Coweta,Raymond,2492,668,707,327,0,1702,1702,
Coweta,Turin,4477,1115,1481,570,0,3166,3166,
Coweta,Smokey Road,2559,534,465,302,1,1302,1302,
Coweta,Central,4395,521,683,388,3,1595,1595,
Coweta,Newnan Centre,20465,2743,5967,2764,1,11475,11475,
Coweta,Greentop,2846,589,582,453,0,1624,1624,
Coweta,Expo Center,1974,546,414,329,0,1289,1289,
Coweta,White Oak,4636,814,1477,558,1,2850,2850,
Coweta,Madras,4462,832,1376,676,2,2886,2886,
Coweta,Cannongate,3653,882,1155,491,0,2528,2528,
Coweta,Westside,838,179,91,88,0,358,358,
Coweta,Northside,2285,645,432,336,0,1413,1413,
Coweta,Thomas Crossroads,4962,909,1822,576,0,3307,3307,
Coweta,Coweta Central Library,1723,313,663,202,0,1178,1178,
