index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,DeKalb,Allgood Elem,2858,219,752,511,4,1486,51,174,122,0,347,1833,
1,DeKalb,Ashford Park Elem,2432,215,753,444,0,1412,64,248,95,1,408,1820,
2,DeKalb,Austin,2538,202,875,586,3,1666,87,189,122,0,398,2064,
3,DeKalb,Avondale,2906,324,963,769,1,2057,95,146,111,0,352,2409,
4,DeKalb,Austin Drive,2536,158,522,343,7,1030,54,123,113,6,296,1326,
5,DeKalb,Ashford Dunwoody Rd,2966,183,1039,625,4,1851,76,321,118,2,517,2368,
6,DeKalb,Ashford Parkside,3664,211,1058,818,5,2092,66,310,147,1,524,2616,
7,DeKalb,Avondale High,3151,127,1060,850,4,2041,36,176,144,0,356,2397,
8,DeKalb,Boulevard,4675,229,1673,1070,2,2974,57,251,161,1,470,3444,
9,DeKalb,Briar Vista Elem,2965,193,803,787,0,1783,65,141,113,1,320,2103,
10,DeKalb,Briarlake Elem,1752,148,565,451,0,1164,55,102,91,0,248,1412,
11,DeKalb,Briarwood,2428,167,737,436,2,1342,58,221,93,2,374,1716,
12,DeKalb,Brockett Elem,2752,169,808,550,6,1533,38,187,124,1,350,1883,
13,DeKalb,Briarcliff,3122,185,762,776,6,1729,60,175,172,1,408,2137,
14,DeKalb,Brockett,2681,251,750,499,4,1504,67,160,114,1,342,1846,
15,DeKalb,Brookhaven,3444,293,1122,625,2,2042,84,345,147,0,576,2618,
16,DeKalb,Browns Mill Elem,3829,258,1197,676,3,2134,55,283,213,3,554,2688,
17,DeKalb,Bouldercrest Road,2004,130,638,273,2,1043,38,141,89,0,268,1311,
18,DeKalb,Bethune Middle,4838,286,1099,717,16,2118,62,267,245,4,578,2696,
19,DeKalb,Burgess Elem,3493,158,1220,760,8,2146,49,164,144,0,357,2503,
20,DeKalb,Columbia Drive,2526,175,474,341,5,995,51,118,119,3,291,1286,
21,DeKalb,Canby Lane Elem,2004,177,439,300,4,920,49,112,128,5,294,1214,
22,DeKalb,Columbia Elem,1794,117,259,169,6,551,31,69,65,4,169,720,
23,DeKalb,Cedar Grove Elem,4097,250,1196,554,9,2009,58,300,211,2,571,2580,
24,DeKalb,Chamblee,2231,168,698,387,2,1255,47,172,68,1,288,1543,
25,DeKalb,Candler-Murphey Candler Elem,3712,252,1142,478,5,1877,57,321,171,2,551,2428,
26,DeKalb,Chapel Hill Elem,3349,223,989,484,4,1700,51,219,206,3,479,2179,
27,DeKalb,Chesnut Elem,2363,224,753,341,2,1320,43,162,81,0,286,1606,
28,DeKalb,Clairemont West,3264,136,1096,1009,4,2245,43,183,146,0,372,2617,
