index,County,Precinct,Registered Voters,Becky Evans (I) (Dem)_Election Day Votes,Becky Evans (I) (Dem)_Advanced Voting Votes,Becky Evans (I) (Dem)_Absentee by Mail Votes,Becky Evans (I) (Dem)_Provisional Votes,Becky Evans (I) (Dem)_Choice Total,Total,
0,DeKalb,Briar Vista Elem,2965,197,863,851,1,1912,1912,
1,DeKalb,Clifton,1731,125,529,327,4,985,985,
2,DeKalb,Cedar Grove Middle,1896,132,501,263,1,897,897,
3,DeKalb,Decatur,1937,85,896,499,0,1480,1480,
4,DeKalb,East Lake,4139,218,1506,925,5,2654,2654,
5,DeKalb,Emory South,3241,191,1061,924,6,2182,2182,
6,DeKalb,Fernbank Elem,2125,124,721,770,2,1617,1617,
7,DeKalb,Flat Shoals Elem,2409,203,638,414,3,1258,1258,
8,DeKalb,Flat Shoals,2649,189,655,456,4,1304,1304,
9,DeKalb,Harris-Narvie J Harris Elem,4031,180,1613,791,2,2586,2586,
10,DeKalb,Johnson Estates,1600,52,530,556,0,1138,1138,
11,DeKalb,Kelley Lake Elem,3015,281,759,558,1,1599,1599,
12,DeKalb,McNair,2794,180,835,595,6,1616,1616,
13,DeKalb,McNair Academy,1900,132,624,443,2,1201,1201,
14,DeKalb,Oakhurst,2398,113,1055,719,1,1888,1888,
15,DeKalb,Oak View Elem,5011,358,1725,745,9,2837,2837,
16,DeKalb,Ponce de Leon,3766,120,915,846,9,1890,1890,
