index,County,Precinct,Registered Voters,Karla Drenner (I) (Dem)_Election Day Votes,Karla Drenner (I) (Dem)_Advanced Voting Votes,Karla Drenner (I) (Dem)_Absentee by Mail Votes,Karla Drenner (I) (Dem)_Provisional Votes,Karla Drenner (I) (Dem)_Choice Total,Total,
0,DeKalb,Avondale,2906,299,1009,793,1,2102,2102,
1,DeKalb,Avondale High,3151,74,650,546,0,1270,1270,
2,DeKalb,Columbia Drive,2526,216,584,468,7,1275,1275,
3,DeKalb,Clairemont West,3264,3,23,14,0,40,40,
4,DeKalb,Clarkston,3878,149,322,210,2,683,683,
5,DeKalb,Covington Hwy,995,54,101,61,1,217,217,
6,DeKalb,Covington,2376,141,699,375,3,1218,1218,
7,DeKalb,Clarkston Community Center,2495,225,610,376,5,1216,1216,
8,DeKalb,Glennwood,2715,9,126,102,0,237,237,
9,DeKalb,Indian Creek,2318,179,519,375,9,1082,1082,
10,DeKalb,Jolly Elem,3679,0,8,2,0,10,10,
11,DeKalb,Knollwood,2546,262,665,467,7,1401,1401,
12,DeKalb,McLendon,3607,186,1057,896,7,2146,2146,
13,DeKalb,Midway,3139,181,755,624,2,1562,1562,
14,DeKalb,North Decatur,2166,123,637,530,12,1302,1302,
15,DeKalb,Shaw-Robert Shaw Elem,2892,250,858,579,2,1689,1689,
16,DeKalb,Snapfinger Elem,1894,163,604,498,0,1265,1265,
17,DeKalb,Snapfinger Road N,2705,240,677,467,2,1386,1386,
18,DeKalb,Valley Brook,1037,120,304,257,5,686,686,
19,DeKalb,Wadsworth,3159,277,873,652,8,1810,1810,
20,DeKalb,Winnona Park,2020,2,16,6,0,24,24,
