index,County,Precinct,Registered Voters,Zulma Lopez (Dem)_Election Day Votes,Zulma Lopez (Dem)_Advanced Voting Votes,Zulma Lopez (Dem)_Absentee by Mail Votes,Zulma Lopez (Dem)_Provisional Votes,Zulma Lopez (Dem)_Choice Total,Total,
0,DeKalb,Allgood Elem,2858,255,903,610,1,1769,1769,
1,DeKalb,Austin Drive,2536,204,641,452,10,1307,1307,
2,DeKalb,Briarlake Elem,1752,128,526,473,1,1128,1128,
3,DeKalb,Clarkston,3878,220,595,217,2,1034,1034,
4,DeKalb,Coralwood,3153,150,1032,953,1,2136,2136,
5,DeKalb,Clarkston Community Center,2495,3,18,11,0,32,32,
6,DeKalb,Dunaire Elem,2268,190,634,432,3,1259,1259,
7,DeKalb,Glenhaven,1880,225,488,323,0,1036,1036,
8,DeKalb,Glenwood Road,2293,202,546,400,3,1151,1151,
9,DeKalb,Jolly Elem,3679,268,921,638,9,1836,1836,
10,DeKalb,Lakeside High,3216,122,695,541,1,1359,1359,
11,DeKalb,Montreal,2586,174,732,468,2,1376,1376,
12,DeKalb,Memorial South,3138,252,728,391,14,1385,1385,
13,DeKalb,Northlake,1509,123,456,415,1,995,995,
14,DeKalb,Peachcrest,2458,176,623,448,2,1249,1249,
15,DeKalb,Rehoboth,1813,100,490,568,0,1158,1158,
16,DeKalb,Rowland Elem,3765,291,920,585,3,1799,1799,
17,DeKalb,Rowland Road,2080,187,591,418,2,1198,1198,
