index,County,Precinct,Registered Voters,Benjamin Brooks (Rep)_Election Day Votes,Benjamin Brooks (Rep)_Advanced Voting Votes,Benjamin Brooks (Rep)_Absentee by Mail Votes,Benjamin Brooks (Rep)_Provisional Votes,Benjamin Brooks (Rep)_Choice Total,Gail Davenport (I) (Dem)_Election Day Votes,Gail Davenport (I) (Dem)_Advanced Voting Votes,Gail Davenport (I) (Dem)_Absentee by Mail Votes,Gail Davenport (I) (Dem)_Provisional Votes,Gail Davenport (I) (Dem)_Choice Total,Total,
0,DeKalb,Bouldercrest Road,2004,11,30,17,0,58,156,759,359,2,1276,1334,
1,DeKalb,Burgess Elem,3493,44,108,63,0,215,172,1309,878,6,2365,2580,
2,DeKalb,Cedar Grove Elem,4097,30,44,19,0,93,279,1471,771,5,2526,2619,
3,DeKalb,Clifton,1731,11,22,17,0,50,117,515,333,5,970,1020,
4,DeKalb,Cedar Grove Middle,1896,17,12,11,0,40,121,497,259,0,877,917,
5,DeKalb,Cedar Grove South,3962,17,49,31,2,99,262,1559,741,4,2566,2665,
6,DeKalb,East Lake,4139,1,8,3,0,12,17,165,79,0,261,273,
7,DeKalb,Flat Shoals Elem,2409,11,21,9,0,41,204,629,415,3,1251,1292,
8,DeKalb,Flat Shoals,2649,16,20,7,0,43,184,642,457,4,1287,1330,
9,DeKalb,Gresham Road,3601,24,59,42,2,127,204,1146,767,12,2129,2256,
10,DeKalb,Kelley Lake Elem,3015,23,36,29,0,88,268,745,569,1,1583,1671,
11,DeKalb,McNair High,4160,48,76,53,0,177,258,1412,965,4,2639,2816,
12,DeKalb,McNair,2794,18,45,29,1,93,176,810,590,5,1581,1674,
13,DeKalb,Meadowview,3511,23,39,30,2,94,212,981,752,10,1955,2049,
14,DeKalb,McNair Academy,1900,19,28,8,0,55,130,612,452,2,1196,1251,
15,DeKalb,Piney Grove,2018,16,33,17,0,66,155,517,335,4,1011,1077,
16,DeKalb,Terry Mill,2808,17,63,20,1,101,221,939,595,1,1756,1857,
