County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
DeKalb,Allgood Elem,2858,209,745,500,3,1457,65,187,131,1,384,1841,
DeKalb,Ashford Park Elem,2432,216,736,410,1,1363,72,284,138,0,494,1857,
DeKalb,Austin,2538,218,827,542,2,1589,69,233,169,1,472,2061,
DeKalb,Avondale,2906,301,877,721,0,1899,125,235,168,1,529,2428,
DeKalb,Austin Drive,2536,165,517,357,10,1049,47,128,101,3,279,1328,
DeKalb,Ashford Dunwoody Rd,2966,186,1034,586,5,1811,72,348,150,1,571,2382,
DeKalb,Ashford Parkside,3664,204,1012,764,5,1985,76,355,207,1,639,2624,
DeKalb,Avondale High,3151,108,986,822,3,1919,54,245,176,1,476,2395,
DeKalb,Boulevard,4675,223,1612,1049,3,2887,66,320,188,0,574,3461,
DeKalb,Briar Vista Elem,2965,181,729,713,1,1624,78,226,194,0,498,2122,
DeKalb,Briarlake Elem,1752,159,501,441,0,1101,50,160,109,0,319,1420,
DeKalb,Briarwood,2428,161,710,390,3,1264,64,242,139,1,446,1710,
DeKalb,Brockett Elem,2752,168,755,528,4,1455,42,242,146,3,433,1888,
DeKalb,Briarcliff,3122,182,723,727,6,1638,69,223,229,1,522,2160,
DeKalb,Brockett,2681,243,708,494,6,1451,75,203,126,1,405,1856,
DeKalb,Brookhaven,3444,271,1126,589,2,1988,109,356,190,0,655,2643,
DeKalb,Browns Mill Elem,3829,250,1207,684,4,2145,66,274,202,2,544,2689,
DeKalb,Bouldercrest Road,2004,138,666,287,2,1093,32,117,76,0,225,1318,
DeKalb,Bethune Middle,4838,294,1131,777,14,2216,54,250,190,5,499,2715,
DeKalb,Burgess Elem,3493,156,1115,749,6,2026,61,268,161,1,491,2517,
DeKalb,Columbia Drive,2526,179,466,383,8,1036,47,123,86,0,256,1292,
DeKalb,Canby Lane Elem,2004,183,428,331,9,951,43,124,107,0,274,1225,
DeKalb,Columbia Elem,1794,113,261,179,4,557,34,69,59,6,168,725,
DeKalb,Cedar Grove Elem,4097,254,1227,621,11,2113,57,273,147,0,477,2590,
DeKalb,Chamblee,2231,160,688,326,1,1175,56,199,127,2,384,1559,
DeKalb,Candler-Murphey Candler Elem,3712,238,1196,524,5,1963,71,274,131,2,478,2441,
DeKalb,Chapel Hill Elem,3349,220,1017,541,6,1784,51,196,159,1,407,2191,
DeKalb,Chesnut Elem,2363,224,718,335,2,1279,45,205,88,0,338,1617,
DeKalb,Clairemont West,3264,136,1039,983,3,2161,42,251,189,1,483,2644,
DeKalb,Clairmont Road,3223,178,776,856,5,1815,61,200,164,1,426,2241,
DeKalb,Clarkston,3878,321,812,372,9,1514,80,176,64,3,323,1837,
DeKalb,Clifton,1731,95,447,260,6,808,31,85,79,0,195,1003,
DeKalb,Columbia Middle,2178,125,500,264,2,891,29,112,70,4,215,1106,
DeKalb,Coan Recreation Center,4230,176,1365,806,1,2348,51,285,159,1,496,2844,
DeKalb,Cross Keys High,2260,163,546,469,4,1182,39,190,116,0,345,1527,
DeKalb,Crossroads,2898,206,718,482,6,1412,37,169,155,1,362,1774,
DeKalb,Candler,3537,204,853,484,11,1552,55,188,114,2,359,1911,
DeKalb,Cedar Grove Middle,1896,108,410,222,5,745,27,89,44,0,160,905,
DeKalb,Cedar Grove South,3962,236,1286,583,6,2111,48,301,165,0,514,2625,
DeKalb,Covington Hwy,995,47,79,48,5,179,9,24,15,1,49,228,
DeKalb,Covington,2376,127,589,304,3,1023,30,141,78,2,251,1274,
DeKalb,Clairemont East,3226,92,965,1038,3,2098,44,279,189,1,513,2611,
DeKalb,Coralwood,3153,150,936,896,3,1985,61,277,237,2,577,2562,
DeKalb,Candler Park,4018,113,1499,1170,2,2784,35,306,213,0,554,3338,
DeKalb,Clarkston Community Center,2495,198,529,345,9,1081,44,134,71,0,249,1330,
DeKalb,Chamblee 2,3137,160,1052,585,0,1797,61,358,174,0,593,2390,
DeKalb,Doraville North,3065,271,701,380,6,1358,93,173,119,2,387,1745,
DeKalb,Doraville South,1255,116,279,192,1,588,43,99,56,1,199,787,
DeKalb,Dresden Elem,5141,351,1248,803,6,2408,125,375,262,1,763,3171,
DeKalb,Decatur,1937,69,761,426,0,1256,32,165,91,0,288,1544,
DeKalb,Dunaire Elem,2268,161,554,352,5,1072,45,115,91,2,253,1325,
DeKalb,Dunwoody,3003,164,877,534,7,1582,52,308,144,0,504,2086,
DeKalb,Dunwoody 2,2044,102,689,382,4,1177,58,254,126,1,439,1616,
DeKalb,Druid Hills High,2725,122,576,621,1,1320,59,143,115,1,318,1638,
DeKalb,Dunwoody Library,2570,100,963,498,3,1564,33,343,149,0,525,2089,
DeKalb,East Lake,4139,212,1359,789,4,2364,55,297,156,3,511,2875,
DeKalb,Embry Hills,1721,103,525,379,0,1007,35,140,131,0,306,1313,
DeKalb,Evansdale Elem,3441,239,998,659,1,1897,73,256,190,1,520,2417,
DeKalb,Emory South,3241,175,943,827,4,1949,71,203,156,2,432,2381,
DeKalb,Emory Road,2290,111,570,387,4,1072,31,81,76,2,190,1262,
DeKalb,Fairington Elem,5455,388,1341,531,14,2274,65,252,127,4,448,2722,
DeKalb,Fernbank Elem,2125,117,597,683,2,1399,52,167,146,2,367,1766,
DeKalb,Flat Shoals Elem,2409,158,526,324,5,1013,45,112,83,3,243,1256,
DeKalb,Flat Shoals Parkway,3449,177,1098,588,3,1866,35,234,165,3,437,2303,
DeKalb,Flat Rock Elem,3142,220,1116,415,6,1757,47,233,125,1,406,2163,
DeKalb,Flat Shoals,2649,154,508,363,7,1032,39,137,90,1,267,1299,
DeKalb,Flakes Mill Fire Station,2103,100,611,336,6,1053,26,150,95,2,273,1326,
DeKalb,Flat Shoals Library,2788,204,576,345,3,1128,42,153,74,0,269,1397,
DeKalb,Freedom Middle,3227,262,747,469,8,1486,53,143,115,1,312,1798,
DeKalb,Glennwood,2715,90,772,698,4,1564,26,165,166,1,358,1922,
DeKalb,Glenhaven,1880,185,401,267,4,857,57,98,66,0,221,1078,
DeKalb,Gresham Road,3601,188,983,590,14,1775,43,204,182,3,432,2207,
DeKalb,Georgetown Sq,4155,263,1284,553,7,2107,84,337,176,1,598,2705,
DeKalb,Glenwood Road,2293,169,472,318,3,962,43,91,80,0,214,1176,
DeKalb,Hambrick Elem,3776,273,962,515,10,1760,71,219,165,1,456,2216,
DeKalb,Hawthorne Elem,3884,272,1100,633,5,2010,92,315,155,2,564,2574,
DeKalb,Henderson Mill,3104,192,906,688,0,1786,55,264,166,1,486,2272,
DeKalb,Huntley Hills Elem,3508,291,1030,471,6,1798,100,302,123,0,525,2323,
DeKalb,Hugh Howell,1773,168,505,351,1,1025,52,173,126,0,351,1376,
DeKalb,Harris-Narvie J Harris Elem,4031,154,1332,633,8,2127,31,280,140,2,453,2580,
DeKalb,Harris-Margaret Harris ED,1462,119,415,288,5,827,35,110,59,0,204,1031,
DeKalb,Idlewood Elem,2472,210,646,347,7,1210,49,169,100,0,318,1528,
DeKalb,Indian Creek,2318,147,456,335,9,947,34,98,61,2,195,1142,
DeKalb,Johnson Estates,1600,57,491,507,0,1055,27,133,123,0,283,1338,
DeKalb,Jolly Elem,3679,240,807,554,11,1612,68,180,132,3,383,1995,
DeKalb,Kelley Lake Elem,3015,217,597,434,3,1251,63,168,136,0,367,1618,
DeKalb,Kingsley Elem,2490,192,717,556,4,1469,78,267,183,5,533,2002,
DeKalb,Kelley Chapel Road,1337,103,373,245,0,721,27,91,72,1,191,912,
DeKalb,Knollwood,2546,227,531,371,9,1138,57,159,99,2,317,1455,
DeKalb,Kittredge Elem,2161,125,689,457,4,1275,64,286,143,0,493,1768,
DeKalb,Lakeside High,3216,226,980,685,0,1891,74,310,217,2,603,2494,
DeKalb,Lavista Road,2223,149,537,593,4,1283,43,135,160,0,338,1621,
DeKalb,Lavista,3223,208,812,599,6,1625,64,200,149,2,415,2040,
DeKalb,Lithonia,1730,193,336,180,3,712,53,71,39,0,163,875,
DeKalb,Lin-Mary Lin Elem,3009,143,957,822,8,1930,35,214,172,0,421,2351,
DeKalb,Lithonia High,3610,300,879,415,10,1604,58,204,121,3,386,1990,
DeKalb,Livsey Elem,1350,90,442,291,0,823,31,139,84,0,254,1077,
DeKalb,Miller-Eldridge L Miller Elem 3455,261,811,570,6,1648,55,168,151,1,375,2023,,
DeKalb,McNair High,4160,233,1197,791,4,2225,66,260,186,1,513,2738,
DeKalb,Marbut Elem,4234,272,1176,494,14,1956,56,241,123,6,426,2382,
