index,County,Precinct,Registered Voters,Irvin J. Johnson (I) (Dem)_Election Day Votes,Irvin J. Johnson (I) (Dem)_Advanced Voting Votes,Irvin J. Johnson (I) (Dem)_Absentee by Mail Votes,Irvin J. Johnson (I) (Dem)_Provisional Votes,Irvin J. Johnson (I) (Dem)_Choice Total,Total,
0,DeKalb,Allgood Elem,2858,256,903,613,3,1775,1775,
1,DeKalb,Ashford Park Elem,2432,192,778,450,1,1421,1421,
2,DeKalb,Austin,2538,205,804,542,2,1553,1553,
3,DeKalb,Avondale,2906,298,990,771,1,2060,2060,
4,DeKalb,Austin Drive,2536,203,639,454,14,1310,1310,
5,DeKalb,Ashford Dunwoody Rd,2966,176,1093,601,5,1875,1875,
6,DeKalb,Ashford Parkside,3664,209,1065,826,6,2106,2106,
7,DeKalb,Avondale High,3151,133,1156,914,4,2207,2207,
8,DeKalb,Boulevard,4675,261,1874,1188,3,3326,3326,
9,DeKalb,Briar Vista Elem,2965,199,863,836,0,1898,1898,
10,DeKalb,Briarlake Elem,1752,136,538,454,1,1129,1129,
11,DeKalb,Briarwood,2428,172,811,465,3,1451,1451,
12,DeKalb,Brockett Elem,2752,179,858,589,6,1632,1632,
13,DeKalb,Briarcliff,3122,163,794,802,6,1765,1765,
14,DeKalb,Brockett,2681,236,785,544,7,1572,1572,
15,DeKalb,Brookhaven,3444,270,1222,665,2,2159,2159,
16,DeKalb,Browns Mill Elem,3829,315,1478,874,6,2673,2673,
17,DeKalb,Bouldercrest Road,2004,160,778,357,2,1297,1297,
18,DeKalb,Bethune Middle,4838,335,1377,974,18,2704,2704,
19,DeKalb,Burgess Elem,3493,198,1362,858,7,2425,2425,
20,DeKalb,Columbia Drive,2526,220,588,474,8,1290,1290,
21,DeKalb,Canby Lane Elem,2004,220,543,432,8,1203,1203,
22,DeKalb,Columbia Elem,1794,150,332,240,10,732,732,
23,DeKalb,Cedar Grove Elem,4097,303,1501,785,9,2598,2598,
24,DeKalb,Chamblee,2231,163,761,408,3,1335,1335,
25,DeKalb,Candler-Murphey Candler Elem,3712,298,1440,648,6,2392,2392,
26,DeKalb,Chapel Hill Elem,3349,260,1224,703,7,2194,2194,
27,DeKalb,Chesnut Elem,2363,222,829,380,1,1432,1432,
28,DeKalb,Clairemont West,3264,139,1202,1066,4,2411,2411,
29,DeKalb,Clairmont Road,3223,190,904,934,6,2034,2034,
30,DeKalb,Clarkston,3878,387,972,440,13,1812,1812,
31,DeKalb,Clifton,1731,128,532,332,5,997,997,
32,DeKalb,Columbia Middle,2178,156,612,343,5,1116,1116,
33,DeKalb,Coan Recreation Center,4230,211,1600,897,4,2712,2712,
34,DeKalb,Cross Keys High,2260,161,626,504,4,1295,1295,
35,DeKalb,Crossroads,2898,249,887,631,8,1775,1775,
36,DeKalb,Candler,3537,251,1015,589,14,1869,1869,
37,DeKalb,Cedar Grove Middle,1896,134,507,270,4,915,915,
38,DeKalb,Cedar Grove South,3962,271,1587,752,5,2615,2615,
39,DeKalb,Covington Hwy,995,53,102,61,6,222,222,
40,DeKalb,Covington,2376,138,703,368,5,1214,1214,
41,DeKalb,Clairemont East,3226,112,1144,1137,4,2397,2397,
42,DeKalb,Coralwood,3153,157,1062,956,3,2178,2178,
43,DeKalb,Candler Park,4018,119,1726,1232,2,3079,3079,
44,DeKalb,Clarkston Community Center,2495,226,617,387,8,1238,1238,
45,DeKalb,Chamblee 2,3137,169,1187,626,0,1982,1982,
46,DeKalb,Doraville North,3065,319,789,464,6,1578,1578,
47,DeKalb,Doraville South,1255,131,330,214,2,677,677,
48,DeKalb,Dresden Elem,5141,404,1418,956,6,2784,2784,
49,DeKalb,Decatur,1937,87,891,485,1,1464,1464,
50,DeKalb,Dunaire Elem,2268,193,638,435,7,1273,1273,
51,DeKalb,Dunwoody,3003,175,994,584,7,1760,1760,
52,DeKalb,Dunwoody 2,2044,109,701,391,3,1204,1204,
53,DeKalb,Druid Hills High,2725,136,666,647,2,1451,1451,
54,DeKalb,Dunwoody Library,2570,91,933,504,2,1530,1530,
55,DeKalb,East Lake,4139,238,1570,920,7,2735,2735,
56,DeKalb,Embry Hills,1721,108,522,426,0,1056,1056,
57,DeKalb,Evansdale Elem,3441,258,1068,734,4,2064,2064,
58,DeKalb,Emory South,3241,195,1054,894,7,2150,2150,
59,DeKalb,Emory Road,2290,126,645,430,7,1208,1208,
60,DeKalb,Fairington Elem,5455,447,1591,659,18,2715,2715,
61,DeKalb,Fernbank Elem,2125,124,705,710,1,1540,1540,
62,DeKalb,Flat Shoals Elem,2409,201,647,421,9,1278,1278,
63,DeKalb,Flat Shoals Parkway,3449,205,1314,749,4,2272,2272,
64,DeKalb,Flat Rock Elem,3142,259,1347,541,6,2153,2153,
65,DeKalb,Flat Shoals,2649,191,655,458,7,1311,1311,
66,DeKalb,Flakes Mill Fire Station,2103,122,756,425,7,1310,1310,
67,DeKalb,Flat Shoals Library,2788,245,734,422,3,1404,1404,
68,DeKalb,Freedom Middle,3227,294,880,557,10,1741,1741,
69,DeKalb,Glennwood,2715,87,883,803,6,1779,1779,
70,DeKalb,Glenhaven,1880,223,481,324,3,1031,1031,
71,DeKalb,Gresham Road,3601,220,1180,787,16,2203,2203,
72,DeKalb,Georgetown Sq,4155,271,1395,647,7,2320,2320,
73,DeKalb,Glenwood Road,2293,204,555,405,4,1168,1168,
74,DeKalb,Hambrick Elem,3776,308,1110,656,11,2085,2085,
75,DeKalb,Hawthorne Elem,3884,296,1232,700,6,2234,2234,
76,DeKalb,Henderson Mill,3104,185,998,709,2,1894,1894,
77,DeKalb,Huntley Hills Elem,3508,325,1202,540,5,2072,2072,
78,DeKalb,Hugh Howell,1773,157,570,353,1,1081,1081,
79,DeKalb,Harris-Narvie J Harris Elem,4031,183,1618,784,10,2595,2595,
80,DeKalb,Harris-Margaret Harris ED,1462,132,496,307,4,939,939,
81,DeKalb,Idlewood Elem,2472,229,754,435,8,1426,1426,
82,DeKalb,Indian Creek,2318,177,513,374,12,1076,1076,
83,DeKalb,Johnson Estates,1600,49,534,541,0,1124,1124,
84,DeKalb,Jolly Elem,3679,272,930,643,15,1860,1860,
85,DeKalb,Kelley Lake Elem,3015,277,776,576,3,1632,1632,
86,DeKalb,Kingsley Elem,2490,174,722,579,9,1484,1484,
87,DeKalb,Kelley Chapel Road,1337,126,464,320,1,911,911,
88,DeKalb,Knollwood,2546,262,668,466,10,1406,1406,
89,DeKalb,Kittredge Elem,2161,134,755,487,4,1380,1380,
90,DeKalb,Lakeside High,3216,217,1059,728,0,2004,2004,
91,DeKalb,Lavista Road,2223,143,589,637,3,1372,1372,
92,DeKalb,Lavista,3223,219,888,644,8,1759,1759,
93,DeKalb,Lithonia,1730,243,401,215,2,861,861,
94,DeKalb,Lin-Mary Lin Elem,3009,139,1094,895,8,2136,2136,
95,DeKalb,Lithonia High,3610,353,1087,539,13,1992,1992,
96,DeKalb,Livsey Elem,1350,81,491,309,0,881,881,
97,DeKalb,Miller-Eldridge L Miller Elem 3455,309,955,712,7,1983,1983,,
98,DeKalb,McNair High,4160,279,1436,949,7,2671,2671,
99,DeKalb,Marbut Elem,4234,325,1424,625,19,2393,2393,
100,DeKalb,McNair,2794,184,832,603,6,1625,1625,
101,DeKalb,McLendon,3607,194,1051,886,10,2141,2141,
102,DeKalb,McWilliams,2517,150,976,553,4,1683,1683,
103,DeKalb,Medlock,2208,151,713,676,2,1542,1542,
104,DeKalb,Midvale Elem,2747,166,862,676,4,1708,1708,
105,DeKalb,Miller Grove,4747,353,1402,688,14,2457,2457,
106,DeKalb,Montclair Elem,2194,221,659,239,8,1127,1127,
107,DeKalb,Montreal,2586,208,830,520,2,1560,1560,
108,DeKalb,Meadowview,3511,230,1006,765,11,2012,2012,
109,DeKalb,Memorial South,3138,255,715,387,18,1375,1375,
110,DeKalb,Midway,3139,179,756,627,7,1569,1569,
111,DeKalb,McNair Academy,1900,135,622,441,4,1202,1202,
112,DeKalb,Mount Vernon East,2651,179,923,480,3,1585,1585,
113,DeKalb,Mathis-Bob Mathis Elem,2789,226,952,713,5,1896,1896,
114,DeKalb,Mount Vernon West,2303,112,869,425,8,1414,1414,
115,DeKalb,Metropolitan,3405,179,1372,739,10,2300,2300,
116,DeKalb,Montgomery Elem,2446,166,823,536,5,1530,1530,
117,DeKalb,Miller Grove Road,2151,182,744,499,5,1430,1430,
118,DeKalb,Midvale Road,1832,151,647,326,2,1126,1126,
119,DeKalb,Miller Grove High,3470,284,977,455,10,1726,1726,
120,DeKalb,North Decatur,2166,124,637,522,12,1295,1295,
121,DeKalb,North Hairston,2329,231,649,417,6,1303,1303,
122,DeKalb,Northlake,1509,135,458,407,1,1001,1001,
123,DeKalb,North Peachtree,1916,163,533,305,5,1006,1006,
124,DeKalb,Oak Grove Elem,2253,172,693,598,0,1463,1463,
125,DeKalb,Oakcliff Elem,2125,277,464,297,9,1047,1047,
126,DeKalb,Oakhurst,2398,113,1051,700,2,1866,1866,
127,DeKalb,Oak View Elem,5011,363,1738,753,19,2873,2873,
128,DeKalb,Peachcrest,2458,177,625,443,5,1250,1250,
129,DeKalb,Peachtree Middle,3502,247,1208,608,5,2068,2068,
130,DeKalb,Princeton Elem,2376,172,868,457,4,1501,1501,
131,DeKalb,Pine Lake,632,244,136,68,0,448,448,
132,DeKalb,Pleasantdale Road,4538,439,1182,598,9,2228,2228,
133,DeKalb,Ponce de Leon,3766,124,910,825,11,1870,1870,
134,DeKalb,Panola,1586,137,478,329,2,946,946,
135,DeKalb,Panola Way Elem,2252,205,591,318,21,1135,1135,
136,DeKalb,Piney Grove,2018,163,537,341,7,1048,1048,
137,DeKalb,Panola Road,2884,194,1027,576,8,1805,1805,
138,DeKalb,Rainbow Elem,3768,263,1212,840,8,2323,2323,
139,DeKalb,Redan Elem,3020,211,1162,588,8,1969,1969,
140,DeKalb,Rehoboth,1813,105,493,571,3,1172,1172,
141,DeKalb,Rockbridge Elem,3595,320,955,510,19,1804,1804,
142,DeKalb,Rock Chapel Elem,2910,217,1123,515,7,1862,1862,
143,DeKalb,Rowland Elem,3765,292,926,587,9,1814,1814,
144,DeKalb,Redan-Trotti Library,3990,274,1282,746,21,2323,2323,
145,DeKalb,Rockbridge Road,3965,305,1493,967,8,2773,2773,
146,DeKalb,Rowland Road,2080,190,593,416,8,1207,1207,
147,DeKalb,Redan Road,2932,232,898,508,11,1649,1649,
148,DeKalb,Rock Chapel Road,4178,257,1633,807,18,2715,2715,
149,DeKalb,Redan Middle,2496,155,868,522,5,1550,1550,
150,DeKalb,Sagamore Hills Elem,2925,203,931,844,0,1978,1978,
151,DeKalb,Scott,2805,120,833,884,1,1838,1838,
152,DeKalb,Shaw-Robert Shaw Elem,2892,252,861,576,2,1691,1691,
153,DeKalb,Stone Mountain Elem,2338,161,526,592,3,1282,1282,
154,DeKalb,Silver Lake,4979,240,1571,944,2,2757,2757,
155,DeKalb,Skyland,2100,176,682,383,6,1247,1247,
156,DeKalb,Snapfinger Elem,1894,166,609,504,0,1279,1279,
157,DeKalb,Smoke Rise,2108,146,679,506,1,1332,1332,
158,DeKalb,Stone Mtn Middle,3247,292,621,330,14,1257,1257,
159,DeKalb,Stone Mill Elem,3714,346,685,457,15,1503,1503,
160,DeKalb,Shadow Rock Elem,4347,289,1575,1026,12,2902,2902,
161,DeKalb,Stoneview Elem,1988,170,497,247,8,922,922,
162,DeKalb,Salem Middle,3519,224,1399,836,7,2466,2466,
163,DeKalb,Shamrock,1600,140,472,475,3,1090,1090,
164,DeKalb,South Deshon,3470,262,1286,631,11,2190,2190,
165,DeKalb,Stone Mtn Champion,3098,310,784,471,10,1575,1575,
166,DeKalb,Stone Mtn,1711,184,376,311,2,873,873,
167,DeKalb,Snapfinger Road N,2705,241,693,467,6,1407,1407,
168,DeKalb,Snapfinger Road S,1960,159,723,436,3,1321,1321,
169,DeKalb,Stephenson Middle,3822,306,1403,786,2,2497,2497,
170,DeKalb,South Hairston,3814,358,1101,634,12,2105,2105,
171,DeKalb,Stephenson High,3555,264,1206,808,7,2285,2285,
172,DeKalb,Stonecrest Library,3720,219,1535,541,13,2308,2308,
173,DeKalb,Snapfinger Road,4872,219,2222,1075,8,3524,3524,
174,DeKalb,Terry Mill,2808,230,971,593,5,1799,1799,
175,DeKalb,Toney Elem,1729,154,460,360,6,980,980,
176,DeKalb,Tucker Library,3506,138,1252,735,3,2128,2128,
177,DeKalb,Tilly Mill Road,1552,118,505,304,0,927,927,
178,DeKalb,Tucker,2932,134,977,623,6,1740,1740,
179,DeKalb,Valley Brook,1037,124,310,255,6,695,695,
180,DeKalb,Wadsworth,3159,279,881,652,12,1824,1824,
181,DeKalb,Wesley Chapel Library,2922,202,1116,714,7,2039,2039,
182,DeKalb,Woodrow Road,3493,252,1108,495,10,1865,1865,
183,DeKalb,Winnona Park,2020,54,882,569,2,1507,1507,
184,DeKalb,Woodridge Elem,3851,327,1038,755,12,2132,2132,
185,DeKalb,Warren Tech,1364,170,370,219,4,763,763,
186,DeKalb,Woodward,3193,173,1003,804,2,1982,1982,
187,DeKalb,White Oak,2951,316,733,429,7,1485,1485,
188,DeKalb,Winters Chapel,1434,109,453,327,2,891,891,
189,DeKalb,Wynbrooke Elem,3496,289,1340,808,12,2449,2449,
190,DeKalb,Young Road,1951,106,777,427,8,1318,1318,
