index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Dodge,Chauncey,412,147,73,28,0,248,34,16,8,0,58,1,1,0,0,2,308,
1,Dodge,Clark,111,46,19,5,0,70,3,0,0,0,3,0,0,0,0,0,73,
2,Dodge,Eddin,1037,197,292,51,0,540,54,108,73,0,235,1,0,0,0,1,776,
3,Dodge,Empire,456,153,109,27,0,289,9,12,8,0,29,2,3,0,0,5,323,
4,Dodge,Jaybird,212,68,24,9,1,102,18,18,10,0,46,0,0,0,0,0,148,
5,Dodge,Jones,436,133,117,25,0,275,14,22,9,0,45,2,0,1,0,3,323,
6,Dodge,Lee,4816,362,1285,312,3,1962,235,663,295,1,1194,11,7,7,0,25,3181,
7,Dodge,McCranie,293,106,67,17,0,190,10,18,11,0,39,1,0,0,0,1,230,
8,Dodge,Milan,332,110,63,16,0,189,19,10,12,0,41,1,0,0,0,1,231,
9,Dodge,Mitchell,333,115,90,15,0,220,16,22,17,0,55,2,0,0,1,3,278,
10,Dodge,Mullis,505,180,60,50,0,290,42,19,14,0,75,2,0,0,0,2,367,
11,Dodge,Plainfield,454,152,124,23,0,299,8,15,15,0,38,2,0,0,0,2,339,
12,Dodge,Pondtown,689,200,139,59,0,398,42,30,44,0,116,2,0,0,0,2,516,
13,Dodge,Rawlins,923,171,257,52,0,480,33,78,52,0,163,4,0,2,0,6,649,
14,Dodge,Vilula,170,90,35,8,0,133,1,3,6,0,10,1,0,0,0,1,144,
15,Dodge,Yonker,260,105,39,14,0,158,12,6,6,0,24,2,0,0,0,2,184,
