index,County,Precinct,Registered Voters,Carden H. Summers (I) (Rep)_Election Day Votes,Carden H. Summers (I) (Rep)_Advanced Voting Votes,Carden H. Summers (I) (Rep)_Absentee by Mail Votes,Carden H. Summers (I) (Rep)_Provisional Votes,Carden H. Summers (I) (Rep)_Choice Total,Mary Egler (Dem)_Election Day Votes,Mary Egler (Dem)_Advanced Voting Votes,Mary Egler (Dem)_Absentee by Mail Votes,Mary Egler (Dem)_Provisional Votes,Mary Egler (Dem)_Choice Total,Total,
0,Dodge,Chauncey,412,141,70,25,0,236,33,11,8,0,52,288,
1,Dodge,Clark,111,45,19,4,0,68,3,0,0,0,3,71,
2,Dodge,Eddin,1037,187,278,57,0,522,58,92,64,0,214,736,
3,Dodge,Empire,456,148,106,25,0,279,10,13,8,0,31,310,
4,Dodge,Jaybird,212,66,23,12,1,102,14,18,7,0,39,141,
5,Dodge,Jones,436,126,113,26,0,265,16,22,7,0,45,310,
6,Dodge,Lee,4816,358,1250,321,3,1932,227,593,262,0,1082,3014,
7,Dodge,McCranie,293,99,66,17,0,182,8,17,10,0,35,217,
8,Dodge,Milan,332,100,62,15,0,177,18,9,10,0,37,214,
9,Dodge,Mitchell,333,109,84,13,1,207,11,20,16,0,47,254,
10,Dodge,Mullis,505,166,57,46,0,269,32,19,14,0,65,334,
11,Dodge,Plainfield,454,148,120,22,0,290,6,12,13,0,31,321,
12,Dodge,Pondtown,689,197,133,54,0,384,36,28,43,0,107,491,
13,Dodge,Rawlins,923,165,252,58,0,475,30,68,44,0,142,617,
14,Dodge,Vilula,170,86,34,8,0,128,1,1,6,0,8,136,
15,Dodge,Yonker,260,101,37,14,0,152,10,6,5,0,21,173,
