index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Dougherty,Palmyra Methodist,2761,324,296,182,6,808,214,291,225,5,735,11,12,14,0,37,1580,
1,Dougherty,Sherwood Elementary,3205,257,265,181,1,704,378,515,286,0,1179,21,11,13,0,45,1928,
2,Dougherty,Covenant Church,2334,321,210,128,0,659,244,287,203,2,736,11,5,3,0,19,1414,
3,Dougherty,Greenbriar Church,3885,399,673,333,5,1410,258,665,551,4,1478,11,16,5,0,32,2920,
4,Dougherty,Westover High School,3394,306,434,272,0,1012,324,680,400,0,1404,13,11,6,0,30,2446,
5,Dougherty,Merry Acres Middle,2432,316,327,173,3,819,212,309,230,6,757,11,8,7,0,26,1602,
6,Dougherty,Darton College,4289,133,259,130,3,525,472,918,587,6,1983,8,13,7,0,28,2536,
7,Dougherty,Westtown Elementary,3265,42,39,37,0,118,496,616,643,1,1756,5,5,3,0,13,1887,
8,Dougherty,2nd Mt Zion Church,1465,260,168,103,1,532,136,145,167,2,450,9,2,2,0,13,995,
9,Dougherty,Mt Zion Center,3638,29,16,23,0,68,547,556,604,2,1709,10,12,5,0,27,1804,
10,Dougherty,Alice Coachman Elementary,750,8,1,9,0,18,124,164,196,0,484,2,3,1,0,6,508,
11,Dougherty,Carver Teen Center,1667,17,4,9,0,30,223,153,226,3,605,3,0,3,0,6,641,
12,Dougherty,Shiloh Baptist Church,1510,16,25,12,0,53,258,163,209,0,630,6,2,6,0,14,697,
13,Dougherty,Litman Cathedral,1486,22,14,12,1,49,225,183,199,21,628,7,3,1,1,12,689,
14,Dougherty,Phoebe Healthworks,1574,74,34,27,0,135,165,147,173,1,486,5,6,4,0,15,636,
15,Dougherty,Turner Elementary,1205,10,4,7,0,21,105,70,62,6,243,5,3,2,0,10,274,
16,Dougherty,Jackson Heights Elementary,2549,19,12,16,0,47,391,318,352,0,1061,8,4,2,0,14,1122,
17,Dougherty,Bill Miller Center,2404,50,34,30,0,114,326,369,265,5,965,4,7,5,0,16,1095,
18,Dougherty,Radium Middle School,693,59,26,32,0,117,96,119,72,0,287,3,1,1,0,5,409,
19,Dougherty,Putney 1st Baptist Church,2819,490,227,129,1,847,264,324,302,0,890,14,3,12,0,29,1766,
20,Dougherty,International Studies,1042,85,62,36,0,183,105,182,181,1,469,3,3,1,0,7,659,
21,Dougherty,Phoebe East,2965,89,53,57,1,200,449,376,348,3,1176,11,6,3,0,20,1396,
22,Dougherty,Pine Bluff Baptist Church,2221,210,128,112,0,450,262,302,285,0,849,12,6,4,0,22,1321,
23,Dougherty,Albany Middle School,1963,35,22,17,0,74,326,265,245,4,840,6,3,1,0,10,924,
24,Dougherty,Christ Church,1879,443,300,181,0,924,104,253,201,1,559,6,4,3,0,13,1496,
25,Dougherty,Lamar Reese Elementary,1098,21,14,9,1,45,168,196,253,4,621,3,2,2,0,7,673,
26,Dougherty,1st Christian Church,1505,222,231,149,0,602,151,185,127,1,464,9,4,6,0,19,1085,
27,Dougherty,Lovett Hall,1174,14,4,1,0,19,183,163,31,1,378,5,1,1,0,7,404,
