index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Effingham,1A,1965,328,540,150,1,1019,115,212,46,0,373,1392,
1,Effingham,1B,3005,537,707,207,1,1452,146,298,76,1,521,1973,
2,Effingham,1C,1446,352,259,100,0,711,132,92,21,0,245,956,
3,Effingham,1D,2031,421,452,126,1,1000,158,151,46,0,355,1355,
4,Effingham,2A,3038,543,802,257,1,1603,164,308,88,0,560,2163,
5,Effingham,2B,3010,499,703,261,1,1464,134,287,85,0,506,1970,
6,Effingham,2C,4621,608,1338,408,2,2356,185,486,165,2,838,3194,
7,Effingham,3A,1398,262,331,94,0,687,89,139,35,0,263,950,
8,Effingham,3B,1553,276,360,111,0,747,96,155,50,0,301,1048,
9,Effingham,3C,2060,251,614,136,0,1001,101,224,32,2,359,1360,
10,Effingham,3D,3125,445,916,210,2,1573,128,310,75,2,515,2088,
11,Effingham,4A,3726,417,1102,264,2,1785,149,401,92,0,642,2427,
12,Effingham,4B,1888,224,493,143,0,860,68,182,82,0,332,1192,
13,Effingham,4C,2837,387,747,222,0,1356,107,322,72,0,501,1857,
14,Effingham,5A,2924,406,836,210,1,1453,109,282,75,1,467,1920,
15,Effingham,5B,3962,502,1074,317,1,1894,156,384,126,0,666,2560,
16,Effingham,5C,1684,244,513,163,2,922,61,140,39,1,241,1163,
