index,County,Precinct,Registered Voters,David H. Exley (I) (Rep)_Election Day Votes,David H. Exley (I) (Rep)_Advanced Voting Votes,David H. Exley (I) (Rep)_Absentee by Mail Votes,David H. Exley (I) (Rep)_Provisional Votes,David H. Exley (I) (Rep)_Choice Total,Total,
0,Effingham,1A,1965,434,713,147,1,1295,1295,
1,Effingham,1B,3005,680,994,242,1,1917,1917,
2,Effingham,1C,1446,470,325,94,0,889,889,
3,Effingham,1D,2031,582,597,138,1,1318,1318,
4,Effingham,2A,3038,691,1050,283,1,2025,2025,
5,Effingham,2B,3010,600,905,267,1,1773,1773,
6,Effingham,2C,4621,761,1689,437,3,2890,2890,
7,Effingham,3A,1398,350,468,110,0,928,928,
8,Effingham,3B,1553,343,469,127,0,939,939,
9,Effingham,3C,2060,343,801,149,1,1294,1294,
10,Effingham,3D,3125,553,1163,222,3,1941,1941,
11,Effingham,4A,3726,544,1440,306,2,2292,2292,
12,Effingham,4B,1888,271,605,157,0,1033,1033,
13,Effingham,4C,2837,471,1050,247,0,1768,1768,
14,Effingham,5A,2924,493,1042,226,2,1763,1763,
15,Effingham,5B,3962,606,1283,315,1,2205,2205,
16,Effingham,5C,1684,292,598,155,1,1046,1046,
