index,County,Precinct,Registered Voters,Lee Anderson (I) (Rep)_Election Day Votes,Lee Anderson (I) (Rep)_Advanced Voting Votes,Lee Anderson (I) (Rep)_Absentee by Mail Votes,Lee Anderson (I) (Rep)_Provisional Votes,Lee Anderson (I) (Rep)_Choice Total,Total,
0,Elbert,Elberton,3798,276,1165,422,0,1863,1863,
1,Elbert,Longstreet,622,114,207,71,0,392,392,
2,Elbert,Eliam,748,161,260,99,0,520,520,
3,Elbert,Petersburg,377,105,93,57,0,255,255,
4,Elbert,Wyche,1095,146,447,127,0,720,720,
5,Elbert,Moss-Ruckersville,468,105,132,56,0,293,293,
6,Elbert,Pike,1596,251,474,201,0,926,926,
7,Elbert,Gaines,570,180,132,68,0,380,380,
8,Elbert,Goshen,1612,368,525,156,0,1049,1049,
9,Elbert,Webbsboro,408,99,133,44,0,276,276,
10,Elbert,Centerville,1011,219,347,93,0,659,659,
