index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Emanuel,Oak Park,686,166,97,30,0,293,82,49,18,0,149,442,
1,Emanuel,Cross-Green,241,48,31,20,0,99,36,16,14,0,66,165,
2,Emanuel,Swainsboro,6988,636,1401,547,0,2584,313,834,337,1,1485,4069,
3,Emanuel,Summertown,504,108,77,37,0,222,49,38,19,0,106,328,
4,Emanuel,Stillmore,608,110,86,27,0,223,69,41,13,0,123,346,
5,Emanuel,Blundale,756,142,156,35,0,333,78,83,26,0,187,520,
6,Emanuel,Canoochee,681,157,117,34,0,308,74,43,16,0,133,441,
7,Emanuel,Garfield,489,138,61,26,0,225,71,28,12,0,111,336,
8,Emanuel,Nunez,384,82,58,15,0,155,44,28,13,0,85,240,
9,Emanuel,Twin City,1551,248,296,108,0,652,131,165,55,0,351,1003,
10,Emanuel,Adrian,827,162,119,58,1,340,82,48,38,0,168,508,
