index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Emanuel,Oak Park,686,266,149,41,0,456,12,11,11,0,34,3,0,0,0,3,493,
1,Emanuel,Cross-Green,241,27,34,4,0,65,67,20,30,0,117,3,0,0,0,3,185,
2,Emanuel,Swainsboro,6988,619,1682,488,1,2790,419,849,518,0,1786,13,13,2,0,28,4604,
3,Emanuel,Summertown,504,151,106,30,0,287,30,22,34,0,86,0,0,0,0,0,373,
4,Emanuel,Stillmore,608,143,99,28,0,270,63,45,20,0,128,2,1,0,0,3,401,
5,Emanuel,Blundale,756,232,253,64,0,549,5,17,7,0,29,1,2,0,0,3,581,
6,Emanuel,Canoochee,681,239,128,32,0,399,30,46,25,0,101,3,1,0,0,4,504,
7,Emanuel,Garfield,489,199,74,21,0,294,29,24,24,0,77,3,1,2,0,6,377,
8,Emanuel,Nunez,384,124,78,20,0,222,25,19,8,0,52,2,0,2,0,4,278,
9,Emanuel,Twin City,1551,289,363,78,0,730,134,157,109,0,400,5,3,1,0,9,1139,
10,Emanuel,Adrian,827,239,160,90,0,489,28,24,22,0,74,1,1,0,1,3,566,
