index,County,Precinct,Registered Voters,Butch Parrish (I) (Rep)_Election Day Votes,Butch Parrish (I) (Rep)_Advanced Voting Votes,Butch Parrish (I) (Rep)_Absentee by Mail Votes,Butch Parrish (I) (Rep)_Provisional Votes,Butch Parrish (I) (Rep)_Choice Total,Ann P.D. Gleason (Dem)_Election Day Votes,Ann P.D. Gleason (Dem)_Advanced Voting Votes,Ann P.D. Gleason (Dem)_Absentee by Mail Votes,Ann P.D. Gleason (Dem)_Provisional Votes,Ann P.D. Gleason (Dem)_Choice Total,Total,
0,Emanuel,Oak Park,686,257,149,43,0,449,12,8,9,0,29,478,
1,Emanuel,Cross-Green,241,51,35,10,0,96,40,19,23,0,82,178,
2,Emanuel,Swainsboro,6988,689,1837,577,1,3104,323,635,394,0,1352,4456,
3,Emanuel,Summertown,504,154,110,37,0,301,20,17,27,0,64,365,
4,Emanuel,Stillmore,608,149,99,30,0,278,51,35,17,0,103,381,
5,Emanuel,Blundale,756,221,251,65,0,537,8,14,4,0,26,563,
6,Emanuel,Canoochee,681,248,138,33,0,419,23,34,22,0,79,498,
7,Emanuel,Garfield,489,199,74,24,0,297,28,20,20,0,68,365,
8,Emanuel,Nunez,384,126,83,22,0,231,22,13,7,0,42,273,
9,Emanuel,Twin City,1551,307,374,93,0,774,113,129,89,0,331,1105,
10,Emanuel,Adrian,827,237,160,95,0,492,27,20,15,1,63,555,
