index,County,Precinct,Registered Voters,Terry Bramlett (I) (Rep)_Election Day Votes,Terry Bramlett (I) (Rep)_Advanced Voting Votes,Terry Bramlett (I) (Rep)_Absentee by Mail Votes,Terry Bramlett (I) (Rep)_Provisional Votes,Terry Bramlett (I) (Rep)_Choice Total,Total,
0,Fannin,Colwell,1105,289,316,144,0,749,749,
1,Fannin,Fairplay,1262,308,330,132,0,770,770,
2,Fannin,Flinthill,3202,669,830,390,1,1890,1890,
3,Fannin,Hemptown,1336,351,358,146,3,858,858,
4,Fannin,Hothouse,1290,266,395,160,6,827,827,
5,Fannin,Mineral Bluff,1817,338,590,249,0,1177,1177,
6,Fannin,Mobile,1160,308,296,142,0,746,746,
7,Fannin,Morganton,2067,471,612,266,2,1351,1351,
8,Fannin,Noontootla,839,185,243,156,0,584,584,
9,Fannin,Skeniah,331,117,65,51,2,235,235,
10,Fannin,Sugar Creek,2437,395,850,309,1,1555,1555,
11,Fannin,Toccoa,3553,501,1194,486,4,2185,2185,
