County,Precinct,Registered Voters,Becky Callihan (I) (Rep)_Election Day Votes,Becky Callihan (I) (Rep)_Advanced Voting Votes,Becky Callihan (I) (Rep)_Absentee by Mail Votes,Becky Callihan (I) (Rep)_Provisional Votes,Becky Callihan (I) (Rep)_Choice Total,Total,
Fannin,Colwell,1105,287,327,157,0,771,771,
Fannin,Fairplay,1262,312,332,140,0,784,784,
Fannin,Flinthill,3202,676,844,402,1,1923,1923,
Fannin,Hemptown,1336,355,360,148,3,866,866,
Fannin,Hothouse,1290,272,399,166,7,844,844,
Fannin,Mineral Bluff,1817,340,610,262,0,1212,1212,
Fannin,Mobile,1160,314,299,143,0,756,756,
Fannin,Morganton,2067,473,614,271,2,1360,1360,
Fannin,Noontootla,839,185,243,161,0,589,589,
Fannin,Skeniah,331,117,67,50,2,236,236,
Fannin,Sugar Creek,2437,398,864,324,1,1587,1587,
Fannin,Toccoa,3553,504,1215,503,4,2226,2226,
