index,County,Precinct,Registered Voters,Scott A. Hollowell (I) (Rep)_Election Day Votes,Scott A. Hollowell (I) (Rep)_Advanced Voting Votes,Scott A. Hollowell (I) (Rep)_Absentee by Mail Votes,Scott A. Hollowell (I) (Rep)_Provisional Votes,Scott A. Hollowell (I) (Rep)_Choice Total,Total,
0,Fayette,Shakerag West,1236,63,565,173,1,802,802,
1,Fayette,Whitewater,3564,147,560,199,0,906,906,
2,Fayette,Oak Grove,1344,152,541,142,1,836,836,
3,Fayette,Kedron,4862,435,1828,601,2,2866,2866,
4,Fayette,Aberdeen,1805,160,755,212,0,1127,1127,
5,Fayette,Windgate,1011,141,414,105,2,662,662,
6,Fayette,Flat Creek,2117,230,689,267,3,1189,1189,
7,Fayette,Braelinn,1876,206,865,264,1,1336,1336,
8,Fayette,Fielding Ridge,3497,321,1536,420,0,2277,2277,
9,Fayette,Willowbend,2007,178,851,229,0,1258,1258,
10,Fayette,Camp Creek,1895,183,822,246,2,1253,1253,
