index,County,Precinct,Registered Voters,W. Bee Huddleston (I) (Rep)_Election Day Votes,W. Bee Huddleston (I) (Rep)_Advanced Voting Votes,W. Bee Huddleston (I) (Rep)_Absentee by Mail Votes,W. Bee Huddleston (I) (Rep)_Provisional Votes,W. Bee Huddleston (I) (Rep)_Choice Total,Total,
0,Fayette,Blackrock,2699,162,618,380,8,1168,1168,
1,Fayette,Brooks,2567,556,905,378,1,1840,1840,
2,Fayette,Europe,3310,165,698,408,9,1280,1280,
3,Fayette,Fayetteville East,2147,155,545,287,4,991,991,
4,Fayette,Fayetteville West,2362,177,632,338,0,1147,1147,
5,Fayette,Flint,1732,182,419,204,0,805,805,
6,Fayette,Hopeful,2309,246,584,257,0,1087,1087,
7,Fayette,Morning Creek,3059,195,807,524,1,1527,1527,
8,Fayette,Rareover,3045,179,1509,283,3,1974,1974,
9,Fayette,Sandy Creek,4848,247,1601,465,4,2317,2317,
10,Fayette,Shakerag East,1689,225,600,186,2,1013,1013,
11,Fayette,Shakerag West,1236,63,575,185,1,824,824,
12,Fayette,Starrsmill,3572,444,1089,483,0,2016,2016,
13,Fayette,Whitewater,3564,349,1446,532,8,2335,2335,
14,Fayette,Woolsey,2542,349,864,434,0,1647,1647,
15,Fayette,McIntosh,3323,233,1405,467,2,2107,2107,
16,Fayette,Oak Grove,1344,155,553,152,1,861,861,
17,Fayette,Kedron,4862,439,1844,608,2,2893,2893,
18,Fayette,Aberdeen,1805,164,759,213,0,1136,1136,
19,Fayette,Windgate,1011,143,416,107,2,668,668,
20,Fayette,Flat Creek,2117,228,695,273,3,1199,1199,
21,Fayette,Braelinn,1876,208,866,259,2,1335,1335,
22,Fayette,Kenwood,1014,101,215,120,0,436,436,
23,Fayette,Banks,1624,197,380,258,0,835,835,
24,Fayette,Harps Crossing,1646,182,499,255,2,938,938,
25,Fayette,Willow Pond,3100,288,990,448,7,1733,1733,
26,Fayette,Dogwood,3092,282,1280,443,3,2008,2008,
27,Fayette,Oak Ridge,2225,207,554,350,3,1114,1114,
28,Fayette,Jeff Davis,2876,152,684,349,5,1190,1190,
29,Fayette,Murphy,3224,221,943,512,4,1680,1680,
30,Fayette,Fielding Ridge,3497,323,1531,418,0,2272,2272,
31,Fayette,Willowbend,2007,179,869,227,0,1275,1275,
32,Fayette,Camp Creek,1895,184,828,255,2,1269,1269,
33,Fayette,Rising Star,3833,417,1903,479,2,2801,2801,
34,Fayette,Spring Hill,3299,192,942,422,1,1557,1557,
35,Fayette,Antioch,1956,319,499,261,1,1080,1080,
