index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Fayette,Blackrock,2699,84,278,207,6,575,127,720,459,4,1310,17,21,7,0,45,1930,
1,Fayette,Brooks,2567,525,839,299,1,1664,28,95,137,0,260,18,18,10,0,46,1970,
2,Fayette,Europe,3310,47,168,85,4,304,189,1075,751,12,2027,10,37,17,0,64,2395,
3,Fayette,Fayetteville East,2147,74,294,168,3,539,91,421,258,3,773,16,36,17,0,69,1381,
4,Fayette,Fayetteville West,2362,112,363,161,0,636,87,469,305,1,862,17,37,15,0,69,1567,
5,Fayette,Flint,1732,127,199,120,0,446,84,439,223,0,746,8,16,9,0,33,1225,
6,Fayette,Hopeful,2309,142,343,112,0,597,143,474,346,1,964,18,28,16,0,62,1623,
7,Fayette,Morning Creek,3059,107,441,295,1,844,144,652,470,1,1267,10,32,24,0,66,2177,
8,Fayette,Rareover,3045,142,1172,211,3,1528,50,482,152,0,684,13,78,16,0,107,2319,
9,Fayette,Sandy Creek,4848,133,936,239,1,1309,168,1385,533,4,2090,19,73,29,0,121,3520,
10,Fayette,Shakerag East,1689,177,459,124,1,761,61,221,139,1,422,19,23,8,0,50,1233,
11,Fayette,Shakerag West,1236,46,470,128,1,645,16,186,138,1,341,10,29,13,0,52,1038,
12,Fayette,Starrsmill,3572,385,953,389,0,1727,70,223,205,0,498,26,34,19,0,79,2304,
13,Fayette,Whitewater,3564,290,1199,400,4,1893,72,432,283,6,793,20,38,25,1,84,2770,
14,Fayette,Woolsey,2542,315,748,351,0,1414,36,142,185,0,363,21,21,16,0,58,1835,
15,Fayette,McIntosh,3323,200,1156,319,2,1677,46,458,316,0,820,15,54,20,0,89,2586,
16,Fayette,Oak Grove,1344,116,421,105,1,643,50,185,101,1,337,13,28,6,0,47,1027,
17,Fayette,Kedron,4862,314,1321,366,1,2002,168,857,493,1,1519,38,105,32,1,176,3697,
18,Fayette,Aberdeen,1805,121,606,172,0,899,40,244,112,0,396,23,29,9,0,61,1356,
19,Fayette,Windgate,1011,108,323,64,2,497,26,135,82,0,243,19,31,8,0,58,798,
20,Fayette,Flat Creek,2117,148,525,213,3,889,89,279,148,1,517,27,41,15,0,83,1489,
21,Fayette,Braelinn,1876,177,765,201,2,1145,34,166,106,0,306,9,20,13,0,42,1493,
22,Fayette,Kenwood,1014,44,73,45,0,162,91,273,197,2,563,7,10,9,0,26,751,
23,Fayette,Banks,1624,127,246,167,0,540,97,250,217,0,564,7,16,13,0,36,1140,
24,Fayette,Harps Crossing,1646,151,393,194,2,740,48,178,140,1,367,8,24,9,0,41,1148,
25,Fayette,Willow Pond,3100,206,685,240,7,1138,100,526,388,2,1016,19,41,32,0,92,2246,
26,Fayette,Dogwood,3092,219,1001,310,3,1533,70,489,276,0,835,19,44,21,0,84,2452,
27,Fayette,Oak Ridge,2225,133,301,182,1,617,110,429,378,6,923,10,28,21,1,60,1600,
28,Fayette,Jeff Davis,2876,75,342,188,2,607,113,625,377,4,1119,12,27,17,1,57,1783,
29,Fayette,Murphy,3224,153,609,327,2,1091,97,608,413,1,1119,17,37,17,1,72,2282,
30,Fayette,Fielding Ridge,3497,261,1215,249,0,1725,77,500,333,0,910,27,76,37,0,140,2775,
31,Fayette,Willowbend,2007,138,680,166,0,984,47,251,141,0,439,20,48,14,0,82,1505,
32,Fayette,Camp Creek,1895,155,681,180,1,1017,31,229,148,1,409,11,32,10,0,53,1479,
33,Fayette,Rising Star,3833,354,1638,361,1,2354,69,496,279,2,846,29,56,30,0,115,3315,
34,Fayette,Spring Hill,3299,129,598,252,0,979,87,681,453,2,1223,12,40,26,0,78,2280,
35,Fayette,Antioch,1956,235,352,173,1,761,97,224,189,0,510,25,27,13,0,65,1336,
