index,County,Precinct,Registered Voters,James K. Inagawa (I) (Rep)_Election Day Votes,James K. Inagawa (I) (Rep)_Advanced Voting Votes,James K. Inagawa (I) (Rep)_Absentee by Mail Votes,James K. Inagawa (I) (Rep)_Provisional Votes,James K. Inagawa (I) (Rep)_Choice Total,Total,
0,Fayette,Blackrock,2699,160,606,359,9,1134,1134,
1,Fayette,Brooks,2567,547,892,371,0,1810,1810,
2,Fayette,Europe,3310,163,684,400,8,1255,1255,
3,Fayette,Fayetteville East,2147,154,538,272,4,968,968,
4,Fayette,Fayetteville West,2362,174,613,329,0,1116,1116,
5,Fayette,Flint,1732,180,410,196,0,786,786,
6,Fayette,Hopeful,2309,247,571,251,0,1069,1069,
7,Fayette,Morning Creek,3059,193,787,517,1,1498,1498,
8,Fayette,Rareover,3045,179,1472,278,3,1932,1932,
9,Fayette,Sandy Creek,4848,239,1580,462,3,2284,2284,
10,Fayette,Shakerag East,1689,229,589,185,2,1005,1005,
11,Fayette,Shakerag West,1236,62,566,177,1,806,806,
12,Fayette,Starrsmill,3572,442,1074,471,0,1987,1987,
13,Fayette,Whitewater,3564,348,1432,526,8,2314,2314,
14,Fayette,Woolsey,2542,348,851,422,0,1621,1621,
15,Fayette,McIntosh,3323,236,1393,460,2,2091,2091,
16,Fayette,Oak Grove,1344,153,549,151,1,854,854,
17,Fayette,Kedron,4862,437,1815,602,2,2856,2856,
18,Fayette,Aberdeen,1805,162,756,214,0,1132,1132,
19,Fayette,Windgate,1011,141,412,105,2,660,660,
20,Fayette,Flat Creek,2117,226,689,264,3,1182,1182,
21,Fayette,Braelinn,1876,208,864,259,1,1332,1332,
22,Fayette,Kenwood,1014,100,215,119,0,434,434,
23,Fayette,Banks,1624,190,380,252,0,822,822,
24,Fayette,Harps Crossing,1646,182,492,254,2,930,930,
25,Fayette,Willow Pond,3100,284,981,436,7,1708,1708,
26,Fayette,Dogwood,3092,281,1260,433,2,1976,1976,
27,Fayette,Oak Ridge,2225,208,545,341,3,1097,1097,
28,Fayette,Jeff Davis,2876,150,664,342,5,1161,1161,
29,Fayette,Murphy,3224,219,919,505,4,1647,1647,
30,Fayette,Fielding Ridge,3497,322,1528,412,0,2262,2262,
31,Fayette,Willowbend,2007,176,865,228,0,1269,1269,
32,Fayette,Camp Creek,1895,182,825,244,2,1253,1253,
33,Fayette,Rising Star,3833,411,1884,480,2,2777,2777,
34,Fayette,Spring Hill,3299,187,927,418,1,1533,1533,
35,Fayette,Antioch,1956,311,492,257,1,1061,1061,
