index,County,Precinct,Registered Voters,Josh Bonner (I) (Rep)_Election Day Votes,Josh Bonner (I) (Rep)_Advanced Voting Votes,Josh Bonner (I) (Rep)_Absentee by Mail Votes,Josh Bonner (I) (Rep)_Provisional Votes,Josh Bonner (I) (Rep)_Choice Total,Fred Rovner (Dem)_Election Day Votes,Fred Rovner (Dem)_Advanced Voting Votes,Fred Rovner (Dem)_Absentee by Mail Votes,Fred Rovner (Dem)_Provisional Votes,Fred Rovner (Dem)_Choice Total,Total,
0,Fayette,Brooks,2567,536,843,313,2,1694,33,104,130,0,267,1961,
1,Fayette,Shakerag East,1689,198,478,127,1,804,59,222,144,1,426,1230,
2,Fayette,Shakerag West,1236,52,497,138,1,688,21,185,133,1,340,1028,
3,Fayette,Starrsmill,3572,397,990,398,0,1785,83,219,214,0,516,2301,
4,Fayette,Whitewater,3564,303,1220,415,5,1943,79,448,284,6,817,2760,
5,Fayette,McIntosh,3323,211,1196,333,1,1741,51,469,313,1,834,2575,
6,Fayette,Oak Grove,1344,125,444,108,0,677,50,185,103,2,340,1017,
7,Fayette,Kedron,4862,146,468,110,0,724,63,206,128,0,397,1121,
8,Fayette,Aberdeen,1805,135,622,176,0,933,45,259,114,0,418,1351,
9,Fayette,Windgate,1011,122,337,64,2,525,28,151,84,0,263,788,
10,Fayette,Flat Creek,2117,170,541,222,3,936,95,297,152,1,545,1481,
11,Fayette,Braelinn,1876,187,788,209,2,1186,34,158,110,0,302,1488,
12,Fayette,Willow Pond,3100,114,350,134,2,600,51,206,160,2,419,1019,
13,Fayette,Fielding Ridge,3497,202,873,200,0,1275,44,307,230,0,581,1856,
14,Fayette,Willowbend,2007,149,709,176,0,1034,53,271,147,0,471,1505,
15,Fayette,Camp Creek,1895,165,710,185,1,1061,30,240,142,1,413,1474,
16,Fayette,Rising Star,3833,364,1665,379,1,2409,85,516,285,2,888,3297,
