index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Fayette,Blackrock,2699,160,737,438,7,1342,59,250,189,2,500,1842,
1,Fayette,Brooks,2567,371,611,305,1,1288,173,299,129,1,602,1890,
2,Fayette,Europe,3310,195,993,597,10,1795,50,263,235,6,554,2349,
3,Fayette,Fayetteville East,2147,129,533,283,4,949,49,194,142,1,386,1335,
4,Fayette,Fayetteville West,2362,158,630,354,1,1143,48,225,104,0,377,1520,
5,Fayette,Flint,1732,160,463,237,0,860,58,156,101,0,315,1175,
6,Fayette,Hopeful,2309,210,603,323,1,1137,85,220,132,0,437,1574,
7,Fayette,Morning Creek,3059,193,831,552,1,1577,59,278,206,0,543,2120,
8,Fayette,Rareover,3045,160,1186,239,3,1588,42,488,127,0,657,2245,
9,Fayette,Sandy Creek,4848,258,1714,567,5,2544,50,605,207,1,863,3407,
10,Fayette,Shakerag East,1689,176,481,192,2,851,74,200,66,0,340,1191,
11,Fayette,Shakerag West,1236,54,462,177,1,694,17,204,83,1,305,999,
12,Fayette,Starrsmill,3572,335,800,389,0,1524,125,371,204,0,700,2224,
13,Fayette,Whitewater,3564,254,1134,460,6,1854,123,491,216,3,833,2687,
14,Fayette,Woolsey,2542,246,613,326,0,1185,121,275,200,0,596,1781,
15,Fayette,McIntosh,3323,185,1126,436,1,1748,66,485,181,1,733,2481,
16,Fayette,Oak Grove,1344,141,448,149,0,738,42,169,58,1,270,1008,
17,Fayette,Kedron,4862,351,1555,570,3,2479,148,652,276,0,1076,3555,
18,Fayette,Aberdeen,1805,120,591,195,0,906,57,259,88,0,404,1310,
19,Fayette,Windgate,1011,101,334,101,1,537,49,134,49,1,233,770,
20,Fayette,Flat Creek,2117,181,582,246,2,1011,70,224,110,1,405,1416,
21,Fayette,Braelinn,1876,146,637,222,1,1006,64,281,96,0,441,1447,
22,Fayette,Kenwood,1014,104,275,176,2,557,33,70,65,0,168,725,
23,Fayette,Banks,1624,168,357,260,0,785,57,146,109,0,312,1097,
24,Fayette,Harps Crossing,1646,145,393,205,2,745,55,186,122,0,363,1108,
25,Fayette,Willow Pond,3100,225,859,447,4,1535,89,354,186,4,633,2168,
26,Fayette,Dogwood,3092,220,1012,410,3,1645,85,441,177,0,703,2348,
27,Fayette,Oak Ridge,2225,189,549,394,4,1136,61,195,163,2,421,1557,
28,Fayette,Jeff Davis,2876,147,754,390,5,1296,43,224,166,2,435,1731,
29,Fayette,Murphy,3224,185,852,489,2,1528,78,367,250,2,697,2225,
30,Fayette,Fielding Ridge,3497,259,1226,410,0,1895,95,520,185,0,800,2695,
31,Fayette,Willowbend,2007,146,665,223,0,1034,51,288,89,0,428,1462,
32,Fayette,Camp Creek,1895,131,610,218,1,960,60,298,106,1,465,1425,
33,Fayette,Rising Star,3833,308,1454,444,1,2207,133,651,201,2,987,3194,
34,Fayette,Spring Hill,3299,164,905,487,0,1556,59,370,214,1,644,2200,
35,Fayette,Antioch,1956,246,407,272,1,926,101,186,92,0,379,1305,
