index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Fayette,Blackrock,2699,2,2,3,0,7,0,2,2,0,4,19,106,84,2,211,0,1,3,0,4,2,3,4,0,9,0,1,1,0,2,6,5,0,0,11,23,85,34,2,144,10,38,9,0,57,0,3,1,0,4,12,36,9,0,57,7,38,6,1,52,46,144,118,2,310,5,9,1,0,15,3,5,1,0,9,2,5,2,0,9,2,2,1,0,5,2,3,0,0,5,82,533,398,2,1015,2,7,4,0,13,1943,
1,Fayette,Brooks,2567,1,3,2,0,6,1,1,2,0,4,179,284,101,1,565,2,1,2,0,5,8,6,10,0,24,0,0,1,0,1,4,11,1,0,16,6,10,19,0,35,1,3,4,0,8,10,8,1,0,19,1,6,2,0,9,4,15,17,0,36,306,512,173,1,992,0,3,0,0,3,10,7,3,0,20,0,0,1,0,1,0,0,1,0,1,5,7,4,0,16,27,74,102,0,203,1,1,3,0,5,1969,
2,Fayette,Europe,3310,1,2,3,0,6,1,1,2,2,6,13,62,25,0,100,0,0,2,2,4,3,4,1,1,9,1,1,3,0,5,4,4,3,0,11,24,108,63,3,198,10,31,15,1,57,2,1,0,0,3,7,37,12,0,56,9,36,6,0,51,23,86,49,2,160,10,19,2,0,31,3,2,1,0,6,1,6,2,0,9,1,6,3,0,10,0,4,1,0,5,138,877,667,4,1686,2,8,3,0,13,2426,
3,Fayette,Fayetteville East,2147,1,1,5,0,7,0,2,1,0,3,24,117,63,2,206,0,3,4,0,7,1,4,0,0,5,0,2,1,0,3,3,2,2,0,7,17,71,33,1,122,8,25,7,0,40,1,1,1,0,3,10,26,12,0,48,10,29,9,0,48,43,162,92,1,298,2,15,1,0,18,3,5,3,0,11,1,3,0,0,4,0,2,0,0,2,1,6,0,0,7,57,282,206,4,549,4,6,3,0,13,1401,
4,Fayette,Fayetteville West,2362,4,4,0,0,8,2,2,2,0,6,33,149,56,0,238,4,3,1,0,8,4,5,4,0,13,0,2,0,0,2,7,5,4,0,16,13,59,32,0,104,3,31,6,0,40,5,4,1,0,10,3,29,8,1,41,11,24,17,0,52,61,189,99,0,349,2,11,1,0,14,3,5,2,0,10,0,3,0,0,3,1,3,5,0,9,2,3,2,0,7,60,347,239,0,646,0,4,4,0,8,1584,
5,Fayette,Flint,1732,2,3,0,0,5,2,1,0,0,3,46,74,47,0,167,0,0,2,0,2,1,3,1,0,5,0,0,0,0,0,4,4,1,0,9,12,74,23,0,109,6,13,7,0,26,1,4,4,0,9,3,19,7,0,29,6,19,7,0,32,71,110,65,0,246,1,9,0,0,10,2,5,0,0,7,2,1,0,0,3,3,1,1,0,5,2,1,4,0,7,56,309,181,0,546,1,8,2,0,11,1231,
6,Fayette,Hopeful,2309,3,1,2,0,6,0,1,3,0,4,49,121,37,0,207,3,3,0,0,6,2,9,3,0,14,0,1,0,0,1,2,1,1,0,4,20,59,21,1,101,8,20,8,0,36,2,5,3,0,10,7,15,9,0,31,8,23,9,0,40,89,193,64,0,346,3,4,0,0,7,1,2,1,0,4,0,4,3,0,7,0,3,1,0,4,2,8,0,0,10,106,375,310,0,791,2,4,1,0,7,1636,
7,Fayette,Morning Creek,3059,0,3,4,0,7,1,2,5,0,8,28,143,116,0,287,1,1,0,0,2,3,6,9,0,18,1,2,0,0,3,1,6,3,0,10,18,84,38,0,140,14,46,15,1,76,4,5,2,0,11,7,25,11,0,43,5,37,11,0,53,73,268,157,0,498,4,19,0,0,23,1,6,2,0,9,1,5,1,0,7,1,2,1,0,4,0,2,1,0,3,99,473,418,0,990,1,6,3,0,10,2202,
8,Fayette,Rareover,3045,0,5,1,0,6,1,5,1,0,7,42,464,77,1,584,3,7,1,1,12,2,18,4,0,24,0,4,0,0,4,6,27,5,0,38,9,56,15,0,80,1,11,2,0,14,0,11,0,0,11,2,17,2,0,21,8,41,12,0,61,87,646,112,1,846,3,9,0,0,12,8,29,4,0,41,1,4,1,0,6,1,1,3,0,5,1,16,1,0,18,33,388,145,0,566,0,4,2,0,6,2362,
9,Fayette,Sandy Creek,4848,1,9,0,1,11,1,3,2,0,6,39,361,80,2,482,2,3,3,0,8,2,18,2,0,22,1,4,1,0,6,6,14,5,0,25,30,176,68,1,275,16,54,13,1,84,2,12,3,0,17,14,51,13,1,79,14,60,8,0,82,71,510,140,1,722,8,26,5,0,39,3,9,7,0,19,4,5,4,0,13,3,10,2,0,15,1,11,2,0,14,99,1060,450,0,1609,2,14,7,0,23,3551,
10,Fayette,Shakerag East,1689,2,4,2,0,8,0,4,1,0,5,69,165,46,0,280,2,3,1,0,6,4,8,3,0,15,2,0,1,0,3,1,3,4,0,8,11,27,24,0,62,3,9,2,0,14,2,7,1,0,10,6,13,4,0,23,5,28,11,0,44,95,261,71,0,427,5,11,3,0,19,5,9,1,0,15,0,0,1,0,1,1,0,1,0,2,3,3,1,0,7,43,146,90,1,280,0,4,3,0,7,1236,
11,Fayette,Shakerag West,1236,1,2,1,0,4,0,5,1,0,6,21,176,45,1,243,0,4,5,0,9,1,5,6,0,12,0,1,2,0,3,0,11,2,0,13,4,22,11,0,37,0,2,2,0,4,0,2,1,0,3,0,5,5,0,10,2,10,9,0,21,28,270,73,0,371,2,2,1,0,5,2,10,2,0,14,2,2,0,0,4,1,0,2,0,3,1,5,1,0,7,9,157,114,1,281,0,1,1,0,2,1052,
