index,County,Precinct,Registered Voters,Allison Watters (I) (Rep)_Election Day Votes,Allison Watters (I) (Rep)_Advanced Voting Votes,Allison Watters (I) (Rep)_Absentee by Mail Votes,Allison Watters (I) (Rep)_Provisional Votes,Allison Watters (I) (Rep)_Choice Total,Shonna Bailey (Dem)_Election Day Votes,Shonna Bailey (Dem)_Advanced Voting Votes,Shonna Bailey (Dem)_Absentee by Mail Votes,Shonna Bailey (Dem)_Provisional Votes,Shonna Bailey (Dem)_Choice Total,Total,
0,Floyd,Alto Park,3360,325,1008,347,11,1691,93,231,190,1,515,2206,
1,Floyd,Armuchee,1269,282,359,110,0,751,28,55,37,0,120,871,
2,Floyd,Barkers,2355,396,781,203,10,1390,35,87,64,0,186,1576,
3,Floyd,Cave Spring,1617,417,306,142,4,869,63,43,90,1,197,1066,
4,Floyd,Chulio,1155,282,294,99,19,694,33,31,54,0,118,812,
5,Floyd,Etowah,4946,588,1584,451,10,2633,88,272,256,0,616,3249,
6,Floyd,Everett Springs,421,174,65,24,2,265,24,8,21,0,53,318,
7,Floyd,Floyd Springs,1666,408,534,147,38,1127,25,56,36,4,121,1248,
8,Floyd,Fosters Mill,971,276,256,67,2,601,21,20,29,0,70,671,
9,Floyd,Garden Lakes,2261,216,580,194,0,990,83,204,111,0,398,1388,
10,Floyd,Glenwood,3635,504,981,278,1,1764,105,189,165,2,461,2225,
11,Floyd,Howell,1492,426,376,129,11,942,25,46,21,0,92,1034,
12,Floyd,East Lindale,3398,441,935,285,0,1661,99,195,147,0,441,2102,
13,Floyd,Mt Alto North,5096,237,1156,336,2,1731,250,635,382,5,1272,3003,
14,Floyd,Mt Alto South,3923,296,846,281,6,1429,240,452,256,1,949,2378,
15,Floyd,North Carolina,1865,268,520,133,2,923,39,96,56,2,193,1116,
16,Floyd,Riverside,826,152,198,50,5,405,40,53,24,0,117,522,
17,Floyd,East Rome,4238,277,748,311,4,1340,166,482,313,2,963,2303,
18,Floyd,North Rome,3369,154,560,329,4,1047,149,312,356,3,820,1867,
19,Floyd,South Rome,1600,46,118,51,1,216,147,185,194,1,527,743,
20,Floyd,Texas Valley,762,265,196,66,10,537,12,23,26,0,61,598,
21,Floyd,Vanns Valley,896,145,173,87,2,407,32,42,19,0,93,500,
22,Floyd,Watters,3566,648,1032,290,14,1984,83,133,113,4,333,2317,
23,Floyd,West Lindale,2929,490,708,208,0,1406,78,128,120,0,326,1732,
24,Floyd,Town Rome,3034,178,619,250,0,1047,125,264,218,2,609,1656,
