County,Precinct,Registered Voters,Leigh E. Patterson (I) (Rep)_Election Day Votes,Leigh E. Patterson (I) (Rep)_Advanced Voting Votes,Leigh E. Patterson (I) (Rep)_Absentee by Mail Votes,Leigh E. Patterson (I) (Rep)_Provisional Votes,Leigh E. Patterson (I) (Rep)_Choice Total,Total,
Floyd,Alto Park,3360,380,1097,406,9,1892,1892,
Floyd,Armuchee,1269,288,378,125,1,792,792,
Floyd,Barkers,2355,417,820,218,10,1465,1465,
Floyd,Cave Spring,1617,457,319,170,5,951,951,
Floyd,Chulio,1155,294,307,117,19,737,737,
Floyd,Etowah,4946,628,1706,529,9,2872,2872,
Floyd,Everett Springs,421,181,69,39,1,290,290,
Floyd,Floyd Springs,1666,414,562,162,40,1178,1178,
Floyd,Fosters Mill,971,288,262,76,0,626,626,
Floyd,Garden Lakes,2261,268,687,249,0,1204,1204,
Floyd,Glenwood,3635,564,1057,366,1,1988,1988,
Floyd,Howell,1492,419,398,137,11,965,965,
Floyd,East Lindale,3398,490,1009,352,1,1852,1852,
Floyd,Mt Alto North,5096,413,1512,510,4,2439,2439,
Floyd,Mt Alto South,3923,435,1085,400,6,1926,1926,
Floyd,North Carolina,1865,293,578,157,7,1035,1035,
Floyd,Riverside,826,168,222,63,5,458,458,
Floyd,East Rome,4238,368,969,435,6,1778,1778,
Floyd,North Rome,3369,232,709,471,7,1419,1419,
Floyd,South Rome,1600,116,213,139,2,470,470,
Floyd,Texas Valley,762,264,205,76,12,557,557,
Floyd,Vanns Valley,896,159,197,97,2,455,455,
Floyd,Watters,3566,702,1106,322,16,2146,2146,
Floyd,West Lindale,2929,519,779,250,0,1548,1548,
Floyd,Town Rome,3034,251,716,346,2,1315,1315,
