index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Floyd,Alto Park,3360,316,978,306,10,1610,81,216,214,0,511,16,52,15,0,83,2204,
1,Floyd,Armuchee,1269,270,353,109,1,733,29,60,38,0,127,7,5,5,0,17,877,
2,Floyd,Barkers,2355,372,755,189,10,1326,36,80,74,0,190,21,24,7,0,52,1568,
3,Floyd,Cave Spring,1617,401,294,129,5,829,54,48,95,1,198,20,6,6,0,32,1059,
4,Floyd,Chulio,1155,273,285,96,19,673,28,33,53,0,114,11,4,6,0,21,808,
5,Floyd,Etowah,4946,573,1540,417,7,2537,76,256,272,0,604,30,45,30,3,108,3249,
6,Floyd,Everett Springs,421,169,63,22,3,257,22,7,20,0,49,7,3,2,0,12,318,
7,Floyd,Floyd Springs,1666,404,525,142,44,1115,23,50,36,2,111,12,13,9,0,34,1260,
8,Floyd,Fosters Mill,971,272,252,65,2,591,13,23,30,0,66,12,5,4,0,21,678,
9,Floyd,Garden Lakes,2261,204,567,181,0,952,75,196,119,0,390,18,18,10,0,46,1388,
10,Floyd,Glenwood,3635,483,945,248,2,1678,96,186,188,2,472,35,35,11,0,81,2231,
11,Floyd,Howell,1492,409,369,122,11,911,24,45,27,0,96,11,7,0,0,18,1025,
12,Floyd,East Lindale,3398,431,898,276,1,1606,80,208,152,0,440,26,27,11,0,64,2110,
13,Floyd,Mt Alto North,5096,212,1101,311,0,1624,230,628,388,5,1251,48,62,28,0,138,3013,
14,Floyd,Mt Alto South,3923,294,806,253,6,1359,224,454,282,0,960,27,41,13,0,81,2400,
15,Floyd,North Carolina,1865,260,510,130,2,902,36,83,58,0,177,12,23,5,2,42,1121,
16,Floyd,Riverside,826,142,188,44,5,379,33,50,27,0,110,16,12,3,0,31,520,
17,Floyd,East Rome,4238,260,676,250,4,1190,158,494,350,0,1002,33,59,23,2,117,2309,
18,Floyd,North Rome,3369,138,527,307,2,974,142,300,361,3,806,22,33,16,0,71,1851,
19,Floyd,South Rome,1600,47,94,41,1,183,129,191,188,1,509,17,14,8,0,39,731,
20,Floyd,Texas Valley,762,257,194,63,14,528,14,24,28,0,66,5,3,2,0,10,604,
21,Floyd,Vanns Valley,896,139,161,85,2,387,32,43,18,0,93,6,7,3,0,16,496,
22,Floyd,Watters,3566,611,992,273,14,1890,68,139,115,6,328,52,34,17,0,103,2321,
23,Floyd,West Lindale,2929,456,686,199,0,1341,74,130,122,0,326,29,20,8,0,57,1724,
24,Floyd,Town Rome,3034,169,575,204,0,948,113,276,248,2,639,23,32,17,0,72,1659,
