index,County,Precinct,Registered Voters,Katie Dempsey (I) (Rep)_Election Day Votes,Katie Dempsey (I) (Rep)_Advanced Voting Votes,Katie Dempsey (I) (Rep)_Absentee by Mail Votes,Katie Dempsey (I) (Rep)_Provisional Votes,Katie Dempsey (I) (Rep)_Choice Total,Total,
0,Floyd,Alto Park,3360,388,1136,410,10,1944,1944,
1,Floyd,Glenwood,3635,573,1089,355,1,2018,2018,
2,Floyd,East Lindale,3398,498,1046,363,1,1908,1908,
3,Floyd,Mt Alto North,5096,201,612,213,5,1031,1031,
4,Floyd,Mt Alto South,3923,456,1108,391,6,1961,1961,
5,Floyd,Riverside,826,173,224,57,5,459,459,
6,Floyd,East Rome,4238,386,988,417,6,1797,1797,
7,Floyd,North Rome,3369,229,624,421,2,1276,1276,
8,Floyd,South Rome,1600,115,220,131,2,468,468,
9,Floyd,Vanns Valley,896,167,194,100,3,464,464,
10,Floyd,West Lindale,2929,540,800,246,0,1586,1586,
11,Floyd,Town Rome,3034,241,650,309,0,1200,1200,
