index,County,Precinct,Registered Voters,Kevin Payne (I) (Rep)_Election Day Votes,Kevin Payne (I) (Rep)_Advanced Voting Votes,Kevin Payne (I) (Rep)_Absentee by Mail Votes,Kevin Payne (I) (Rep)_Provisional Votes,Kevin Payne (I) (Rep)_Choice Total,Total,
0,Floyd,Alto Park,3360,387,1140,406,11,1944,1944,
1,Floyd,Armuchee,1269,299,389,122,1,811,811,
2,Floyd,Barkers,2355,420,839,231,7,1497,1497,
3,Floyd,Cave Spring,1617,460,333,176,5,974,974,
4,Floyd,Chulio,1155,299,314,115,17,745,745,
5,Floyd,Etowah,4946,648,1757,561,10,2976,2976,
6,Floyd,Everett Springs,421,186,69,39,3,297,297,
7,Floyd,Floyd Springs,1666,433,565,155,41,1194,1194,
8,Floyd,Fosters Mill,971,298,264,79,0,641,641,
9,Floyd,Garden Lakes,2261,276,705,251,0,1232,1232,
10,Floyd,Glenwood,3635,578,1090,362,1,2031,2031,
11,Floyd,Howell,1492,438,402,138,10,988,988,
12,Floyd,East Lindale,3398,502,1046,360,1,1909,1909,
13,Floyd,Mt Alto North,5096,425,1565,541,4,2535,2535,
14,Floyd,Mt Alto South,3923,446,1123,401,6,1976,1976,
15,Floyd,North Carolina,1865,295,579,156,7,1037,1037,
16,Floyd,Riverside,826,172,227,64,5,468,468,
17,Floyd,East Rome,4238,386,1008,444,6,1844,1844,
18,Floyd,North Rome,3369,244,740,496,7,1487,1487,
19,Floyd,South Rome,1600,124,222,143,2,491,491,
20,Floyd,Texas Valley,762,273,206,78,10,567,567,
21,Floyd,Vanns Valley,896,168,201,100,1,470,470,
22,Floyd,Watters,3566,711,1123,338,12,2184,2184,
23,Floyd,West Lindale,2929,537,796,261,0,1594,1594,
24,Floyd,Town Rome,3034,268,755,359,2,1384,1384,
