index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Floyd,Alto Park,3360,3,3,1,0,7,1,3,1,0,5,127,392,130,5,654,0,2,3,0,5,8,13,4,0,25,3,3,2,0,8,6,16,3,0,25,19,27,18,0,64,6,8,5,0,19,5,8,3,0,16,4,15,4,0,23,12,30,14,0,56,168,524,157,6,855,3,5,1,0,9,1,12,5,0,18,0,2,2,0,4,1,2,0,0,3,5,19,5,0,29,47,156,186,0,389,1,5,1,0,7,2221,
1,Floyd,Armuchee,1269,2,0,0,0,2,0,0,0,0,0,103,140,47,0,290,0,0,0,0,0,6,3,1,0,10,0,0,2,0,2,4,6,0,0,10,6,7,3,0,16,0,1,0,0,1,4,4,1,0,9,4,0,0,0,4,5,6,3,0,14,143,190,53,1,387,0,3,0,0,3,3,1,1,0,5,1,0,1,0,2,0,0,0,0,0,5,5,1,0,11,22,50,34,0,106,3,0,4,0,7,879,
2,Floyd,Barkers,2355,4,1,1,0,6,1,0,0,0,1,136,282,88,4,510,2,2,0,0,4,10,11,0,0,21,2,3,1,0,6,9,17,1,0,27,4,10,3,0,17,5,2,1,0,8,5,11,1,0,17,0,2,2,0,4,4,13,10,0,27,209,432,97,6,744,2,3,1,0,6,6,4,2,0,12,0,4,0,0,4,0,1,0,0,1,12,15,3,0,30,23,57,64,0,144,0,1,1,0,2,1591,
3,Floyd,Cave Spring,1617,3,2,0,0,5,5,2,3,0,10,153,134,64,1,352,2,2,2,0,6,5,6,1,0,12,4,0,0,0,4,11,5,4,0,20,5,4,5,0,14,2,3,2,0,7,7,5,2,0,14,3,1,1,0,5,10,4,7,0,21,209,133,57,3,402,1,1,1,1,4,8,2,0,0,10,0,0,0,0,0,3,0,0,0,3,9,10,1,0,20,43,38,84,1,166,0,1,1,0,2,1077,
4,Floyd,Chulio,1155,0,1,0,0,1,0,0,0,0,0,87,91,35,4,217,0,2,1,0,3,7,8,2,0,17,1,1,0,0,2,3,1,0,0,4,2,0,4,0,6,2,1,2,0,5,6,2,1,0,9,0,1,1,0,2,4,4,5,0,13,167,176,58,13,414,0,0,0,0,0,2,2,0,0,4,1,1,0,0,2,0,0,0,0,0,3,8,0,0,11,29,25,45,0,99,1,0,0,0,1,810,
5,Floyd,Etowah,4946,1,2,4,0,7,4,7,3,0,14,221,599,184,2,1006,1,2,1,0,4,11,19,7,0,37,3,5,3,0,11,18,23,0,0,41,8,26,12,0,46,3,4,5,0,12,13,23,3,0,39,2,9,5,0,16,11,32,11,0,54,289,857,224,5,1375,2,7,1,0,10,9,13,7,0,29,0,5,0,0,5,1,5,1,0,7,12,25,1,0,38,74,208,250,3,535,4,3,3,0,10,3296,
6,Floyd,Everett Springs,421,2,0,0,0,2,0,0,0,0,0,62,29,8,1,100,1,0,0,0,1,3,0,2,0,5,0,0,1,0,1,3,2,0,0,5,4,1,1,0,6,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,4,1,2,0,7,99,31,13,3,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,3,21,7,17,0,45,0,0,0,0,0,325,
7,Floyd,Floyd Springs,1666,1,1,1,0,3,1,0,2,0,3,155,197,61,13,426,0,1,2,0,3,5,6,3,0,14,0,1,0,0,1,8,5,2,0,15,2,3,1,2,8,1,1,0,0,2,3,9,0,0,12,3,4,1,0,8,8,6,4,0,18,218,291,75,25,609,0,0,1,0,1,6,2,1,0,9,1,0,1,0,2,0,0,0,0,0,7,10,0,0,17,23,52,37,2,114,1,0,0,0,1,1266,
8,Floyd,Fosters Mill,971,1,0,1,0,2,1,0,1,0,2,103,94,24,0,221,0,0,0,0,0,6,3,3,0,12,2,1,1,0,4,1,3,0,0,4,2,2,1,0,5,0,1,0,0,1,3,5,0,0,8,0,0,0,0,0,4,4,2,0,10,154,144,42,2,342,1,2,0,0,3,7,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,13,18,24,0,55,0,0,0,0,0,681,
9,Floyd,Garden Lakes,2261,2,4,0,0,6,0,3,3,0,6,71,233,75,0,379,0,5,0,0,5,3,6,3,0,12,5,0,0,0,5,3,10,4,0,17,15,38,13,0,66,4,9,3,0,16,6,9,1,0,16,4,15,6,0,25,12,23,8,0,43,111,301,100,0,512,1,5,1,0,7,1,2,3,0,6,2,2,0,0,4,2,2,1,0,5,9,14,0,0,23,46,114,86,0,246,3,2,1,0,6,1405,
