index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Forsyth,01 Big Creek,11222,635,4635,2283,4,7557,122,715,283,0,1120,8677,
1,Forsyth,02 Brandywine,4500,498,1390,796,2,2686,92,231,113,0,436,3122,
2,Forsyth,03 Browns Bridge,10740,803,4363,1446,5,6617,140,777,200,1,1118,7735,
3,Forsyth,04 Chestatee,6776,547,2886,816,3,4252,105,489,94,0,688,4940,
4,Forsyth,05 Coal Mountain,7852,628,3410,897,0,4935,104,586,119,2,811,5746,
5,Forsyth,06 Crossroads,7061,491,3026,681,1,4199,106,541,89,0,736,4935,
6,Forsyth,07 Cumming,6281,381,2347,873,2,3603,85,390,120,0,595,4198,
7,Forsyth,08 Mashburn,8296,615,3583,1410,2,5610,118,508,186,0,812,6422,
8,Forsyth,10 Midway,11631,658,5645,1816,4,8123,116,792,252,0,1160,9283,
9,Forsyth,15 Heardsville,8091,633,3502,1057,0,5192,119,649,133,0,901,6093,
10,Forsyth,16 Otwell,6333,432,2622,960,2,4016,90,437,118,1,646,4662,
11,Forsyth,19 Old Atlanta,3739,208,1697,611,0,2516,37,252,75,0,364,2880,
12,Forsyth,21 South Forsyth,8318,359,3825,1560,2,5746,46,519,173,1,739,6485,
13,Forsyth,25 Windermere,9714,578,4404,1545,2,6529,96,636,201,0,933,7462,
14,Forsyth,27 Concord,9858,857,4399,1082,3,6341,152,836,150,0,1138,7479,
15,Forsyth,29 Polo,11222,752,4459,2116,0,7327,163,678,245,0,1086,8413,
16,Forsyth,34 Fowler,4965,373,1990,860,1,3224,62,317,115,0,494,3718,
17,Forsyth,35 Johns Creek,8444,363,3486,1773,1,5623,58,500,247,0,805,6428,
18,Forsyth,36 Nichols,6989,388,3327,1135,4,4854,72,451,146,0,669,5523,
19,Forsyth,37 Sawnee,11952,607,5487,1840,5,7939,104,892,215,2,1213,9152,
