index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Forsyth,01 Big Creek,11222,535,3433,1124,3,5095,252,2041,1576,2,3871,19,67,40,0,126,9092,
1,Forsyth,02 Brandywine,4500,321,802,280,1,1404,283,856,680,1,1820,20,22,17,0,59,3283,
2,Forsyth,03 Browns Bridge,10740,779,4258,1084,2,6123,174,1036,636,4,1850,37,73,37,0,147,8120,
3,Forsyth,04 Chestatee,6776,583,2971,598,2,4154,90,464,335,0,889,18,57,20,1,96,5139,
4,Forsyth,05 Coal Mountain,7852,593,3173,579,1,4346,169,924,483,1,1577,26,65,20,0,111,6034,
5,Forsyth,06 Crossroads,7061,513,2984,483,1,3981,94,665,323,0,1082,23,59,9,0,91,5154,
6,Forsyth,07 Cumming,6281,315,2105,568,1,2989,152,685,494,1,1332,19,43,17,0,79,4400,
7,Forsyth,08 Mashburn,8296,576,3178,878,1,4633,166,1019,763,1,1949,29,59,40,0,128,6710,
8,Forsyth,10 Midway,11631,578,4799,999,5,6381,209,1783,1149,0,3141,32,84,29,0,145,9667,
9,Forsyth,15 Heardsville,8091,603,3499,699,0,4801,160,805,534,0,1499,23,45,23,0,91,6391,
10,Forsyth,16 Otwell,6333,409,2404,704,3,3520,120,701,449,0,1270,18,49,15,0,82,4872,
11,Forsyth,19 Old Atlanta,3739,178,1332,301,0,1811,80,669,420,0,1169,2,25,2,0,29,3009,
12,Forsyth,21 South Forsyth,8318,294,3244,894,2,4434,117,1238,941,1,2297,13,42,18,0,73,6804,
13,Forsyth,25 Windermere,9714,480,3368,750,1,4599,234,1879,1119,1,3233,11,55,23,0,89,7921,
14,Forsyth,27 Concord,9858,861,4347,728,3,5939,172,1024,545,0,1741,29,87,20,0,136,7816,
15,Forsyth,29 Polo,11222,663,3673,1104,1,5441,277,1632,1372,0,3281,25,51,43,0,119,8841,
16,Forsyth,34 Fowler,4965,322,1491,414,0,2227,139,878,630,1,1648,15,20,22,0,57,3932,
17,Forsyth,35 Johns Creek,8444,268,2453,818,0,3539,167,1673,1326,1,3167,13,42,25,0,80,6786,
18,Forsyth,36 Nichols,6989,317,2425,563,1,3306,145,1441,790,3,2379,20,55,22,0,97,5782,
19,Forsyth,37 Sawnee,11952,552,4800,1044,3,6399,175,1712,1117,4,3008,23,87,35,0,145,9552,
