index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Forsyth,01 Big Creek,11222,518,3441,1216,4,5179,212,1825,1327,1,3365,45,155,91,0,291,8835,
1,Forsyth,02 Brandywine,4500,323,814,306,1,1444,247,777,592,1,1617,37,51,37,0,125,3186,
2,Forsyth,03 Browns Bridge,10740,736,4137,1088,3,5964,169,883,521,3,1576,69,230,78,0,377,7917,
3,Forsyth,04 Chestatee,6776,555,2920,613,1,4089,72,389,279,1,741,36,135,28,1,200,5030,
4,Forsyth,05 Coal Mountain,7852,562,3125,595,1,4283,142,805,417,1,1365,52,151,29,0,232,5880,
5,Forsyth,06 Crossroads,7061,494,2914,478,1,3887,72,563,283,0,918,46,149,18,0,213,5018,
6,Forsyth,07 Cumming,6281,305,2058,555,1,2919,129,596,433,0,1158,36,106,37,1,180,4257,
7,Forsyth,08 Mashburn,8296,560,3163,938,1,4662,126,843,622,1,1592,61,161,63,0,285,6539,
8,Forsyth,10 Midway,11631,568,4854,1071,5,6498,170,1480,968,0,2618,54,219,69,0,342,9458,
9,Forsyth,15 Heardsville,8091,587,3421,729,0,4737,129,684,432,0,1245,44,157,54,0,255,6237,
10,Forsyth,16 Otwell,6333,393,2370,696,3,3462,96,593,382,0,1071,39,136,36,0,211,4744,
11,Forsyth,19 Old Atlanta,3739,177,1357,313,0,1847,58,544,353,0,955,13,71,26,0,110,2912,
12,Forsyth,21 South Forsyth,8318,294,3269,912,1,4476,95,1034,797,2,1928,22,129,52,0,203,6607,
13,Forsyth,25 Windermere,9714,473,3363,823,2,4661,192,1646,920,1,2759,32,146,63,0,241,7661,
14,Forsyth,27 Concord,9858,837,4291,749,2,5879,132,873,467,0,1472,65,191,48,1,305,7656,
15,Forsyth,29 Polo,11222,645,3626,1184,0,5455,225,1432,1162,0,2819,58,181,82,0,321,8595,
16,Forsyth,34 Fowler,4965,290,1451,426,0,2167,119,803,552,1,1475,34,83,44,0,161,3803,
17,Forsyth,35 Johns Creek,8444,260,2498,874,1,3633,135,1429,1134,0,2698,23,138,61,0,222,6553,
18,Forsyth,36 Nichols,6989,318,2475,616,3,3412,126,1227,653,1,2007,27,140,53,0,220,5639,
19,Forsyth,37 Sawnee,11952,524,4701,1088,3,6316,137,1495,950,4,2586,58,263,69,0,390,9292,
