index,County,Precinct,Registered Voters,"Patrick """"Pat"""" Labat (Dem)_Election Day Votes","Patrick """"Pat"""" Labat (Dem)_Advanced Voting Votes","Patrick """"Pat"""" Labat (Dem)_Absentee by Mail Votes","Patrick """"Pat"""" Labat (Dem)_Provisional Votes","Patrick """"Pat"""" Labat (Dem)_Choice Total",Total,
0,Fulton,01A,3694,172,1685,691,24,2572,2572,
1,Fulton,01B,4327,268,1847,838,5,2958,2958,
2,Fulton,01C,1908,195,376,158,0,729,729,
3,Fulton,01D,754,24,284,112,8,428,428,
4,Fulton,01E,3720,117,1567,733,1,2418,2418,
5,Fulton,01F,1593,119,253,98,7,477,477,
6,Fulton,01G,2312,138,746,281,3,1168,1168,
7,Fulton,01H,896,64,205,119,5,393,393,
8,Fulton,01I,0,0,1,0,0,1,1,
9,Fulton,01J,2848,224,724,325,15,1288,1288,
10,Fulton,01P,1444,207,217,166,4,594,594,
11,Fulton,01R,1550,210,143,120,11,484,484,
12,Fulton,01S,2118,236,464,196,7,903,903,
13,Fulton,01T,1799,180,461,178,4,823,823,
14,Fulton,02A,4884,179,1879,1030,19,3107,3107,
15,Fulton,02A1,733,30,307,50,1,388,388,
16,Fulton,02B,4020,175,805,279,23,1282,1282,
17,Fulton,02C,2034,83,706,375,30,1194,1194,
18,Fulton,02D,5539,280,1960,1040,27,3307,3307,
19,Fulton,02E,2009,101,887,435,0,1423,1423,
20,Fulton,02F1,3221,117,1293,677,5,2092,2092,
21,Fulton,02F2,851,48,266,131,4,449,449,
22,Fulton,02G,3895,205,1637,717,6,2565,2565,
23,Fulton,02J,2273,104,890,408,8,1410,1410,
24,Fulton,02K,1461,46,610,275,0,931,931,
25,Fulton,02L1,5546,204,2121,1232,10,3567,3567,
26,Fulton,02L1A,1477,81,560,78,5,724,724,
27,Fulton,02L2,2249,129,859,355,4,1347,1347,
28,Fulton,02S,790,44,278,129,0,451,451,
29,Fulton,02W,978,61,399,122,0,582,582,
30,Fulton,03A,2230,137,378,211,19,745,745,
31,Fulton,03B,777,55,98,63,0,216,216,
32,Fulton,03C,1879,138,340,229,6,713,713,
33,Fulton,03D,1235,86,218,102,21,427,427,
34,Fulton,03E,2894,298,480,206,39,1023,1023,
