index,County,Precinct,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,
0,Fulton,01A,3694,159,1483,597,18,2257,2257,
1,Fulton,01B,4327,237,1634,728,4,2603,2603,
2,Fulton,01C,1908,169,312,137,0,618,618,
3,Fulton,01D,754,24,251,91,7,373,373,
4,Fulton,01E,3720,106,1401,635,1,2143,2143,
5,Fulton,01F,1593,103,218,91,4,416,416,
6,Fulton,01G,2312,122,655,239,3,1019,1019,
7,Fulton,01H,896,50,164,99,4,317,317,
8,Fulton,01I,0,0,1,0,0,1,1,
9,Fulton,01J,2848,200,622,261,12,1095,1095,
10,Fulton,01P,1444,161,190,141,4,496,496,
11,Fulton,01R,1550,169,113,99,8,389,389,
12,Fulton,01S,2118,208,403,160,3,774,774,
13,Fulton,01T,1799,153,386,154,4,697,697,
14,Fulton,02A,4884,178,1701,931,19,2829,2829,
15,Fulton,02A1,733,32,278,46,2,358,358,
16,Fulton,02B,4020,146,669,234,26,1075,1075,
17,Fulton,02C,2034,76,610,323,28,1037,1037,
18,Fulton,02D,5539,243,1732,905,18,2898,2898,
19,Fulton,02E,2009,98,800,370,0,1268,1268,
20,Fulton,02F1,3221,106,1180,601,5,1892,1892,
21,Fulton,02F2,851,45,225,109,2,381,381,
22,Fulton,02G,3895,181,1430,619,6,2236,2236,
23,Fulton,02J,2273,96,767,341,7,1211,1211,
24,Fulton,02K,1461,43,513,233,0,789,789,
25,Fulton,02L1,5546,199,1857,1112,7,3175,3175,
26,Fulton,02L1A,1477,74,488,68,5,635,635,
27,Fulton,02L2,2249,123,781,305,6,1215,1215,
28,Fulton,02S,790,37,240,113,0,390,390,
29,Fulton,02W,978,58,365,103,0,526,526,
30,Fulton,03A,2230,102,316,190,16,624,624,
31,Fulton,03B,777,50,78,58,0,186,186,
32,Fulton,03C,1879,109,251,187,4,551,551,
33,Fulton,03D,1235,70,175,85,14,344,344,
34,Fulton,03E,2894,243,405,172,30,850,850,
35,Fulton,03F,2328,126,759,289,3,1177,1177,
36,Fulton,03G,1033,70,126,37,2,235,235,
37,Fulton,03H,1091,71,174,73,1,319,319,
38,Fulton,03I,1607,90,308,102,18,518,518,
39,Fulton,03L,748,49,72,36,0,157,157,
40,Fulton,03M,965,143,210,69,2,424,424,
41,Fulton,03N,2804,184,401,131,18,734,734,
42,Fulton,03P1A,4404,251,1257,476,10,1994,1994,
43,Fulton,03P2,23,0,7,0,0,7,7,
44,Fulton,03S,908,76,158,80,0,314,314,
45,Fulton,03T,1742,125,399,111,4,639,639,
46,Fulton,04A,1554,69,263,137,0,469,469,
47,Fulton,04B,2948,105,333,157,0,595,595,
48,Fulton,04C,150,9,22,11,1,43,43,
49,Fulton,04D,1736,128,352,151,5,636,636,
50,Fulton,04F,2786,169,645,170,9,993,993,
51,Fulton,04G,1025,94,148,67,1,310,310,
52,Fulton,04I,4604,60,368,125,6,559,559,
53,Fulton,04J,1617,44,87,13,6,150,150,
54,Fulton,04K,2736,155,565,284,10,1014,1014,
55,Fulton,04L,2014,145,449,157,3,754,754,
56,Fulton,04M,979,80,119,55,5,259,259,
57,Fulton,04S,2541,206,485,249,5,945,945,
58,Fulton,04T,1297,104,273,128,16,521,521,
59,Fulton,04V,3573,312,612,177,2,1103,1103,
60,Fulton,04W,3365,50,116,24,6,196,196,
61,Fulton,04X1,2283,134,506,215,2,857,857,
62,Fulton,04X2,846,47,203,80,0,330,330,
63,Fulton,05A1,2936,128,1145,499,1,1773,1773,
64,Fulton,05A2,3343,129,1273,522,10,1934,1934,
65,Fulton,05B,2171,146,493,210,2,851,851,
66,Fulton,05C,135,5,24,6,0,35,35,
67,Fulton,05D,541,17,46,7,1,71,71,
68,Fulton,05F,248,20,76,21,1,118,118,
69,Fulton,05J,684,35,224,106,1,366,366,
70,Fulton,05K,2826,140,608,233,3,984,984,
71,Fulton,06B,1889,88,658,298,7,1051,1051,
72,Fulton,06D,6160,315,1986,1648,10,3959,3959,
73,Fulton,06D1,2539,71,913,140,3,1127,1127,
74,Fulton,06D2,850,22,302,46,1,371,371,
75,Fulton,06E,2344,114,782,346,2,1244,1244,
76,Fulton,06F,2841,99,1049,434,3,1585,1585,
77,Fulton,06G,588,19,193,103,1,316,316,
78,Fulton,06I,4072,277,1268,473,19,2037,2037,
79,Fulton,06J,2770,93,962,591,1,1647,1647,
80,Fulton,06L1,991,34,341,198,1,574,574,
81,Fulton,06L2,726,28,245,118,1,392,392,
82,Fulton,06N,1770,78,481,259,10,828,828,
83,Fulton,06Q,571,42,180,53,4,279,279,
84,Fulton,06R,2015,61,618,331,2,1012,1012,
85,Fulton,07A,7691,472,2180,1081,17,3750,3750,
86,Fulton,07B,2952,148,939,534,0,1621,1621,
87,Fulton,07C,4512,218,1090,823,11,2142,2142,
88,Fulton,07D,4879,264,1490,562,14,2330,2330,
89,Fulton,07E,2247,63,710,473,5,1251,1251,
90,Fulton,07F,3790,192,1201,572,22,1987,1987,
91,Fulton,07H,2060,102,639,362,0,1103,1103,
92,Fulton,07J,3041,180,983,467,10,1640,1640,
93,Fulton,07M,2401,134,607,330,0,1071,1071,
94,Fulton,07N,2139,125,578,313,8,1024,1024,
95,Fulton,08A,3084,181,976,434,7,1598,1598,
96,Fulton,08B,3498,143,1221,509,0,1873,1873,
97,Fulton,08C,1500,58,485,224,0,767,767,
98,Fulton,08D,1073,25,359,168,14,566,566,
99,Fulton,08E,2568,103,823,438,0,1364,1364,
100,Fulton,08F1,2187,85,774,332,4,1195,1195,
101,Fulton,08G,3086,149,707,481,5,1342,1342,
102,Fulton,08H,2556,93,795,446,2,1336,1336,
103,Fulton,08J,3344,151,1264,404,3,1822,1822,
104,Fulton,08K,1049,75,378,184,0,637,637,
105,Fulton,08L,4505,222,1470,712,17,2421,2421,
106,Fulton,08M,2295,124,724,299,1,1148,1148,
107,Fulton,08N1,824,23,265,117,2,407,407,
108,Fulton,08N2,1616,58,466,293,2,819,819,
109,Fulton,08P,1887,114,574,194,5,887,887,
110,Fulton,09A,3856,178,1378,514,9,2079,2079,
111,Fulton,09B,464,23,59,47,0,129,129,
112,Fulton,09C,3353,217,686,384,19,1306,1306,
113,Fulton,09D,2299,177,335,240,6,758,758,
114,Fulton,09E,3261,225,765,281,0,1271,1271,
115,Fulton,09F,3917,165,1389,614,4,2172,2172,
116,Fulton,09G,3943,221,1364,547,6,2138,2138,
117,Fulton,09H,1185,73,369,135,1,578,578,
118,Fulton,09I,1397,114,201,142,2,459,459,
119,Fulton,09K,4002,202,665,375,8,1250,1250,
120,Fulton,09K1,1518,84,244,34,1,363,363,
121,Fulton,09M,2578,101,1054,311,0,1466,1466,
122,Fulton,10A,3186,193,791,437,10,1431,1431,
123,Fulton,10B,3965,205,1271,713,6,2195,2195,
124,Fulton,10C,2598,122,571,254,11,958,958,
125,Fulton,10D,4968,257,896,448,100,1701,1701,
