index,County,Precinct,Registered Voters,Stacey Evans (Dem)_Election Day Votes,Stacey Evans (Dem)_Advanced Voting Votes,Stacey Evans (Dem)_Absentee by Mail Votes,Stacey Evans (Dem)_Provisional Votes,Stacey Evans (Dem)_Choice Total,Total,
0,Fulton,02A,4884,178,1886,1053,17,3134,3134,
1,Fulton,02A1,733,31,304,51,2,388,388,
2,Fulton,02B,4020,180,806,290,22,1298,1298,
3,Fulton,02L1,5546,200,2119,1252,11,3582,3582,
4,Fulton,02L1A,1477,78,563,79,5,725,725,
5,Fulton,04B,2948,126,421,209,0,756,756,
6,Fulton,04G,1025,121,194,78,0,393,393,
7,Fulton,04I,4604,79,457,171,6,713,713,
8,Fulton,04K,2736,202,713,354,7,1276,1276,
9,Fulton,04S,2541,266,621,309,8,1204,1204,
10,Fulton,04T,1297,137,350,160,20,667,667,
11,Fulton,04V,3573,375,723,238,3,1339,1339,
12,Fulton,04W,3365,57,132,27,6,222,222,
13,Fulton,04X1,2283,167,608,264,2,1041,1041,
14,Fulton,05D,541,21,59,9,0,89,89,
15,Fulton,06D,6160,329,2189,2028,8,4554,4554,
16,Fulton,06D1,2539,70,998,158,2,1228,1228,
17,Fulton,06D2,850,24,327,52,1,404,404,
18,Fulton,06J,2770,96,1072,729,1,1898,1898,
19,Fulton,10I,331,13,154,91,0,258,258,
20,Fulton,10K,1614,109,562,298,5,974,974,
21,Fulton,10M,2880,249,870,417,11,1547,1547,
22,Fulton,11H,753,52,186,136,2,376,376,
23,Fulton,12K,3620,206,959,362,2,1529,1529,
