index,County,Precinct,Registered Voters,Donzella James (I) (Dem)_Election Day Votes,Donzella James (I) (Dem)_Advanced Voting Votes,Donzella James (I) (Dem)_Absentee by Mail Votes,Donzella James (I) (Dem)_Provisional Votes,Donzella James (I) (Dem)_Choice Total,Total,
0,Fulton,CH02,338,0,4,2,0,6,6,
1,Fulton,FA01A,4032,239,1448,613,17,2317,2317,
2,Fulton,FA01B,5860,27,2285,850,8,3170,3170,
3,Fulton,FA01C,769,61,291,104,1,457,457,
4,Fulton,FA01D,321,18,125,8,15,166,166,
5,Fulton,PA01,3006,196,923,363,14,1496,1496,
6,Fulton,SC04,1080,82,348,156,4,590,590,
7,Fulton,SC05A,721,53,319,85,4,461,461,
8,Fulton,SC05B,3646,182,1769,485,8,2444,2444,
9,Fulton,SC05D,2808,186,1299,354,2,1841,1841,
10,Fulton,SC05E,688,44,259,135,3,441,441,
11,Fulton,SC07A,4506,249,1866,1039,10,3164,3164,
12,Fulton,SC07C,41,1,9,3,0,13,13,
13,Fulton,SC07D,2038,135,862,89,3,1089,1089,
14,Fulton,SC08E,724,57,298,62,4,421,421,
15,Fulton,SC13,2895,166,1336,417,5,1924,1924,
16,Fulton,SC15,4522,272,2000,821,5,3098,3098,
17,Fulton,SC15A,2482,136,1304,106,0,1546,1546,
18,Fulton,SC18A,570,41,218,121,0,380,380,
19,Fulton,SC18B,915,40,452,161,0,653,653,
20,Fulton,SC18C,2100,81,1008,414,0,1503,1503,
21,Fulton,SC20,2562,110,1477,361,26,1974,1974,
22,Fulton,SC211,1828,101,827,290,0,1218,1218,
23,Fulton,SC212,4244,262,1721,607,11,2601,2601,
24,Fulton,SC29A,3154,271,939,541,8,1759,1759,
25,Fulton,UC01A,4234,324,1208,341,11,1884,1884,
26,Fulton,UC02A,5609,325,2186,1142,18,3671,3671,
27,Fulton,UC02B,32,3,12,3,0,18,18,
28,Fulton,UC02C,3614,145,1228,130,11,1514,1514,
29,Fulton,UC031,2745,157,670,441,21,1289,1289,
30,Fulton,UC032,393,20,134,74,1,229,229,
