index,County,Precinct,Registered Voters,Zan Fort_Election Day Votes,Zan Fort_Advanced Voting Votes,Zan Fort_Absentee by Mail Votes,Zan Fort_Provisional Votes,Zan Fort_Choice Total,Sonya Halpern_Election Day Votes,Sonya Halpern_Advanced Voting Votes,Sonya Halpern_Absentee by Mail Votes,Sonya Halpern_Provisional Votes,Sonya Halpern_Choice Total,Jo Anna Potts_Election Day Votes,Jo Anna Potts_Advanced Voting Votes,Jo Anna Potts_Absentee by Mail Votes,Jo Anna Potts_Provisional Votes,Jo Anna Potts_Choice Total,Linda Pritchett_Election Day Votes,Linda Pritchett_Advanced Voting Votes,Linda Pritchett_Absentee by Mail Votes,Linda Pritchett_Provisional Votes,Linda Pritchett_Choice Total,Total,
0,Fulton,02A,4884,23,212,200,1,436,51,717,439,8,1215,29,247,99,2,377,40,350,160,2,552,2580,
1,Fulton,02A1,733,4,34,6,0,44,13,114,27,1,155,2,39,3,0,44,2,56,6,0,64,307,
2,Fulton,02L1,5546,33,264,281,3,581,63,825,565,1,1454,31,224,112,2,369,26,346,162,3,537,2941,
3,Fulton,02L1A,1477,15,59,15,1,90,29,224,34,3,290,13,70,6,0,89,13,98,11,0,122,591,
4,Fulton,02L2,2249,19,87,68,0,174,53,344,166,2,565,13,100,25,1,139,12,145,58,0,215,1093,
5,Fulton,02W,978,6,50,27,0,83,17,177,61,0,255,5,35,7,0,47,5,70,15,0,90,475,
6,Fulton,03A,2230,12,42,37,1,92,53,129,75,7,264,23,70,38,8,139,27,87,45,6,165,660,
7,Fulton,03D,1235,8,27,16,3,54,19,73,36,8,136,19,35,18,1,73,12,45,25,2,84,347,
8,Fulton,03E,2894,26,48,36,2,112,68,198,74,3,343,26,62,32,1,121,50,117,56,2,225,801,
9,Fulton,03F,2328,10,88,78,0,176,39,342,151,1,533,20,113,44,0,177,27,143,45,0,215,1101,
10,Fulton,03G,1033,7,20,7,0,34,33,47,10,1,91,12,24,8,0,44,20,31,14,1,66,235,
11,Fulton,03I,1607,13,61,37,4,115,34,121,41,2,198,10,47,8,0,65,11,40,9,1,61,439,
12,Fulton,03L,748,8,8,2,0,18,18,36,11,0,65,18,16,12,0,46,13,24,10,0,47,176,
13,Fulton,03N,2804,14,49,19,1,83,100,184,61,7,352,22,55,21,2,100,43,104,43,7,197,732,
14,Fulton,03P1A,4404,22,183,135,2,342,87,543,235,3,868,25,178,39,1,243,30,215,65,3,313,1766,
15,Fulton,04A,1554,9,36,35,0,80,21,118,64,0,203,16,57,17,0,90,20,72,31,0,123,496,
16,Fulton,04C,150,0,2,1,0,3,6,7,4,0,17,2,6,1,0,9,1,10,5,0,16,45,
17,Fulton,04D,1736,20,58,20,1,99,54,150,89,2,295,23,73,28,0,124,42,102,32,2,178,696,
18,Fulton,04L,2014,14,69,36,0,119,46,236,85,0,367,14,77,22,0,113,37,97,34,0,168,767,
