index,County,Precinct,Registered Voters,John Albers (I) (Rep)_Election Day Votes,John Albers (I) (Rep)_Advanced Voting Votes,John Albers (I) (Rep)_Absentee by Mail Votes,John Albers (I) (Rep)_Provisional Votes,John Albers (I) (Rep)_Choice Total,Sarah Beeson (Dem)_Election Day Votes,Sarah Beeson (Dem)_Advanced Voting Votes,Sarah Beeson (Dem)_Absentee by Mail Votes,Sarah Beeson (Dem)_Provisional Votes,Sarah Beeson (Dem)_Choice Total,Total,
0,Fulton,AP01A,5236,194,1375,505,0,2074,102,1138,685,4,1929,4003,
1,Fulton,AP01B,1281,38,270,104,5,417,32,260,141,5,438,855,
2,Fulton,AP01C,2409,88,715,194,8,1005,52,497,297,4,850,1855,
3,Fulton,AP01D,1015,32,198,83,0,313,36,200,122,0,358,671,
4,Fulton,AP021,3408,169,942,257,1,1369,102,746,316,3,1167,2536,
5,Fulton,AP022,2507,90,515,210,0,815,91,480,347,0,918,1733,
6,Fulton,AP02B,677,26,92,91,5,214,7,121,113,3,244,458,
7,Fulton,AP03,775,27,57,14,2,100,73,181,59,4,317,417,
8,Fulton,AP04A,1760,93,517,237,5,852,33,326,198,0,557,1409,
9,Fulton,AP04B,473,40,160,25,2,227,6,102,56,4,168,395,
10,Fulton,AP14,3232,108,872,297,4,1281,63,718,478,4,1263,2544,
11,Fulton,JC13A,2317,97,821,244,0,1162,36,373,239,1,649,1811,
12,Fulton,JC14,2608,85,843,250,1,1179,50,550,281,2,883,2062,
13,Fulton,JC15,959,34,189,51,0,274,34,258,112,0,404,678,
14,Fulton,JC16,2707,135,728,190,1,1054,61,600,350,0,1011,2065,
15,Fulton,JC18,2857,101,903,267,2,1273,51,619,346,1,1017,2290,
16,Fulton,JC19,4174,139,1046,304,3,1492,83,960,585,9,1637,3129,
17,Fulton,ML01A,2795,155,986,236,23,1400,54,572,259,8,893,2293,
18,Fulton,ML01B,708,42,246,82,0,370,8,112,59,0,179,549,
19,Fulton,MP01,472,132,36,23,5,196,81,34,55,1,171,367,
20,Fulton,RW01,5010,209,1563,750,10,2532,73,871,683,3,1630,4162,
21,Fulton,RW02,4061,254,1103,430,8,1795,91,790,572,6,1459,3254,
22,Fulton,RW03,5041,261,935,333,5,1534,184,1002,619,7,1812,3346,
23,Fulton,RW04,1861,74,487,176,0,737,27,470,296,1,794,1531,
24,Fulton,RW05,2910,120,392,153,4,669,174,620,330,10,1134,1803,
25,Fulton,RW06,3071,164,695,203,0,1062,80,739,376,8,1203,2265,
26,Fulton,RW07A,1773,48,87,23,0,158,188,402,150,2,742,900,
27,Fulton,RW07B,449,17,31,13,5,66,49,82,58,14,203,269,
28,Fulton,RW08,2429,157,625,392,5,1179,50,307,263,4,624,1803,
29,Fulton,RW09,4450,300,1465,751,2,2518,62,666,623,1,1352,3870,
30,Fulton,RW09A,1892,133,666,79,6,884,34,309,65,2,410,1294,
31,Fulton,RW10,3653,201,1178,479,6,1864,44,594,435,4,1077,2941,
32,Fulton,RW11A,2865,150,620,267,4,1041,98,521,376,5,1000,2041,
33,Fulton,RW12,3899,307,1192,597,3,2099,70,693,692,1,1456,3555,
34,Fulton,RW12A,2458,143,666,94,4,907,64,457,94,2,617,1524,
35,Fulton,RW13,3764,225,955,321,3,1504,128,851,427,4,1410,2914,
36,Fulton,RW16,2101,120,614,216,2,952,49,424,232,4,709,1661,
37,Fulton,RW17,3100,157,514,158,0,829,153,761,370,4,1288,2117,
38,Fulton,RW19,2147,129,728,241,1,1099,42,371,231,0,644,1743,
39,Fulton,RW20,2701,89,805,250,5,1149,37,641,322,2,1002,2151,
40,Fulton,RW21,3362,94,1120,341,13,1568,67,608,339,6,1020,2588,
41,Fulton,RW22A,4788,144,791,258,10,1203,194,1239,471,7,1911,3114,
42,Fulton,SS02A,1206,37,235,104,0,376,28,300,190,5,523,899,
43,Fulton,SS15A,2756,65,150,36,1,252,211,753,263,5,1232,1484,
44,Fulton,SS15B,1730,97,205,69,0,371,115,442,176,2,735,1106,
45,Fulton,SS19A,3299,72,359,108,6,545,136,932,365,9,1442,1987,
46,Fulton,SS19B,2342,50,308,115,36,509,84,705,283,68,1140,1649,
47,Fulton,SS20,2404,68,305,117,4,494,125,566,303,8,1002,1496,
48,Fulton,SS22,2834,101,392,236,0,729,117,515,358,3,993,1722,
49,Fulton,SS26,3824,49,265,92,5,411,220,1152,349,12,1733,2144,
