index,County,Precinct,Registered Voters,Karen Handel (Rep)_Election Day Votes,Karen Handel (Rep)_Advanced Voting Votes,Karen Handel (Rep)_Absentee by Mail Votes,Karen Handel (Rep)_Provisional Votes,Karen Handel (Rep)_Choice Total,Lucy McBath (I) (Dem)_Election Day Votes,Lucy McBath (I) (Dem)_Advanced Voting Votes,Lucy McBath (I) (Dem)_Absentee by Mail Votes,Lucy McBath (I) (Dem)_Provisional Votes,Lucy McBath (I) (Dem)_Choice Total,Total,
0,Fulton,AP01A,5236,176,1281,429,0,1886,124,1253,789,4,2170,4056,
1,Fulton,AP01B,1281,34,251,93,4,382,37,284,154,6,481,863,
2,Fulton,AP01C,2409,83,666,170,5,924,58,555,332,6,951,1875,
3,Fulton,AP01D,1015,32,185,68,0,285,39,217,139,0,395,680,
4,Fulton,AP021,3408,162,910,225,0,1297,108,788,354,3,1253,2550,
5,Fulton,AP022,2507,84,490,184,0,758,101,513,380,0,994,1752,
6,Fulton,AP02B,677,26,91,83,5,205,9,130,123,3,265,470,
7,Fulton,AP03,775,26,51,11,1,89,77,188,62,5,332,421,
8,Fulton,AP04A,1760,78,481,212,3,774,50,372,234,2,658,1432,
9,Fulton,AP04B,473,39,150,25,2,216,8,112,60,4,184,400,
10,Fulton,AP05,4776,275,1205,438,2,1920,96,1058,679,6,1839,3759,
11,Fulton,AP06,1967,121,619,156,12,908,35,397,237,0,669,1577,
12,Fulton,AP07A,3910,182,875,294,13,1364,120,825,501,9,1455,2819,
13,Fulton,AP07B,1882,60,519,165,11,755,48,438,235,9,730,1485,
14,Fulton,AP09A,4437,208,974,332,6,1520,150,1094,672,5,1921,3441,
15,Fulton,AP09B,925,36,157,49,0,242,25,255,165,0,445,687,
16,Fulton,AP10,992,47,325,86,21,479,25,184,112,18,339,818,
17,Fulton,AP12A,746,27,115,34,3,179,41,182,89,12,324,503,
18,Fulton,AP12B,947,22,98,66,5,191,53,215,125,2,395,586,
19,Fulton,AP12C,2367,95,673,190,7,965,64,487,215,9,775,1740,
20,Fulton,AP14,3232,97,827,256,5,1185,74,777,538,2,1391,2576,
21,Fulton,JC01,4128,192,746,298,6,1242,132,1098,934,6,2170,3412,
22,Fulton,JC01A,1738,94,227,36,5,362,90,457,113,2,662,1024,
23,Fulton,JC02,3001,124,509,243,2,878,108,650,526,4,1288,2166,
24,Fulton,JC03A,594,33,137,27,2,199,16,198,64,3,281,480,
25,Fulton,JC03B,1616,82,288,60,0,430,70,449,273,0,792,1222,
26,Fulton,JC04A,3177,90,798,210,10,1108,48,865,534,8,1455,2563,
27,Fulton,JC04B,334,8,51,20,0,79,6,92,48,0,146,225,
28,Fulton,JC04C,1251,43,273,77,0,393,25,340,211,0,576,969,
29,Fulton,JC05,2350,95,509,114,1,719,71,642,314,3,1030,1749,
30,Fulton,JC06,2840,156,595,237,4,992,114,527,401,4,1046,2038,
31,Fulton,JC07,4670,141,911,328,17,1397,107,1162,828,15,2112,3509,
32,Fulton,JC08,2931,107,716,197,1,1021,73,748,422,4,1247,2268,
33,Fulton,JC09,3250,128,612,196,4,940,122,835,478,2,1437,2377,
34,Fulton,JC10,2641,108,447,150,8,713,86,708,439,10,1243,1956,
35,Fulton,JC11,3497,173,940,276,0,1389,111,718,448,0,1277,2666,
36,Fulton,JC12,2832,98,910,358,4,1370,35,447,380,1,863,2233,
37,Fulton,JC13A,2317,89,774,212,0,1075,47,423,275,1,746,1821,
38,Fulton,JC13B,282,7,113,32,1,153,2,44,28,0,74,227,
39,Fulton,JC14,2608,82,786,208,1,1077,54,613,335,2,1004,2081,
40,Fulton,JC15,959,30,177,46,0,253,39,275,121,0,435,688,
41,Fulton,JC16,2707,132,666,171,0,969,66,669,382,1,1118,2087,
42,Fulton,JC18,2857,95,857,240,1,1193,57,681,377,2,1117,2310,
43,Fulton,JC19,4174,129,993,268,5,1395,97,1035,632,7,1771,3166,
44,Fulton,ML01A,2795,141,922,203,23,1289,70,646,298,8,1022,2311,
45,Fulton,ML01B,708,40,235,70,0,345,10,126,73,0,209,554,
46,Fulton,ML02A,2580,244,938,245,2,1429,73,322,266,0,661,2090,
47,Fulton,ML02B,1914,136,655,204,1,996,48,310,184,1,543,1539,
48,Fulton,ML03,3718,255,1291,403,4,1953,83,616,366,3,1068,3021,
49,Fulton,ML03A,301,15,118,16,2,151,4,49,10,0,63,214,
50,Fulton,ML04,3322,196,1035,325,20,1576,82,622,362,10,1076,2652,
51,Fulton,ML05,4843,248,1176,386,9,1819,141,1038,639,5,1823,3642,
52,Fulton,ML06A,2181,96,255,85,2,438,106,597,240,6,949,1387,
53,Fulton,ML06B,3119,128,494,136,3,761,126,835,466,3,1430,2191,
54,Fulton,ML07A,836,119,221,75,0,415,25,129,77,0,231,646,
55,Fulton,ML07B,1675,211,482,159,0,852,57,254,154,1,466,1318,
56,Fulton,MP01,472,118,34,21,4,177,94,37,60,2,193,370,
57,Fulton,RW01,5010,193,1468,655,9,2325,90,985,798,5,1878,4203,
58,Fulton,RW02,4061,234,1006,365,8,1613,113,906,653,6,1678,3291,
59,Fulton,RW03,5041,234,846,295,6,1381,213,1114,667,7,2001,3382,
60,Fulton,RW04,1861,71,472,150,1,694,34,488,324,0,846,1540,
61,Fulton,RW05,2910,101,355,146,4,606,197,669,346,10,1222,1828,
62,Fulton,RW06,3071,152,652,177,2,983,94,790,413,6,1303,2286,
63,Fulton,RW07A,1773,49,80,16,0,145,191,413,159,2,765,910,
64,Fulton,RW07B,449,15,35,12,5,67,49,81,59,14,203,270,
65,Fulton,RW08,2429,135,571,331,5,1042,74,369,342,4,789,1831,
66,Fulton,RW09,4450,282,1375,645,1,2303,81,762,752,2,1597,3900,
67,Fulton,RW09A,1892,127,629,66,6,828,42,346,78,2,468,1296,
68,Fulton,RW10,3653,190,1072,408,7,1677,58,709,512,3,1282,2959,
69,Fulton,RW11A,2865,133,568,219,5,925,114,584,431,4,1133,2058,
70,Fulton,RW12,3899,277,1116,520,2,1915,104,780,792,2,1678,3593,
71,Fulton,RW12A,2458,131,622,81,4,838,77,509,114,3,703,1541,
72,Fulton,RW13,3764,217,907,284,4,1412,142,920,476,4,1542,2954,
73,Fulton,RW16,2101,117,575,180,1,873,53,471,270,4,798,1671,
74,Fulton,RW17,3100,142,497,136,1,776,165,796,396,4,1361,2137,
75,Fulton,RW19,2147,120,666,196,1,983,50,436,281,0,767,1750,
76,Fulton,RW20,2701,81,769,221,4,1075,45,684,361,3,1093,2168,
77,Fulton,RW21,3362,90,1053,298,11,1452,74,689,395,9,1167,2619,
78,Fulton,RW22A,4788,140,740,231,10,1121,198,1299,507,7,2011,3132,
79,Fulton,SS01,4846,240,1341,541,2,2124,68,897,763,3,1731,3855,
80,Fulton,SS02A,1206,29,220,95,0,344,37,323,203,5,568,912,
81,Fulton,SS02B,1318,32,148,55,3,238,45,418,200,4,667,905,
82,Fulton,SS03,1577,74,312,103,3,492,45,431,248,1,725,1217,
83,Fulton,SS04,3763,138,516,221,9,884,147,1068,575,12,1802,2686,
84,Fulton,SS05,1853,96,454,176,4,730,36,477,329,1,843,1573,
85,Fulton,SS06,1667,55,417,174,26,672,35,396,275,37,743,1415,
86,Fulton,SS07A,1254,35,267,182,0,484,15,294,195,0,504,988,
87,Fulton,SS07B,793,20,119,61,0,200,34,209,118,1,362,562,
88,Fulton,SS07C,809,20,135,83,5,243,15,115,148,11,289,532,
89,Fulton,SS08A,1891,82,216,68,10,376,103,586,222,7,918,1294,
90,Fulton,SS08B,696,17,161,72,0,250,15,164,128,0,307,557,
91,Fulton,SS08C,716,20,92,38,0,150,19,198,124,0,341,491,
92,Fulton,SS08D,1555,48,202,76,0,326,57,424,229,0,710,1036,
93,Fulton,SS11A,4026,146,580,256,1,983,207,1040,514,11,1772,2755,
94,Fulton,SS11B,1412,33,160,46,0,239,84,366,196,1,647,886,
95,Fulton,SS11C,361,6,24,4,0,34,26,105,29,1,161,195,
96,Fulton,SS12,2897,122,596,301,5,1024,74,685,452,5,1216,2240,
97,Fulton,SS15A,2756,65,133,32,1,231,215,784,275,5,1279,1510,
98,Fulton,SS15B,1730,87,198,66,0,351,127,451,183,2,763,1114,
99,Fulton,SS16,2116,87,564,250,4,905,38,428,381,2,849,1754,
100,Fulton,SS17,3686,201,765,316,6,1288,143,782,488,9,1422,2710,
101,Fulton,SS18A,657,40,157,63,0,260,12,154,120,0,286,546,
102,Fulton,SS18B,241,12,60,24,1,97,4,52,41,1,98,195,
103,Fulton,SS19A,3299,61,329,102,6,498,150,989,385,9,1533,2031,
104,Fulton,SS19B,2342,51,278,105,32,466,93,744,303,68,1208,1674,
105,Fulton,SS20,2404,60,292,98,4,454,130,588,332,7,1057,1511,
106,Fulton,SS22,2834,100,373,224,0,697,119,543,396,4,1062,1759,
107,Fulton,SS26,3824,52,256,78,6,392,221,1189,365,12,1787,2179,
108,Fulton,SS29A,2842,129,433,195,5,762,97,773,418,2,1290,2052,
109,Fulton,SS31,1703,51,331,133,0,515,49,443,285,0,777,1292,
