County,Precinct,Registered Voters,"Kevin """"Troop"""" Johnson (Rep)_Election Day Votes","Kevin """"Troop"""" Johnson (Rep)_Advanced Voting Votes","Kevin """"Troop"""" Johnson (Rep)_Absentee by Mail Votes","Kevin """"Troop"""" Johnson (Rep)_Provisional Votes","Kevin """"Troop"""" Johnson (Rep)_Choice Total",Total,
Gilmer,Ellijay South,3172,385,1157,378,2,1922,1922,
Gilmer,Cartecay,1598,407,487,194,2,1090,1090,
Gilmer,Tails Creek,1782,465,475,140,0,1080,1080,
Gilmer,Town Creek,1234,318,334,107,0,759,759,
Gilmer,Leaches,2939,547,976,343,2,1868,1868,
Gilmer,Cherry Log,926,258,236,116,0,610,610,
Gilmer,Boardtown,1391,295,506,207,3,1011,1011,
Gilmer,Mountaintown,1139,273,362,129,1,765,765,
Gilmer,East Ellijay,1655,247,626,216,0,1089,1089,
Gilmer,Ellijay North,1810,281,610,206,1,1098,1098,
Gilmer,Yukon,1288,346,352,121,0,819,819,
Gilmer,Big Creek,1479,369,404,189,0,962,962,
Gilmer,Ellijay Northeast,1851,231,705,226,0,1162,1162,
