County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Gilmer,Ellijay South,3172,310,960,424,2,1696,91,267,90,0,448,2144,
Gilmer,Cartecay,1598,325,406,203,2,936,84,98,36,0,218,1154,
Gilmer,Tails Creek,1782,370,393,151,0,914,101,108,25,0,234,1148,
Gilmer,Town Creek,1234,232,251,105,0,588,83,83,32,0,198,786,
Gilmer,Leaches,2939,432,836,360,2,1630,127,202,60,0,389,2019,
Gilmer,Cherry Log,926,208,212,141,0,561,65,44,18,0,127,688,
Gilmer,Boardtown,1391,220,429,228,3,880,70,86,38,0,194,1074,
Gilmer,Mountaintown,1139,204,313,142,1,660,69,79,13,0,161,821,
Gilmer,East Ellijay,1655,202,523,202,0,927,51,139,42,0,232,1159,
Gilmer,Ellijay North,1810,219,492,186,0,897,71,138,45,1,255,1152,
Gilmer,Yukon,1288,275,302,136,0,713,77,73,28,0,178,891,
Gilmer,Big Creek,1479,306,353,215,0,874,77,79,29,0,185,1059,
Gilmer,Ellijay Northeast,1851,180,605,257,0,1042,52,148,42,0,242,1284,
