index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Gilmer,Ellijay South,3172,351,1055,300,2,1708,49,180,212,0,441,14,30,17,0,61,2210,
1,Gilmer,Cartecay,1598,389,451,171,2,1013,18,56,78,0,152,13,12,5,0,30,1195,
2,Gilmer,Tails Creek,1782,417,443,131,0,991,45,56,40,0,141,26,8,8,0,42,1174,
3,Gilmer,Town Creek,1234,292,317,85,0,694,26,24,48,0,98,15,8,8,0,31,823,
4,Gilmer,Leaches,2939,503,875,295,2,1675,45,157,147,0,349,22,29,13,0,64,2088,
5,Gilmer,Cherry Log,926,233,203,97,0,533,40,60,60,0,160,13,6,3,0,22,715,
6,Gilmer,Boardtown,1391,275,470,166,3,914,27,62,101,0,190,14,10,8,1,33,1137,
7,Gilmer,Mountaintown,1139,258,329,106,1,694,22,57,40,0,119,8,16,11,0,35,848,
8,Gilmer,East Ellijay,1655,226,586,183,0,995,26,89,66,0,181,6,14,7,0,27,1203,
9,Gilmer,Ellijay North,1810,267,541,172,1,981,16,96,62,0,174,11,25,10,0,46,1201,
10,Gilmer,Yukon,1288,335,334,111,0,780,25,40,46,0,111,13,6,7,0,26,917,
11,Gilmer,Big Creek,1479,359,376,139,0,874,21,58,101,0,180,13,13,15,0,41,1095,
12,Gilmer,Ellijay Northeast,1851,230,652,189,0,1071,12,117,115,0,244,8,17,5,0,30,1345,
