index,County,Precinct,Registered Voters,Marc Neu (I) (Rep)_Election Day Votes,Marc Neu (I) (Rep)_Advanced Voting Votes,Marc Neu (I) (Rep)_Absentee by Mail Votes,Marc Neu (I) (Rep)_Provisional Votes,Marc Neu (I) (Rep)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,462,1621,452,2,2537,2537,
1,Glynn,Brookman,3460,435,1221,284,3,1943,1943,
2,Glynn,Satilla Marshes,2824,334,1023,294,0,1651,1651,
3,Glynn,Blythe Island Baptist,2529,291,1035,262,2,1590,1590,
4,Glynn,Christian Renewal,3699,306,1607,532,3,2448,2448,
5,Glynn,Hampton River,2823,230,1294,438,2,1964,1964,
6,Glynn,St William Catholic Church,4333,306,2011,559,2,2878,2878,
7,Glynn,First Baptist,4316,326,1849,561,1,2737,2737,
8,Glynn,Jekyll Island,774,225,107,105,2,439,439,
9,Glynn,Sterling Church of God,3925,440,1291,317,3,2051,2051,
10,Glynn,SE Baptist Bldg,2109,252,663,179,2,1096,1096,
11,Glynn,Career Academy,2960,351,986,326,3,1666,1666,
12,Glynn,C B Greer School,3288,351,1117,343,2,1813,1813,
13,Glynn,Ballard,3286,261,975,332,4,1572,1572,
14,Glynn,Northside Baptist,3313,282,686,337,0,1305,1305,
15,Glynn,The Chapel,2971,196,601,247,2,1046,1046,
16,Glynn,College Place UMC,2367,172,527,240,0,939,939,
17,Glynn,Howard Coffin Park,3320,236,565,269,1,1071,1071,
18,Glynn,Urbana-Perry Parks,3638,206,383,225,1,815,815,
19,Glynn,Selden Park,1439,88,210,89,1,388,388,
