index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,409,1503,365,3,2280,104,356,275,1,736,8,9,4,0,21,3037,
1,Glynn,Brookman,3460,414,1104,205,2,1725,77,358,228,2,665,6,14,4,0,24,2414,
2,Glynn,Satilla Marshes,2824,306,913,208,0,1427,89,302,224,0,615,14,12,4,0,30,2072,
3,Glynn,Blythe Island Baptist,2529,264,973,223,2,1462,55,173,106,0,334,5,10,2,0,17,1813,
4,Glynn,Christian Renewal,3699,274,1395,417,3,2089,69,514,383,1,967,5,9,8,0,22,3078,
5,Glynn,Hampton River,2823,214,1143,306,2,1665,34,331,332,0,697,0,18,8,0,26,2388,
6,Glynn,St William Catholic Church,4333,275,1725,398,1,2399,57,613,451,1,1122,5,30,7,0,42,3563,
7,Glynn,First Baptist,4316,275,1608,429,0,2312,89,583,416,2,1090,12,17,9,0,38,3440,
8,Glynn,Jekyll Island,774,200,79,62,2,343,75,64,138,0,277,3,1,0,0,4,624,
9,Glynn,Sterling Church of God,3925,386,1094,242,3,1725,122,457,256,0,835,8,13,5,1,27,2587,
10,Glynn,SE Baptist Bldg,2109,212,571,124,1,908,74,194,113,1,382,7,9,4,0,20,1310,
11,Glynn,Career Academy,2960,300,854,255,3,1412,78,289,212,0,579,16,21,2,0,39,2030,
12,Glynn,C B Greer School,3288,310,966,251,3,1530,83,356,285,1,725,11,11,7,0,29,2284,
13,Glynn,Ballard,3286,192,820,272,5,1289,127,362,204,1,694,11,13,5,0,29,2012,
14,Glynn,Northside Baptist,3313,187,431,168,1,787,198,601,393,1,1193,9,13,8,0,30,2010,
15,Glynn,The Chapel,2971,132,411,144,1,688,123,483,336,1,943,4,6,2,0,12,1643,
16,Glynn,College Place UMC,2367,96,338,119,0,553,137,416,302,2,857,7,5,6,0,18,1428,
17,Glynn,Howard Coffin Park,3320,154,362,122,1,639,177,585,395,3,1160,8,10,14,0,32,1831,
18,Glynn,Urbana-Perry Parks,3638,53,86,49,1,189,301,723,517,2,1543,8,11,6,0,25,1757,
19,Glynn,Selden Park,1439,48,116,29,1,194,84,209,169,3,465,2,2,0,0,4,663,
