County,Precinct,Registered Voters,Debra Godwin Duncan (I) (Rep)_Election Day Votes,Debra Godwin Duncan (I) (Rep)_Advanced Voting Votes,Debra Godwin Duncan (I) (Rep)_Absentee by Mail Votes,Debra Godwin Duncan (I) (Rep)_Provisional Votes,Debra Godwin Duncan (I) (Rep)_Choice Total,Total,
Glynn,Sterling Elementary,4578,465,1627,457,2,2551,2551,
Glynn,Brookman,3460,433,1238,281,3,1955,1955,
Glynn,Satilla Marshes,2824,339,1033,288,0,1660,1660,
Glynn,Blythe Island Baptist,2529,292,1032,269,2,1595,1595,
Glynn,Christian Renewal,3699,301,1588,541,3,2433,2433,
Glynn,Hampton River,2823,230,1287,440,2,1959,1959,
Glynn,St William Catholic Church,4333,306,1993,559,2,2860,2860,
Glynn,First Baptist,4316,321,1838,565,2,2726,2726,
Glynn,Jekyll Island,774,223,101,105,2,431,431,
Glynn,Sterling Church of God,3925,446,1290,315,4,2055,2055,
Glynn,SE Baptist Bldg,2109,249,671,177,1,1098,1098,
Glynn,Career Academy,2960,354,980,328,3,1665,1665,
Glynn,C B Greer School,3288,354,1122,346,2,1824,1824,
Glynn,Ballard,3286,258,983,343,4,1588,1588,
Glynn,Northside Baptist,3313,279,691,336,0,1306,1306,
Glynn,The Chapel,2971,196,602,254,1,1053,1053,
Glynn,College Place UMC,2367,176,531,236,0,943,943,
Glynn,Howard Coffin Park,3320,243,582,281,2,1108,1108,
Glynn,Urbana-Perry Parks,3638,213,376,237,1,827,827,
Glynn,Selden Park,1439,89,211,96,2,398,398,
