index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Glynn,Sterling Elementary,4578,389,1451,356,1,2197,89,329,245,1,664,27,29,15,0,71,2932,
1,Glynn,Brookman,3460,386,1069,193,2,1650,72,328,211,2,613,19,40,12,0,71,2334,
2,Glynn,Satilla Marshes,2824,292,885,209,0,1386,75,274,205,0,554,26,28,6,0,60,2000,
3,Glynn,Blythe Island Baptist,2529,250,931,211,2,1394,45,162,93,0,300,16,26,11,0,53,1747,
4,Glynn,Christian Renewal,3699,259,1373,438,2,2072,50,431,308,1,790,22,48,18,0,88,2950,
5,Glynn,Hampton River,2823,206,1150,336,2,1694,25,255,268,0,548,13,36,13,0,62,2304,
6,Glynn,St William Catholic Church,4333,266,1709,423,1,2399,53,510,376,1,940,11,73,16,0,100,3439,
7,Glynn,First Baptist,4316,267,1585,449,0,2301,67,503,348,2,920,21,64,18,0,103,3324,
8,Glynn,Jekyll Island,774,185,76,65,2,328,70,61,122,0,253,15,2,4,0,21,602,
9,Glynn,Sterling Church of God,3925,360,1044,207,3,1614,109,416,241,0,766,26,42,18,1,87,2467,
10,Glynn,SE Baptist Bldg,2109,201,545,121,1,868,67,183,99,1,350,9,15,6,0,30,1248,
11,Glynn,Career Academy,2960,285,815,248,2,1350,77,268,184,0,529,19,39,11,0,69,1948,
12,Glynn,C B Greer School,3288,297,927,245,2,1471,68,333,256,1,658,27,31,19,0,77,2206,
13,Glynn,Ballard,3286,182,786,246,4,1218,121,336,199,1,657,17,29,8,0,54,1929,
14,Glynn,Northside Baptist,3313,164,417,155,0,736,196,552,381,0,1129,20,32,13,0,65,1930,
15,Glynn,The Chapel,2971,125,379,133,1,638,107,457,319,1,884,11,23,13,0,47,1569,
16,Glynn,College Place UMC,2367,93,324,111,0,528,128,381,282,2,793,10,19,8,0,37,1358,
17,Glynn,Howard Coffin Park,3320,132,332,117,1,582,159,534,378,2,1073,30,41,11,0,82,1737,
18,Glynn,Urbana-Perry Parks,3638,48,86,42,1,177,279,658,491,1,1429,18,25,12,1,56,1662,
19,Glynn,Selden Park,1439,45,108,25,1,179,73,188,162,3,426,8,10,3,0,21,626,
