index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Gordon,Sugar Valley,1471,343,307,105,0,755,88,83,21,1,193,948,
1,Gordon,Plainville,2044,432,413,165,2,1012,117,80,25,0,222,1234,
2,Gordon,Sonoraville,5380,955,1426,436,1,2818,252,372,86,0,710,3528,
3,Gordon,Pine Chapel,1071,261,210,67,0,538,65,58,16,0,139,677,
4,Gordon,Oostanaula,667,174,106,75,0,355,56,25,11,0,92,447,
5,Gordon,Oakman,1439,358,220,112,0,690,82,55,22,0,159,849,
6,Gordon,Gordon County,6423,741,1694,540,1,2976,190,432,98,1,721,3697,
7,Gordon,Calhoun City,9532,973,2649,935,1,4558,248,591,169,0,1008,5566,
8,Gordon,Lily Pond,1914,295,493,197,0,985,84,120,26,0,230,1215,
9,Gordon,Fairmount,1991,529,298,176,1,1004,155,75,49,1,280,1284,
10,Gordon,Red Bud,2965,553,784,205,0,1542,124,193,31,1,349,1891,
11,Gordon,Resaca,1532,324,268,99,0,691,90,84,34,0,208,899,
