index,County,Precinct,Registered Voters,"R. Bruce Potts, Jr. (Rep)_Election Day Votes","R. Bruce Potts, Jr. (Rep)_Advanced Voting Votes","R. Bruce Potts, Jr. (Rep)_Absentee by Mail Votes","R. Bruce Potts, Jr. (Rep)_Provisional Votes","R. Bruce Potts, Jr. (Rep)_Choice Total",Total,
0,Gordon,Sugar Valley,1471,435,360,106,1,902,902,
1,Gordon,Plainville,2044,538,473,162,3,1176,1176,
2,Gordon,Sonoraville,5380,1187,1757,442,1,3387,3387,
3,Gordon,Pine Chapel,1071,323,261,66,0,650,650,
4,Gordon,Oostanaula,667,224,124,76,0,424,424,
5,Gordon,Oakman,1439,448,258,97,0,803,803,
6,Gordon,Gordon County,6423,902,2054,547,1,3504,3504,
7,Gordon,Calhoun City,9532,1132,3040,901,2,5075,5075,
8,Gordon,Lily Pond,1914,369,606,164,0,1139,1139,
9,Gordon,Fairmount,1991,705,356,182,2,1245,1245,
10,Gordon,Red Bud,2965,667,945,186,1,1799,1799,
11,Gordon,Resaca,1532,409,343,120,0,872,872,
