index,County,Precinct,Registered Voters,Tiana P. Garner (Dem)_Election Day Votes,Tiana P. Garner (Dem)_Advanced Voting Votes,Tiana P. Garner (Dem)_Absentee by Mail Votes,Tiana P. Garner (Dem)_Provisional Votes,Tiana P. Garner (Dem)_Choice Total,Total,
0,Gwinnett,HARBINS A,7182,548,2312,1020,5,3885,3885,
1,Gwinnett,ROCKBRIDGE A,3987,317,1387,661,1,2366,2366,
2,Gwinnett,DACULA,4777,371,1525,657,2,2555,2555,
3,Gwinnett,SUWANEE A,1737,156,528,238,0,922,922,
4,Gwinnett,BAYCREEK A,2720,252,741,480,0,1473,1473,
5,Gwinnett,GOODWINS A,3921,421,1056,631,2,2110,2110,
6,Gwinnett,DULUTH A,5042,335,1467,1074,2,2878,2878,
7,Gwinnett,DUNCANS A,4729,311,1454,660,1,2426,2426,
8,Gwinnett,PUCKETTS A,5692,339,1780,786,0,2905,2905,
9,Gwinnett,CATES A,2387,211,584,392,1,1188,1188,
10,Gwinnett,BERKSHIRE A,2555,342,535,359,2,1238,1238,
11,Gwinnett,BERKSHIRE B,5338,350,1605,952,6,2913,2913,
12,Gwinnett,DUNCANS C,3040,256,951,414,1,1622,1622,
13,Gwinnett,GARNERS A,3520,230,1055,628,0,1913,1913,
14,Gwinnett,LAWRENCEVILLE A,3635,347,877,482,2,1708,1708,
15,Gwinnett,LAWRENCEVILLE B,5097,273,1752,822,3,2850,2850,
16,Gwinnett,MARTINS A,3303,385,875,431,5,1696,1696,
17,Gwinnett,MARTINS B,3001,333,785,404,2,1524,1524,
18,Gwinnett,MARTINS C,2549,311,660,422,4,1397,1397,
19,Gwinnett,PINCKNEYVILLE A,2791,391,657,346,5,1399,1399,
20,Gwinnett,PINCKNEYVILLE B,3485,353,843,412,5,1613,1613,
21,Gwinnett,PINCKNEYVILLE C,2082,239,468,443,4,1154,1154,
22,Gwinnett,PINCKNEYVILLE D,2264,304,493,239,5,1041,1041,
23,Gwinnett,SUGAR HILL A,4654,456,1074,586,5,2121,2121,
24,Gwinnett,SUGAR HILL B,5596,571,1529,736,8,2844,2844,
25,Gwinnett,HOG MOUNTAIN A,5011,488,1441,755,1,2685,2685,
26,Gwinnett,HOG MOUNTAIN B,4583,391,1269,815,1,2476,2476,
27,Gwinnett,ROCKYCREEK A,5939,532,1855,782,3,3172,3172,
28,Gwinnett,CATES B,1587,154,376,245,1,776,776,
29,Gwinnett,CATES C,2903,260,924,473,2,1659,1659,
30,Gwinnett,HOG MOUNTAIN D,3179,314,813,504,1,1632,1632,
31,Gwinnett,BERKSHIRE D,2945,194,858,622,3,1677,1677,
32,Gwinnett,BERKSHIRE E,1997,170,572,366,1,1109,1109,
33,Gwinnett,BERKSHIRE F,2254,279,456,352,1,1088,1088,
34,Gwinnett,CATES D,3755,311,1118,688,1,2118,2118,
35,Gwinnett,CATES E,2942,254,852,595,1,1702,1702,
36,Gwinnett,PINCKNEYVILLE E,2184,297,550,290,5,1142,1142,
37,Gwinnett,PINCKNEYVILLE F,2546,298,571,343,2,1214,1214,
38,Gwinnett,DUNCANS D,7153,616,1953,979,0,3548,3548,
39,Gwinnett,PINCKNEYVILLE H,4536,412,1213,933,2,2560,2560,
40,Gwinnett,BAYCREEK B,5969,552,2020,853,7,3432,3432,
41,Gwinnett,LAWRENCEVILLE C,3037,303,787,427,1,1518,1518,
42,Gwinnett,MARTINS D,2402,309,500,307,3,1119,1119,
43,Gwinnett,ROCKBRIDGE B,4177,368,1293,624,1,2286,2286,
44,Gwinnett,GARNERS B,3178,235,986,528,3,1752,1752,
45,Gwinnett,CATES F,1787,203,426,306,1,936,936,
46,Gwinnett,CATES G,2875,226,851,548,0,1625,1625,
47,Gwinnett,DULUTH B,3551,326,756,660,2,1744,1744,
48,Gwinnett,GARNERS C,2030,177,575,283,2,1037,1037,
49,Gwinnett,PINCKNEYVILLE I,2635,308,649,336,2,1295,1295,
50,Gwinnett,PINCKNEYVILLE J,2613,315,684,285,2,1286,1286,
51,Gwinnett,BERKSHIRE G,2419,194,741,372,0,1307,1307,
52,Gwinnett,CATES H,3924,343,1114,541,2,2000,2000,
53,Gwinnett,SUGAR HILL C,5085,554,1401,692,0,2647,2647,
54,Gwinnett,SUGAR HILL D,4624,370,1390,576,4,2340,2340,
55,Gwinnett,DULUTH C,2229,254,532,386,3,1175,1175,
56,Gwinnett,DULUTH D,5077,430,1320,782,13,2545,2545,
57,Gwinnett,PINCKNEYVILLE K,3754,455,912,478,11,1856,1856,
58,Gwinnett,PINCKNEYVILLE N,3819,533,1048,477,4,2062,2062,
59,Gwinnett,LAWRENCEVILLE D,5012,523,1208,581,10,2322,2322,
60,Gwinnett,LAWRENCEVILLE E,2355,233,572,404,2,1211,1211,
61,Gwinnett,PINCKNEYVILLE L,2330,247,465,611,1,1324,1324,
62,Gwinnett,PINCKNEYVILLE M,2673,253,612,548,0,1413,1413,
63,Gwinnett,GARNERS D,3490,289,1044,637,0,1970,1970,
64,Gwinnett,BERKSHIRE H,1987,212,409,298,4,923,923,
65,Gwinnett,PINCKNEYVILLE O,3359,344,895,386,6,1631,1631,
66,Gwinnett,PUCKETTS E,5660,418,1647,832,4,2901,2901,
67,Gwinnett,CATES I,3537,321,1111,668,2,2102,2102,
68,Gwinnett,CATES J,3478,314,1024,631,1,1970,1970,
69,Gwinnett,GOODWINS B,3960,384,1082,639,1,2106,2106,
70,Gwinnett,LAWRENCEVILLE F,4061,392,1285,613,3,2293,2293,
71,Gwinnett,MARTINS E,6193,695,1545,693,6,2939,2939,
72,Gwinnett,PINCKNEYVILLE P,2185,268,510,445,2,1225,1225,
73,Gwinnett,PINCKNEYVILLE Q,1915,319,458,232,3,1012,1012,
74,Gwinnett,ROCKBRIDGE C,5125,357,1866,981,6,3210,3210,
75,Gwinnett,ROCKBRIDGE D,3642,240,1309,636,4,2189,2189,
76,Gwinnett,GOODWINS C,5804,585,1534,1003,1,3123,3123,
77,Gwinnett,BAYCREEK K,3824,249,1313,652,0,2214,2214,
78,Gwinnett,CATES K,2810,282,768,480,1,1531,1531,
79,Gwinnett,BAYCREEK C,6499,528,2284,1002,1,3815,3815,
80,Gwinnett,CATES L,4185,383,1251,650,4,2288,2288,
81,Gwinnett,DULUTH E,4814,534,1425,830,6,2795,2795,
82,Gwinnett,GOODWINS D,4406,556,1046,677,2,2281,2281,
83,Gwinnett,LAWRENCEVILLE G,3046,300,888,444,1,1633,1633,
84,Gwinnett,LAWRENCEVILLE H,4296,373,1201,705,4,2283,2283,
85,Gwinnett,MARTINS F,2570,299,547,356,3,1205,1205,
86,Gwinnett,PINCKNEYVILLE S,3374,421,735,493,5,1654,1654,
87,Gwinnett,ROCKBRIDGE E,4638,470,1323,744,2,2539,2539,
88,Gwinnett,SUGAR HILL E,3589,341,1089,540,5,1975,1975,
89,Gwinnett,LAWRENCEVILLE I,3312,386,823,500,1,1710,1710,
90,Gwinnett,BAYCREEK D,4609,360,1463,736,0,2559,2559,
91,Gwinnett,BERKSHIRE J,2731,202,821,524,1,1548,1548,
92,Gwinnett,CATES M,3988,319,1249,772,1,2341,2341,
93,Gwinnett,CATES N,2567,250,659,394,0,1303,1303,
94,Gwinnett,DULUTH F,6161,593,1586,986,16,3181,3181,
95,Gwinnett,DULUTH G,3067,302,748,564,3,1617,1617,
96,Gwinnett,GOODWINS E,5491,552,1461,901,0,2914,2914,
97,Gwinnett,GOODWINS F,3212,279,822,572,0,1673,1673,
98,Gwinnett,PINCKNEYVILLE T,3201,336,734,505,4,1579,1579,
99,Gwinnett,SUWANEE B,4656,273,1510,786,0,2569,2569,
100,Gwinnett,PINCKNEYVILLE U,2090,307,511,342,5,1165,1165,
101,Gwinnett,PUCKETTS B,3096,276,929,377,1,1583,1583,
102,Gwinnett,BERKSHIRE L,3265,425,807,472,1,1705,1705,
103,Gwinnett,ROCKBRIDGE F,5795,348,2339,870,5,3562,3562,
104,Gwinnett,SUGAR HILL F,4112,434,1043,611,3,2091,2091,
105,Gwinnett,SUWANEE C,5675,392,1505,1033,3,2933,2933,
106,Gwinnett,CATES O,1434,179,363,248,2,792,792,
107,Gwinnett,BAYCREEK E,3265,317,917,458,4,1696,1696,
108,Gwinnett,BERKSHIRE M,1864,189,471,332,2,994,994,
109,Gwinnett,MARTINS G,2425,314,594,311,1,1220,1220,
110,Gwinnett,DULUTH H,2813,238,649,616,2,1505,1505,
111,Gwinnett,BERKSHIRE N,3128,141,958,649,0,1748,1748,
112,Gwinnett,PINCKNEYVILLE V,1706,156,406,235,2,799,799,
113,Gwinnett,PINCKNEYVILLE W,4253,393,975,710,4,2082,2082,
114,Gwinnett,MARTINS H,5037,500,1271,786,8,2565,2565,
115,Gwinnett,MARTINS I,4078,452,958,573,4,1987,1987,
116,Gwinnett,MARTINS J,3923,545,1047,517,3,2112,2112,
117,Gwinnett,GARNERS F,1796,151,490,287,2,930,930,
118,Gwinnett,BERKSHIRE O,2589,221,657,460,1,1339,1339,
119,Gwinnett,BERKSHIRE P,1476,175,307,205,1,688,688,
120,Gwinnett,PINCKNEYVILLE X,3412,297,876,749,11,1933,1933,
121,Gwinnett,ROCKBRIDGE G,5799,458,2023,933,12,3426,3426,
122,Gwinnett,PINCKNEYVILLE Y,3272,416,719,365,2,1502,1502,
123,Gwinnett,GOODWINS G,2661,336,722,373,3,1434,1434,
124,Gwinnett,PINCKNEYVILLE Z,1898,233,376,439,0,1048,1048,
125,Gwinnett,PINCKNEYVILLE A1,2694,251,648,621,0,1520,1520,
126,Gwinnett,LAWRENCEVILLE J,2249,265,638,309,0,1212,1212,
127,Gwinnett,GOODWINS H,2796,291,784,452,1,1528,1528,
128,Gwinnett,DUNCANS B,5387,520,1536,661,4,2721,2721,
129,Gwinnett,SUWANEE D,4732,402,1343,813,2,2560,2560,
130,Gwinnett,SUWANEE E,4256,304,1245,741,1,2291,2291,
131,Gwinnett,LAWRENCEVILLE K,3282,322,947,588,0,1857,1857,
132,Gwinnett,HARBINS B,4845,383,1511,547,3,2444,2444,
133,Gwinnett,BAYCREEK F,4608,399,1590,695,8,2692,2692,
134,Gwinnett,PUCKETTS C,3367,253,974,424,1,1652,1652,
135,Gwinnett,HOG MOUNTAIN C,4292,411,1155,624,2,2192,2192,
136,Gwinnett,ROCKYCREEK B,5061,457,1608,641,2,2708,2708,
137,Gwinnett,DULUTH I,5105,343,1205,1120,1,2669,2669,
138,Gwinnett,MARTINS K,5352,607,1537,874,4,3022,3022,
139,Gwinnett,SUWANEE H,3785,303,1136,622,1,2062,2062,
140,Gwinnett,SUGAR HILL G,2814,219,765,464,1,1449,1449,
141,Gwinnett,SUWANEE F,3966,328,1131,672,3,2134,2134,
142,Gwinnett,LAWRENCEVILLE L,4802,408,1486,806,1,2701,2701,
143,Gwinnett,LAWRENCEVILLE M,7255,657,2318,1104,7,4086,4086,
144,Gwinnett,BAYCREEK G,6241,475,2272,949,1,3697,3697,
145,Gwinnett,BAYCREEK H,6811,536,2381,1076,4,3997,3997,
146,Gwinnett,BAYCREEK I,5899,436,1902,880,6,3224,3224,
147,Gwinnett,BERKSHIRE Q,1802,175,431,294,2,902,902,
148,Gwinnett,GOODWINS I,2501,286,664,446,0,1396,1396,
149,Gwinnett,DULUTH K,2786,273,633,324,1,1231,1231,
150,Gwinnett,HARBINS C,2850,374,926,346,2,1648,1648,
151,Gwinnett,ROCKYCREEK C,4806,412,1570,651,3,2636,2636,
152,Gwinnett,LAWRENCEVILLE N,2573,299,611,333,6,1249,1249,
153,Gwinnett,PUCKETTS D,3622,286,1045,506,1,1838,1838,
154,Gwinnett,SUWANEE G,3904,383,1191,662,1,2237,2237,
155,Gwinnett,BAYCREEK J,4567,413,1506,702,4,2625,2625,
