index,County,Precinct,Registered Voters,Travys Harper_Election Day Votes,Travys Harper_Advanced Voting Votes,Travys Harper_Absentee by Mail Votes,Travys Harper_Provisional Votes,Travys Harper_Choice Total,Ellis R. Lamme (I)_Election Day Votes,Ellis R. Lamme (I)_Advanced Voting Votes,Ellis R. Lamme (I)_Absentee by Mail Votes,Ellis R. Lamme (I)_Provisional Votes,Ellis R. Lamme (I)_Choice Total,Matthew R. Retter (I)_Election Day Votes,Matthew R. Retter (I)_Advanced Voting Votes,Matthew R. Retter (I)_Absentee by Mail Votes,Matthew R. Retter (I)_Provisional Votes,Matthew R. Retter (I)_Choice Total,Total,
0,Gwinnett,HARBINS A,7182,262,1045,539,2,1848,470,2060,779,2,3311,428,1849,722,1,3000,8159,
1,Gwinnett,ROCKBRIDGE A,3987,151,635,378,0,1164,249,1038,405,0,1692,206,797,366,1,1370,4226,
2,Gwinnett,DACULA,4777,194,694,392,0,1280,325,1309,487,1,2122,282,1169,413,2,1866,5268,
3,Gwinnett,SUWANEE A,1737,70,230,138,1,439,152,478,234,0,864,133,375,179,0,687,1990,
4,Gwinnett,BAYCREEK A,2720,101,322,264,0,687,266,713,398,0,1377,243,620,356,0,1219,3283,
5,Gwinnett,GOODWINS A,3921,176,428,315,1,920,345,894,466,1,1706,315,771,408,1,1495,4121,
6,Gwinnett,DULUTH A,5042,142,650,523,0,1315,308,1294,858,1,2461,273,1150,745,2,2170,5946,
7,Gwinnett,DUNCANS A,4729,112,579,335,0,1026,345,1636,604,2,2587,328,1496,576,1,2401,6014,
8,Gwinnett,PUCKETTS A,5692,138,674,342,0,1154,312,1902,793,0,3007,281,1769,737,0,2787,6948,
9,Gwinnett,CATES A,2387,85,235,180,0,500,193,530,369,0,1092,172,464,369,1,1006,2598,
10,Gwinnett,BERKSHIRE A,2555,163,225,185,2,575,263,444,238,0,945,221,350,233,0,804,2324,
11,Gwinnett,BERKSHIRE B,5338,153,690,484,4,1331,252,1219,736,4,2211,204,1017,645,0,1866,5408,
12,Gwinnett,DUNCANS C,3040,80,309,169,0,558,298,1044,353,1,1696,283,942,359,1,1585,3839,
13,Gwinnett,GARNERS A,3520,98,402,284,0,784,232,1062,602,1,1897,207,937,555,1,1700,4381,
14,Gwinnett,LAWRENCEVILLE A,3635,164,351,229,1,745,265,727,375,2,1369,216,654,363,0,1233,3347,
15,Gwinnett,LAWRENCEVILLE B,5097,141,849,409,1,1400,220,1338,579,2,2139,193,1056,517,1,1767,5306,
16,Gwinnett,MARTINS A,3303,170,418,248,3,839,294,649,270,1,1214,223,492,245,2,962,3015,
17,Gwinnett,MARTINS B,3001,157,342,182,1,682,243,642,325,2,1212,195,529,301,1,1026,2920,
18,Gwinnett,MARTINS C,2549,142,291,178,1,612,262,544,361,5,1172,206,456,331,2,995,2779,
19,Gwinnett,PINCKNEYVILLE A,2791,196,316,202,2,716,282,468,214,5,969,225,363,193,2,783,2468,
20,Gwinnett,PINCKNEYVILLE B,3485,205,408,207,2,822,256,616,300,3,1175,194,450,261,4,909,2906,
21,Gwinnett,PINCKNEYVILLE C,2082,114,168,193,0,475,246,436,400,2,1084,209,384,355,2,950,2509,
22,Gwinnett,PINCKNEYVILLE D,2264,147,248,121,1,517,216,351,176,2,745,161,272,146,3,582,1844,
23,Gwinnett,SUGAR HILL A,4654,191,435,289,1,916,433,1035,484,3,1955,380,934,454,3,1771,4642,
24,Gwinnett,SUGAR HILL B,5596,256,693,362,4,1315,548,1475,588,4,2615,491,1279,542,7,2319,6249,
25,Gwinnett,HOG MOUNTAIN A,5011,208,638,373,1,1220,439,1253,556,0,2248,354,1013,515,0,1882,5350,
26,Gwinnett,HOG MOUNTAIN B,4583,152,522,420,2,1096,388,1263,667,2,2320,343,1057,580,0,1980,5396,
27,Gwinnett,ROCKYCREEK A,5939,241,805,415,2,1463,518,1819,622,1,2960,452,1586,560,0,2598,7021,
28,Gwinnett,CATES B,1587,62,154,107,0,323,164,383,224,0,771,140,355,221,1,717,1811,
29,Gwinnett,CATES C,2903,128,401,228,1,758,223,711,351,2,1287,184,587,329,1,1101,3146,
30,Gwinnett,HOG MOUNTAIN D,3179,139,352,255,1,747,280,786,414,2,1482,258,698,364,0,1320,3549,
31,Gwinnett,BERKSHIRE D,2945,86,316,274,2,678,175,803,542,1,1521,154,672,510,2,1338,3537,
32,Gwinnett,BERKSHIRE E,1997,67,200,179,0,446,166,597,337,0,1100,146,515,287,0,948,2494,
33,Gwinnett,BERKSHIRE F,2254,129,200,203,0,532,208,372,264,0,844,183,296,230,1,710,2086,
34,Gwinnett,CATES D,3755,137,501,344,0,982,281,978,555,1,1815,234,830,520,0,1584,4381,
35,Gwinnett,CATES E,2942,102,342,284,1,729,253,807,533,0,1593,224,701,498,1,1424,3746,
36,Gwinnett,PINCKNEYVILLE E,2184,137,234,145,8,524,225,416,194,2,837,194,359,164,3,720,2081,
37,Gwinnett,PINCKNEYVILLE F,2546,152,250,184,1,587,210,436,244,0,890,185,356,208,1,750,2227,
38,Gwinnett,DUNCANS D,7153,280,797,471,0,1548,650,2064,855,2,3571,543,1922,827,1,3293,8412,
39,Gwinnett,PINCKNEYVILLE H,4536,145,518,468,1,1132,391,1119,788,2,2300,354,924,668,1,1947,5379,
