index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Gwinnett,HARBINS A,7182,370,1542,490,3,2405,326,1564,887,5,2782,26,35,18,1,80,5267,
1,Gwinnett,ROCKBRIDGE A,3987,104,270,165,0,539,260,1290,651,1,2202,4,11,11,0,26,2767,
2,Gwinnett,DACULA,4777,241,917,232,1,1391,247,1104,624,1,1976,14,27,9,0,50,3417,
3,Gwinnett,SUWANEE A,1737,120,296,132,1,549,92,381,207,0,680,9,10,7,0,26,1255,
4,Gwinnett,BAYCREEK A,2720,237,538,287,0,1062,136,513,392,0,1041,15,11,10,0,36,2139,
5,Gwinnett,GOODWINS A,3921,312,564,224,1,1101,257,801,563,1,1622,7,12,17,0,36,2759,
6,Gwinnett,DULUTH A,5042,236,845,397,1,1479,217,1084,999,1,2301,11,23,34,0,68,3848,
7,Gwinnett,DUNCANS A,4729,346,1518,460,2,2326,137,774,524,0,1435,11,18,10,0,39,3800,
8,Gwinnett,PUCKETTS A,5692,308,1937,605,1,2851,153,866,543,0,1562,19,40,22,0,81,4494,
9,Gwinnett,CATES A,2387,171,476,301,1,949,100,359,302,1,762,18,7,11,0,36,1747,
10,Gwinnett,BERKSHIRE A,2555,175,237,117,0,529,267,431,333,2,1033,10,4,2,0,16,1578,
11,Gwinnett,BERKSHIRE B,5338,143,540,321,4,1008,287,1401,896,5,2589,9,20,13,0,42,3639,
12,Gwinnett,DUNCANS C,3040,311,988,270,1,1570,103,467,321,0,891,15,17,8,0,40,2501,
13,Gwinnett,GARNERS A,3520,202,739,378,2,1321,135,746,514,1,1396,10,29,12,0,51,2768,
14,Gwinnett,LAWRENCEVILLE A,3635,169,506,266,0,941,242,633,433,5,1313,11,6,8,0,25,2279,
15,Gwinnett,LAWRENCEVILLE B,5097,146,633,274,3,1056,203,1489,735,1,2428,11,9,10,0,30,3514,
16,Gwinnett,MARTINS A,3303,143,246,124,3,516,324,770,423,4,1521,8,4,7,0,19,2056,
17,Gwinnett,MARTINS B,3001,138,337,179,0,654,270,656,373,2,1301,8,7,3,0,18,1973,
18,Gwinnett,MARTINS C,2549,177,320,184,1,682,220,506,361,5,1092,10,9,7,0,26,1800,
19,Gwinnett,PINCKNEYVILLE A,2791,128,154,77,3,362,323,601,354,5,1283,4,5,3,0,12,1657,
20,Gwinnett,PINCKNEYVILLE B,3485,129,264,136,3,532,292,757,394,4,1447,8,8,1,0,17,1996,
21,Gwinnett,PINCKNEYVILLE C,2082,237,271,232,1,741,130,350,405,4,889,5,3,11,0,19,1649,
22,Gwinnett,PINCKNEYVILLE D,2264,94,149,82,2,327,264,449,219,3,935,6,2,6,1,15,1277,
23,Gwinnett,SUGAR HILL A,4654,405,860,331,2,1598,245,661,480,3,1389,18,16,13,0,47,3034,
24,Gwinnett,SUGAR HILL B,5596,504,1162,408,13,2087,288,950,611,5,1854,20,28,26,0,74,4015,
25,Gwinnett,HOG MOUNTAIN A,5011,308,727,290,1,1326,334,1102,673,1,2110,14,22,15,0,51,3487,
26,Gwinnett,HOG MOUNTAIN B,4583,391,1063,426,3,1883,179,782,659,2,1622,11,9,16,0,36,3541,
27,Gwinnett,ROCKYCREEK A,5939,454,1441,382,0,2277,288,1180,667,4,2139,23,25,18,0,66,4482,
28,Gwinnett,CATES B,1587,145,319,174,1,639,77,244,209,1,531,10,13,2,0,25,1195,
29,Gwinnett,CATES C,2903,168,309,193,1,671,174,785,436,3,1398,11,9,9,0,29,2098,
30,Gwinnett,HOG MOUNTAIN D,3179,272,670,249,1,1192,151,502,404,1,1058,11,14,6,0,31,2281,
31,Gwinnett,BERKSHIRE D,2945,140,469,282,4,895,117,630,543,3,1293,12,23,14,0,49,2237,
32,Gwinnett,BERKSHIRE E,1997,155,442,192,0,789,86,374,306,1,767,6,8,10,0,24,1580,
33,Gwinnett,BERKSHIRE F,2254,173,222,169,0,564,181,379,312,1,873,14,7,7,0,28,1465,
34,Gwinnett,CATES D,3755,234,624,309,0,1167,183,843,609,2,1637,7,12,11,0,30,2834,
35,Gwinnett,CATES E,2942,213,542,285,1,1041,154,617,515,1,1287,13,18,14,0,45,2373,
36,Gwinnett,PINCKNEYVILLE E,2184,113,105,57,2,277,240,487,283,7,1017,1,8,10,1,20,1314,
37,Gwinnett,PINCKNEYVILLE F,2546,116,221,113,2,452,242,480,341,2,1065,2,12,13,0,27,1544,
38,Gwinnett,DUNCANS D,7153,607,2087,690,3,3387,294,991,769,0,2054,17,35,16,0,68,5509,
39,Gwinnett,PINCKNEYVILLE H,4536,332,721,431,1,1485,235,906,836,3,1980,9,17,16,0,42,3507,
40,Gwinnett,BAYCREEK B,5969,260,638,278,3,1179,426,1751,814,7,2998,19,13,14,0,46,4223,
41,Gwinnett,LAWRENCEVILLE C,3037,288,615,271,0,1174,142,493,346,1,982,15,14,13,0,42,2198,
42,Gwinnett,MARTINS D,2402,104,131,102,5,342,268,457,297,1,1023,4,1,4,0,9,1374,
43,Gwinnett,ROCKBRIDGE B,4177,146,331,164,1,642,298,1163,620,1,2082,6,13,6,0,25,2749,
44,Gwinnett,GARNERS B,3178,114,399,224,5,742,196,857,495,1,1549,4,6,6,0,16,2307,
45,Gwinnett,CATES F,1787,207,318,224,1,750,104,300,247,1,652,9,6,3,0,18,1420,
46,Gwinnett,CATES G,2875,201,657,351,0,1209,125,559,449,0,1133,4,11,10,0,25,2367,
47,Gwinnett,DULUTH B,3551,247,543,352,3,1145,198,533,578,3,1312,9,8,15,0,32,2489,
48,Gwinnett,GARNERS C,2030,134,294,131,1,560,124,458,273,0,855,8,9,7,1,25,1440,
49,Gwinnett,PINCKNEYVILLE I,2635,115,192,127,0,434,249,576,328,1,1154,8,9,2,1,20,1608,
50,Gwinnett,PINCKNEYVILLE J,2613,77,127,61,0,265,268,646,283,3,1200,8,6,1,0,15,1480,
51,Gwinnett,BERKSHIRE G,2419,159,488,228,1,876,113,562,332,1,1008,7,21,3,0,31,1915,
52,Gwinnett,CATES H,3924,115,405,190,0,710,301,961,515,2,1779,8,6,8,0,22,2511,
53,Gwinnett,SUGAR HILL C,5085,578,1215,431,1,2225,234,803,558,0,1595,28,25,16,0,69,3889,
54,Gwinnett,SUGAR HILL D,4624,311,1153,327,5,1796,200,768,469,2,1439,14,34,11,2,61,3296,
55,Gwinnett,DULUTH C,2229,189,307,182,2,680,150,387,348,2,887,10,8,13,0,31,1598,
56,Gwinnett,DULUTH D,5077,237,663,296,8,1204,302,1056,707,11,2076,16,16,7,0,39,3319,
57,Gwinnett,PINCKNEYVILLE K,3754,152,217,117,3,489,373,841,469,11,1694,9,6,8,0,23,2206,
58,Gwinnett,PINCKNEYVILLE N,3819,120,196,66,1,383,457,955,505,5,1922,19,12,6,0,37,2342,
59,Gwinnett,LAWRENCEVILLE D,5012,160,264,192,5,621,439,1116,537,9,2101,13,8,16,0,37,2759,
60,Gwinnett,LAWRENCEVILLE E,2355,164,384,244,1,793,149,396,314,1,860,6,8,5,0,19,1672,
61,Gwinnett,PINCKNEYVILLE L,2330,280,411,398,0,1089,115,291,491,1,898,8,10,20,0,38,2025,
62,Gwinnett,PINCKNEYVILLE M,2673,307,605,353,0,1265,113,361,476,0,950,7,12,18,0,37,2252,
63,Gwinnett,GARNERS D,3490,86,265,186,0,537,246,931,630,0,1807,6,10,14,0,30,2374,
64,Gwinnett,BERKSHIRE H,1987,115,181,149,2,447,151,352,262,3,768,1,4,5,0,10,1225,
65,Gwinnett,PINCKNEYVILLE O,3359,114,255,110,1,480,285,802,368,6,1461,14,9,3,0,26,1967,
66,Gwinnett,PUCKETTS E,5660,307,1040,406,1,1754,236,1164,709,3,2112,8,23,11,0,42,3908,
67,Gwinnett,CATES I,3537,257,571,294,1,1123,191,839,575,1,1606,13,11,17,0,41,2770,
68,Gwinnett,CATES J,3478,242,439,269,3,953,189,824,576,3,1592,12,16,14,0,42,2587,
69,Gwinnett,GOODWINS B,3960,306,861,310,1,1478,216,658,569,0,1443,11,28,20,0,59,2980,
70,Gwinnett,LAWRENCEVILLE F,4061,170,351,160,0,681,298,1162,613,4,2077,10,11,13,0,34,2792,
71,Gwinnett,MARTINS E,6193,157,221,95,1,474,600,1440,719,7,2766,19,15,7,0,41,3281,
72,Gwinnett,PINCKNEYVILLE P,2185,175,261,212,1,649,183,390,398,1,972,11,6,9,0,26,1647,
73,Gwinnett,PINCKNEYVILLE Q,1915,80,70,39,3,192,275,435,229,0,939,5,3,2,0,10,1141,
74,Gwinnett,ROCKBRIDGE C,5125,139,337,186,2,664,284,1757,1009,5,3055,10,10,8,0,28,3747,
75,Gwinnett,ROCKBRIDGE D,3642,72,376,199,1,648,193,1165,643,7,2008,7,15,8,0,30,2686,
76,Gwinnett,GOODWINS C,5804,296,600,321,0,1217,422,1255,931,1,2609,17,14,12,0,43,3869,
77,Gwinnett,BAYCREEK K,3824,159,661,346,0,1166,157,997,542,1,1697,13,16,12,0,41,2904,
