index,County,Precinct,Registered Voters,Soo Hong (Rep)_Election Day Votes,Soo Hong (Rep)_Advanced Voting Votes,Soo Hong (Rep)_Absentee by Mail Votes,Soo Hong (Rep)_Provisional Votes,Soo Hong (Rep)_Choice Total,Gregg Kennard (I) (Dem)_Election Day Votes,Gregg Kennard (I) (Dem)_Advanced Voting Votes,Gregg Kennard (I) (Dem)_Absentee by Mail Votes,Gregg Kennard (I) (Dem)_Provisional Votes,Gregg Kennard (I) (Dem)_Choice Total,Total,
0,Gwinnett,SUGAR HILL A,4654,24,47,8,0,79,22,90,45,0,157,236,
1,Gwinnett,HOG MOUNTAIN A,5011,340,774,338,0,1452,301,1040,608,0,1949,3401,
2,Gwinnett,LAWRENCEVILLE C,3037,298,605,282,0,1185,131,492,327,0,950,2135,
3,Gwinnett,GOODWINS B,3960,338,924,373,0,1635,178,605,501,0,1284,2919,
4,Gwinnett,GOODWINS D,4406,427,694,332,0,1453,300,683,539,1,1523,2976,
5,Gwinnett,LAWRENCEVILLE H,4296,310,789,392,1,1492,222,817,560,0,1599,3091,
6,Gwinnett,LAWRENCEVILLE I,3312,218,381,209,0,808,260,649,417,1,1327,2135,
7,Gwinnett,SUWANEE B,4656,271,1157,506,0,1934,105,933,531,0,1569,3503,
8,Gwinnett,GOODWINS G,2661,165,275,109,1,550,231,573,346,1,1151,1701,
9,Gwinnett,LAWRENCEVILLE K,3282,279,609,323,0,1211,165,618,457,0,1240,2451,
10,Gwinnett,SUWANEE F,3966,314,817,382,1,1514,160,717,506,2,1385,2899,
