index,County,Precinct,Registered Voters,Clint Dixon (Rep)_Election Day Votes,Clint Dixon (Rep)_Advanced Voting Votes,Clint Dixon (Rep)_Absentee by Mail Votes,Clint Dixon (Rep)_Provisional Votes,Clint Dixon (Rep)_Choice Total,Matielyn Jones (Dem)_Election Day Votes,Matielyn Jones (Dem)_Advanced Voting Votes,Matielyn Jones (Dem)_Absentee by Mail Votes,Matielyn Jones (Dem)_Provisional Votes,Matielyn Jones (Dem)_Choice Total,Total,
0,Gwinnett,SUWANEE A,1737,120,302,139,0,561,96,368,196,0,660,1221,
1,Gwinnett,GOODWINS A,3921,300,560,237,0,1097,247,777,536,0,1560,2657,
2,Gwinnett,DUNCANS A,4729,369,1543,485,2,2399,113,727,469,0,1309,3708,
3,Gwinnett,PUCKETTS A,5692,317,1996,657,1,2971,149,791,482,0,1422,4393,
4,Gwinnett,DUNCANS C,3040,337,1031,306,0,1674,84,414,273,0,771,2445,
5,Gwinnett,SUGAR HILL A,4654,410,863,356,1,1630,242,636,446,2,1326,2956,
6,Gwinnett,SUGAR HILL B,5596,513,1173,430,10,2126,279,923,560,4,1766,3892,
7,Gwinnett,HOG MOUNTAIN A,5011,313,744,317,0,1374,322,1064,629,0,2015,3389,
8,Gwinnett,ROCKYCREEK A,5939,367,1132,301,0,1800,260,964,544,0,1768,3568,
9,Gwinnett,DUNCANS D,7153,615,2104,750,3,3472,280,949,682,0,1911,5383,
10,Gwinnett,SUGAR HILL C,5085,601,1251,456,1,2309,219,760,508,0,1487,3796,
11,Gwinnett,SUGAR HILL D,4624,312,1181,339,5,1837,198,741,440,2,1381,3218,
12,Gwinnett,PUCKETTS E,5660,304,1059,430,1,1794,230,1132,658,2,2022,3816,
13,Gwinnett,GOODWINS B,3960,318,891,340,0,1549,193,628,526,0,1347,2896,
14,Gwinnett,GOODWINS D,4406,390,662,311,0,1363,329,718,563,1,1611,2974,
15,Gwinnett,LAWRENCEVILLE H,4296,196,425,241,1,863,138,454,316,1,909,1772,
16,Gwinnett,SUGAR HILL E,3589,332,773,324,5,1434,146,643,373,2,1164,2598,
17,Gwinnett,GOODWINS F,3212,197,455,253,0,905,179,602,472,0,1253,2158,
18,Gwinnett,SUWANEE B,4656,250,1111,463,0,1824,124,966,569,0,1659,3483,
19,Gwinnett,PUCKETTS B,3096,295,879,265,1,1440,110,476,279,0,865,2305,
20,Gwinnett,SUGAR HILL F,4112,396,874,344,5,1619,200,599,467,2,1268,2887,
21,Gwinnett,GOODWINS G,2661,143,264,97,2,506,247,584,357,1,1189,1695,
22,Gwinnett,DUNCANS B,5387,578,1665,501,4,2748,205,745,478,1,1429,4177,
23,Gwinnett,SUWANEE D,4732,434,1298,536,1,2269,155,717,587,0,1459,3728,
24,Gwinnett,SUWANEE E,4256,364,1107,465,1,1937,120,745,538,0,1403,3340,
25,Gwinnett,LAWRENCEVILLE K,3282,269,588,309,0,1166,170,629,455,0,1254,2420,
26,Gwinnett,PUCKETTS C,3367,264,883,237,1,1385,118,520,325,0,963,2348,
27,Gwinnett,HOG MOUNTAIN C,4292,345,929,346,0,1620,196,684,476,1,1357,2977,
28,Gwinnett,ROCKYCREEK B,5061,371,1244,385,1,2001,222,943,479,1,1645,3646,
29,Gwinnett,SUWANEE H,3785,331,1182,488,0,2001,108,525,414,0,1047,3048,
30,Gwinnett,SUGAR HILL G,2814,297,788,264,0,1349,70,387,356,1,814,2163,
31,Gwinnett,SUWANEE F,3966,305,789,339,2,1435,165,729,549,1,1444,2879,
32,Gwinnett,GOODWINS I,2501,241,389,296,0,926,153,466,338,0,957,1883,
33,Gwinnett,PUCKETTS D,3622,266,965,348,2,1581,132,549,377,0,1058,2639,
