index,County,Precinct,Registered Voters,Sheikh Rahman (I) (Dem)_Election Day Votes,Sheikh Rahman (I) (Dem)_Advanced Voting Votes,Sheikh Rahman (I) (Dem)_Absentee by Mail Votes,Sheikh Rahman (I) (Dem)_Provisional Votes,Sheikh Rahman (I) (Dem)_Choice Total,Total,
0,Gwinnett,MARTINS A,3303,379,859,465,4,1707,1707,
1,Gwinnett,MARTINS B,3001,335,765,412,1,1513,1513,
2,Gwinnett,PINCKNEYVILLE A,2791,381,641,370,3,1395,1395,
3,Gwinnett,PINCKNEYVILLE B,3485,349,831,425,4,1609,1609,
4,Gwinnett,PINCKNEYVILLE D,2264,293,478,238,3,1012,1012,
5,Gwinnett,PINCKNEYVILLE F,2546,299,559,362,1,1221,1221,
6,Gwinnett,MARTINS D,2402,305,481,322,0,1108,1108,
7,Gwinnett,PINCKNEYVILLE I,2635,306,631,354,2,1293,1293,
8,Gwinnett,PINCKNEYVILLE J,2613,302,676,292,2,1272,1272,
9,Gwinnett,PINCKNEYVILLE K,3754,259,477,230,5,971,971,
10,Gwinnett,LAWRENCEVILLE D,5012,517,1170,592,6,2285,2285,
11,Gwinnett,PINCKNEYVILLE O,3359,335,874,392,4,1605,1605,
12,Gwinnett,LAWRENCEVILLE F,4061,380,1236,637,3,2256,2256,
13,Gwinnett,MARTINS E,6193,679,1494,706,3,2882,2882,
14,Gwinnett,PINCKNEYVILLE Q,1915,315,458,237,1,1011,1011,
15,Gwinnett,LAWRENCEVILLE G,3046,293,870,458,2,1623,1623,
16,Gwinnett,MARTINS F,2570,291,530,379,2,1202,1202,
17,Gwinnett,PINCKNEYVILLE S,3374,403,712,503,2,1620,1620,
18,Gwinnett,MARTINS G,2425,311,581,317,1,1210,1210,
19,Gwinnett,PINCKNEYVILLE V,1706,155,400,243,1,799,799,
20,Gwinnett,PINCKNEYVILLE W,4253,372,957,701,4,2034,2034,
21,Gwinnett,MARTINS H,5037,485,1241,808,6,2540,2540,
22,Gwinnett,MARTINS I,4078,440,947,616,4,2007,2007,
23,Gwinnett,MARTINS J,3923,532,1027,542,1,2102,2102,
24,Gwinnett,PINCKNEYVILLE Y,3272,414,696,377,1,1488,1488,
25,Gwinnett,LAWRENCEVILLE J,2249,249,621,320,1,1191,1191,
26,Gwinnett,LAWRENCEVILLE M,7255,636,2265,1130,4,4035,4035,
