index,County,Precinct,Registered Voters,"P. K. Martin, IV (I) (Rep)_Election Day Votes","P. K. Martin, IV (I) (Rep)_Advanced Voting Votes","P. K. Martin, IV (I) (Rep)_Absentee by Mail Votes","P. K. Martin, IV (I) (Rep)_Provisional Votes","P. K. Martin, IV (I) (Rep)_Choice Total",Nikki Merritt (Dem)_Election Day Votes,Nikki Merritt (Dem)_Advanced Voting Votes,Nikki Merritt (Dem)_Absentee by Mail Votes,Nikki Merritt (Dem)_Provisional Votes,Nikki Merritt (Dem)_Choice Total,Total,
0,Gwinnett,HARBINS A,7182,388,1547,517,1,2453,319,1536,853,0,2708,5161,
1,Gwinnett,DACULA,4777,248,937,265,0,1450,239,1082,582,0,1903,3353,
2,Gwinnett,BAYCREEK A,2720,256,554,325,0,1135,122,491,351,0,964,2099,
3,Gwinnett,CATES A,2387,179,470,310,0,959,106,349,290,1,746,1705,
4,Gwinnett,GARNERS A,3520,208,812,454,1,1475,129,685,428,1,1243,2718,
5,Gwinnett,LAWRENCEVILLE A,3635,185,516,291,0,992,223,593,364,1,1181,2173,
6,Gwinnett,LAWRENCEVILLE B,5097,138,619,294,0,1051,213,1461,702,1,2377,3428,
7,Gwinnett,HOG MOUNTAIN B,4583,386,1053,451,1,1891,178,760,619,0,1557,3448,
8,Gwinnett,ROCKYCREEK A,5939,100,359,127,0,586,18,148,68,0,234,820,
9,Gwinnett,CATES B,1587,147,336,193,1,677,82,228,176,0,486,1163,
10,Gwinnett,HOG MOUNTAIN D,3179,285,683,263,1,1232,141,480,379,0,1000,2232,
11,Gwinnett,BERKSHIRE D,2945,154,513,321,1,989,108,587,490,1,1186,2175,
12,Gwinnett,BERKSHIRE E,1997,162,458,211,0,831,77,343,282,1,703,1534,
13,Gwinnett,CATES D,3755,236,625,336,0,1197,179,820,561,1,1561,2758,
14,Gwinnett,CATES E,2942,223,577,332,1,1133,137,578,463,1,1179,2312,
15,Gwinnett,LAWRENCEVILLE C,3037,294,612,297,0,1203,133,484,312,0,929,2132,
16,Gwinnett,CATES F,1787,210,318,240,0,768,101,289,214,1,605,1373,
17,Gwinnett,CATES G,2875,209,694,397,0,1300,110,503,393,0,1006,2306,
18,Gwinnett,LAWRENCEVILLE E,2355,156,400,284,1,841,151,373,277,1,802,1643,
19,Gwinnett,CATES I,3537,278,601,327,1,1207,171,803,532,1,1507,2714,
20,Gwinnett,CATES J,3478,245,446,308,1,1000,180,796,522,1,1499,2499,
21,Gwinnett,BAYCREEK K,3824,174,687,357,0,1218,146,945,520,0,1611,2829,
22,Gwinnett,CATES K,2810,262,532,277,3,1074,147,530,349,0,1026,2100,
23,Gwinnett,BAYCREEK C,6499,324,1060,384,3,1771,354,1742,870,0,2966,4737,
24,Gwinnett,CATES L,4185,81,270,144,0,495,98,363,223,0,684,1179,
25,Gwinnett,LAWRENCEVILLE H,4296,108,356,132,1,597,84,359,244,0,687,1284,
26,Gwinnett,BAYCREEK D,4609,319,861,368,0,1548,187,1033,600,0,1820,3368,
27,Gwinnett,BERKSHIRE J,2731,172,610,311,0,1093,104,526,395,2,1027,2120,
28,Gwinnett,CATES M,3988,288,901,506,1,1696,153,783,548,1,1485,3181,
29,Gwinnett,CATES N,2567,242,569,374,1,1186,121,372,277,0,770,1956,
30,Gwinnett,CATES O,1434,164,239,151,3,557,94,259,194,2,549,1106,
31,Gwinnett,BERKSHIRE M,1864,178,347,207,2,734,100,318,247,1,666,1400,
32,Gwinnett,BERKSHIRE N,3128,114,765,373,0,1252,87,614,475,0,1176,2428,
33,Gwinnett,BERKSHIRE O,2589,183,516,313,0,1012,124,426,356,2,908,1920,
34,Gwinnett,HARBINS B,4845,340,1269,331,0,1940,191,865,414,2,1472,3412,
35,Gwinnett,LAWRENCEVILLE L,4802,223,753,374,0,1350,276,1117,669,1,2063,3413,
36,Gwinnett,BAYCREEK H,6811,370,1364,560,1,2295,322,1724,871,0,2917,5212,
37,Gwinnett,BAYCREEK I,5899,263,790,367,3,1423,312,1487,762,1,2562,3985,
38,Gwinnett,BERKSHIRE Q,1802,143,262,139,0,544,65,245,190,0,500,1044,
39,Gwinnett,HARBINS C,2850,381,618,193,1,1193,163,598,256,1,1018,2211,
40,Gwinnett,ROCKYCREEK C,4806,337,1207,373,0,1917,229,944,523,3,1699,3616,
41,Gwinnett,LAWRENCEVILLE N,2573,173,281,160,0,614,205,468,279,7,959,1573,
