index,County,Precinct,Registered Voters,Rich McCormick (Rep)_Election Day Votes,Rich McCormick (Rep)_Advanced Voting Votes,Rich McCormick (Rep)_Absentee by Mail Votes,Rich McCormick (Rep)_Provisional Votes,Rich McCormick (Rep)_Choice Total,Carolyn Bourdeaux (Dem)_Election Day Votes,Carolyn Bourdeaux (Dem)_Advanced Voting Votes,Carolyn Bourdeaux (Dem)_Absentee by Mail Votes,Carolyn Bourdeaux (Dem)_Provisional Votes,Carolyn Bourdeaux (Dem)_Choice Total,Total,
0,Gwinnett,SUWANEE A,1737,122,295,151,1,569,93,376,190,0,659,1228,
1,Gwinnett,BAYCREEK A,2720,253,554,310,0,1117,128,495,370,0,993,2110,
2,Gwinnett,GOODWINS A,3921,294,568,245,2,1109,257,777,540,0,1574,2683,
3,Gwinnett,DULUTH A,5042,241,894,448,1,1584,217,1030,931,1,2179,3763,
4,Gwinnett,PUCKETTS A,5692,317,1981,662,1,2961,151,815,484,0,1450,4411,
5,Gwinnett,CATES A,2387,171,475,307,0,953,113,347,287,1,748,1701,
6,Gwinnett,BERKSHIRE A,2555,172,227,121,0,520,254,425,325,1,1005,1525,
7,Gwinnett,LAWRENCEVILLE A,3635,166,497,281,0,944,237,613,398,3,1251,2195,
8,Gwinnett,LAWRENCEVILLE B,5097,144,633,286,0,1063,205,1459,716,3,2383,3446,
9,Gwinnett,MARTINS A,3303,136,216,122,2,476,313,762,408,4,1487,1963,
10,Gwinnett,MARTINS B,3001,116,346,185,0,647,274,629,358,2,1263,1910,
11,Gwinnett,MARTINS C,2549,168,320,192,0,680,226,502,348,4,1080,1760,
12,Gwinnett,PINCKNEYVILLE A,2791,114,144,88,3,349,331,603,337,5,1276,1625,
13,Gwinnett,PINCKNEYVILLE C,2082,261,280,265,1,807,113,338,364,4,819,1626,
14,Gwinnett,PINCKNEYVILLE D,2264,80,136,75,1,292,256,435,220,3,914,1206,
15,Gwinnett,SUGAR HILL A,4654,412,860,339,3,1614,239,649,467,1,1356,2970,
16,Gwinnett,SUGAR HILL B,5596,514,1189,425,13,2141,279,923,581,4,1787,3928,
17,Gwinnett,HOG MOUNTAIN A,5011,311,736,320,1,1368,325,1075,639,1,2040,3408,
18,Gwinnett,HOG MOUNTAIN B,4583,385,1046,430,1,1862,183,773,645,1,1602,3464,
19,Gwinnett,CATES B,1587,148,334,181,1,664,81,229,191,1,502,1166,
20,Gwinnett,HOG MOUNTAIN D,3179,283,690,259,1,1233,144,478,388,1,1011,2244,
21,Gwinnett,BERKSHIRE F,2254,174,215,175,0,564,182,369,294,1,846,1410,
22,Gwinnett,CATES D,3755,33,91,67,0,191,32,159,100,1,292,483,
23,Gwinnett,PINCKNEYVILLE E,2184,111,111,69,2,293,231,485,268,4,988,1281,
24,Gwinnett,PINCKNEYVILLE F,2546,119,229,114,1,463,231,470,329,2,1032,1495,
