County,Precinct,Registered Voters,Nath Morris (I) (Rep)_Election Day Votes,Nath Morris (I) (Rep)_Advanced Voting Votes,Nath Morris (I) (Rep)_Absentee by Mail Votes,Nath Morris (I) (Rep)_Provisional Votes,Nath Morris (I) (Rep)_Choice Total,Total,
Hall,Wilson,0,361,963,453,0,1777,1777,
Hall,Chicopee,0,166,301,125,0,592,592,
Hall,Oakwood I,0,302,691,232,0,1225,1225,
Hall,Oakwood II,0,442,1544,519,0,2505,2505,
Hall,Flowery Branch I,0,491,1701,579,0,2771,2771,
Hall,Flowery Branch II,0,463,1247,363,0,2073,2073,
Hall,Roberts,0,405,1513,648,0,2566,2566,
Hall,Morgan I,0,510,1729,431,0,2670,2670,
Hall,Morgan II,0,466,1861,566,0,2893,2893,
Hall,Candler,0,635,1900,589,0,3124,3124,
Hall,Tadmore,0,617,1424,519,0,2560,2560,
Hall,Glade,0,387,1232,334,0,1953,1953,
Hall,Lula,0,588,1291,331,0,2210,2210,
Hall,Clermont,0,436,1740,366,0,2542,2542,
Hall,Quillians,0,248,1466,322,0,2036,2036,
Hall,Bark Camp,0,534,2526,695,0,3755,3755,
Hall,Chestatee,0,527,1496,499,0,2522,2522,
Hall,Fork,0,549,1225,432,0,2206,2206,
Hall,Whelchel,0,397,1812,536,0,2745,2745,
Hall,West Whelchel,0,257,1120,544,0,1921,1921,
Hall,Gainesville I,0,48,140,41,0,229,229,
Hall,Gainesville II,0,84,175,124,0,383,383,
Hall,Gainesville III,0,144,253,129,0,526,526,
Hall,Gainesville IV,0,41,67,25,0,133,133,
Hall,Gainesville V,0,2,2,1,0,5,5,
Hall,Gillsville,0,332,388,94,0,814,814,
Hall,Big Hickory,0,399,1912,482,0,2793,2793,
Hall,Friendship I,0,604,3800,1483,0,5887,5887,
Hall,Friendship II,0,425,1276,322,0,2023,2023,
Hall,Friendship III,0,413,2009,441,0,2863,2863,
Hall,Friendship IV,0,210,1815,354,0,2379,2379,
