index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Hancock,Devereux Fire Station,1006,105,274,195,1,575,43,84,36,0,163,738,
1,Hancock,St Mark,576,71,119,68,0,258,20,45,13,0,78,336,
2,Hancock,Courthouse,931,76,201,132,0,409,32,60,34,1,127,536,
3,Hancock,Second Beulah,472,41,91,94,0,226,18,30,34,0,82,308,
4,Hancock,Mayfield Community Center,356,50,43,65,0,158,14,7,20,0,41,199,
5,Hancock,Power of God,731,74,136,104,1,315,23,34,28,0,85,400,
6,Hancock,Warren Chapel,268,20,69,61,0,150,9,29,16,0,54,204,
7,Hancock,Youth Center,975,67,185,170,0,422,33,53,44,0,130,552,
8,Hancock,Second Darrien,364,58,55,96,0,209,21,19,17,0,57,266,
9,Hancock,Sparta 4C,148,19,20,43,0,82,7,3,5,0,15,97,
