index,County,Precinct,Registered Voters,Adrick Alexander Ingram (I) (Dem)_Election Day Votes,Adrick Alexander Ingram (I) (Dem)_Advanced Voting Votes,Adrick Alexander Ingram (I) (Dem)_Absentee by Mail Votes,Adrick Alexander Ingram (I) (Dem)_Provisional Votes,Adrick Alexander Ingram (I) (Dem)_Choice Total,Total,
0,Hancock,Devereux Fire Station,1006,116,263,196,0,575,575,
1,Hancock,St Mark,576,79,151,76,0,306,306,
2,Hancock,Courthouse,931,95,230,161,1,487,487,
3,Hancock,Second Beulah,472,58,123,127,0,308,308,
4,Hancock,Mayfield Community Center,356,59,49,83,0,191,191,
5,Hancock,Power of God,731,94,152,126,0,372,372,
6,Hancock,Warren Chapel,268,23,71,64,0,158,158,
7,Hancock,Youth Center,975,100,214,201,0,515,515,
8,Hancock,Second Darrien,364,70,63,111,0,244,244,
9,Hancock,Sparta 4C,148,18,19,46,0,83,83,
