index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Hancock,Devereux Fire Station,1006,79,220,83,0,382,72,131,154,1,358,5,6,5,0,16,756,
1,Hancock,St Mark,576,11,41,9,0,61,80,131,80,0,291,0,2,1,0,3,355,
2,Hancock,Courthouse,931,21,97,23,0,141,89,188,159,1,437,3,2,3,0,8,586,
3,Hancock,Second Beulah,472,9,23,9,0,41,53,111,134,0,298,2,2,0,0,4,343,
4,Hancock,Mayfield Community Center,356,13,13,5,0,31,51,42,83,0,176,3,2,4,0,9,216,
5,Hancock,Power of God,731,13,51,25,0,89,86,136,125,1,348,7,5,1,0,13,450,
6,Hancock,Warren Chapel,268,27,65,31,0,123,2,34,46,0,82,0,0,2,0,2,207,
7,Hancock,Youth Center,975,21,57,24,0,102,91,199,219,0,509,2,5,0,0,7,618,
8,Hancock,Second Darrien,364,42,27,22,0,91,40,47,96,0,183,2,2,1,0,5,279,
9,Hancock,Sparta 4C,148,12,5,4,0,21,12,18,52,0,82,2,0,1,0,3,106,
