index,County,Precinct,Registered Voters,"Tomyln """"Terrell"""" Primus (I) (Dem)_Election Day Votes","Tomyln """"Terrell"""" Primus (I) (Dem)_Advanced Voting Votes","Tomyln """"Terrell"""" Primus (I) (Dem)_Absentee by Mail Votes","Tomyln """"Terrell"""" Primus (I) (Dem)_Provisional Votes","Tomyln """"Terrell"""" Primus (I) (Dem)_Choice Total",Total,
0,Hancock,Devereux Fire Station,1006,112,271,188,0,571,571,
1,Hancock,St Mark,576,79,135,73,0,287,287,
2,Hancock,Courthouse,931,91,228,156,1,476,476,
3,Hancock,Second Beulah,472,63,122,120,0,305,305,
4,Hancock,Mayfield Community Center,356,59,45,83,0,187,187,
5,Hancock,Power of God,731,87,157,117,0,361,361,
6,Hancock,Warren Chapel,268,25,69,60,0,154,154,
7,Hancock,Youth Center,975,95,214,192,0,501,501,
8,Hancock,Second Darrien,364,72,63,100,0,235,235,
9,Hancock,Sparta 4C,148,21,23,51,0,95,95,
